id,area,task,source,dependency,current_state,evidence,owner_action,next_action,acceptance_gate,target_batch,disposition
C4-MR-01,marine,Particle/crest coverage and validity adoption in draw seed and advection,Audit 4.1 MR-01; AV-04 / MC4-07,C4-P0-03 may promote this to the causal fix,OPEN. Draw and advect consult NO coverage state and NO truth gate; survival is edge-texel-content-dependent. Named the likeliest unclosed halo face.,lane handoff section 3 'AV-04 / MC4-07 particles',None,Hold for C4-P0-03; design constraints already written (ribbon endpoints resample the mask; ring-fill adds a second bounds pair),Inland and edge property tests plus a pass-isolated optical probe,B4,OPEN_BLOCKED_C4-P0-03
C4-MR-02,marine,Explicit INVALID mask state,Audit 4.1 MR-02; AV-10 / MC4-02,none,"PHASE 1 (INVENTORY) DONE 2026-08-16, read-only. Confirmed the never-attempted status: git log -S CLAUDE placeholder. FINDINGS: (1) ONE chokepoint - createTexture (WebGLMarineTextureState.js:60) hardcodes CLAMP_TO_EDGE on both axes for every texture with NO opt-out; the filter is caller-supplied, the wrap is not. It is DUPLICATED at WebGLWindUtils.js:30, so any contract applied to one silently exempts the wind engine. (2) 15 sample sites across 3 samplers (oceanMask/coarseMask/overlayMask) in heatmap main, wash, particle advect and particle draw. (3) THE KEY FINDING: the only bounds guard is a CONJUNCTION - `_outData && _outMask` - so outside-mask-but-inside-data DELIBERATELY consumes the clamped edge texel as truth, and the code says so: it preserves the Istria/Susak regression fix. The clamp is LOAD-BEARING, which is why this row is hard rather than tedious. Worse, that guard sits behind u_dataMaskGate, measured PIXEL-INERT 2026-08-15. (4) The .a channel is FREE - zero reads across both shader files while r/g/b are all used - and the textures are already RGBA8, so a validity channel costs NO extra memory and NO format change. || PHASE 2 STEP 0 MEASURED 2026-08-16 in a real browser: masks upload from a CANVAS (DOM-element texImage2D overload, 4 sites) which stores PREMULTIPLIED, so a low-alpha side-channel round-trips RGB. Swept against the real 0/64/255 encoding: rgb64 at a=0 DESTROYED, a=1 -> 0 (sheltered water becomes LAND), a=2 -> 128 (WRONG BUT PLAUSIBLE), a>=4 intact. minSafeAlpha=4. Corruption happens in the CANVAS at putImageData, before the GPU, so no upload flag can rescue it. The cheap one-writer option SURVIVES with sentinel a>=4; recommended VALID=255 / INVALID=8. || PHASE 2 STEP 1 - ALPHA SIDE-CHANNEL REFUTED 2026-08-16. Step 0 swept only the nominal 0/64/255 and recommended INVALID=8; that was too narrow. The mask .b channel holds a CONTINUOUS coast SDF and polygon fills ANTIALIAS, so all 256 values are legal. Measured worst-case RGB error per candidate alpha: a=4 err 32, a=8 err 16, a=32 err 4, a=128 err 1, a=255 err 0. Premultiplied storage quantizes RGB to steps of 255/alpha, so error is INVERSELY proportional to the sentinel's distance from VALID - the opposite of what the design needs. To survive LINEAR the sentinel must be FAR from 255; to preserve RGB it must be NEAR 255. No value satisfies both. Option 2 (alpha border on a canvas-sourced mask) is arithmetically impossible, not merely risky. SURVIVOR: a separate NEAREST validity texture from a Uint8Array - no canvas so no premultiplication (exact RGB AND exact validity), and NEAREST removes the LINEAR-interpolation concern too. createTexture already has the ArrayBufferView path.",program/weather-simulation/evidence/C4-MR-02-invalid-mask-state-inventory-2026-08-16.md,None,"Phase 2 step 1 REVISED: build a separate NEAREST validity texture from a Uint8Array (createTexture already supports the ArrayBufferView path at WebGLMarineTextureState.js:71). One writer, one new sampler uniform, changing no existing reader. Then dual-read in the heatmap main pass only and assert PIXEL parity across the zoom ladder. DO NOT use the mask alpha channel - measured impossible.","Validity is a named field consumed by rendering decisions, not inferred from an edge texel; 1-texel INVALID border or NEAREST validity texture; a filtering/clamping invariant test; Istria/Susak regression scene committed and green; the _outData && _outMask conjunction deleted only after parity holds",B4,OPEN_READY
C4-MR-03,marine,Truth-gate full-path decision for every painter and fail-open case,Audit 4.1 MR-03,C4-MR-01,"PARTIAL. 37f265bf gates heatmap main pass + coarse wash only. Does NOT govern particles/crests. Fails open for missing/degenerate truth, the baseCrispMask identity fallback, non-viewport overlays, and antimeridian-wrapped storage. Not on the deployed alias.",commit 37f265bf; Audit 4.1 'The truth gate is also narrower than the complete marine validity contract',None,Write the documented behavior matrix for heatmap/wash/particles/fallback/missing-truth/identity-fallback/antimeridian,Every painter x every fail-open case has a documented and tested behavior,B4,OPEN_READY
C4-MR-04,marine,Base-mask state-machine closure beyond retry_exhausted,Audit 4.1 MR-04,none,"CLOSED 2026-08-16 - and the row's premise was partly wrong, which is recorded rather than quietly worked around. It asked for 'explicit behaviour and tests for unknown/retry/covered, not only retry_exhausted'. MEASURED: every state ALREADY had both, and each fail-open is reasoned in source (the 07-03 unknown-input lesson: a wrong clip on missing information blanks honest pixels, a wrong render just keeps today's behaviour; and 'clipping mid-retry would blink the strip'). So per-state behaviour was never the gap. WHAT WAS ACTUALLY MISSING - the three properties that make a machine CLOSED rather than merely populated: TOTALITY (every input, including hostile shapes like deliveredShort:'true'/1/null, yields a well-formed verdict with a non-empty reason - never undefined, never a stray state); REACHABILITY (every declared state is produced by some input - no dead states); and SINGLE-OUTPUT (maskClip is the ONLY field reaching the GPU, true for exactly one state via exactly one reason). KEY MEASUREMENT: the only consumer of term.state outside this file is the halo-isolate DIAGNOSTIC script - no production code branches on the state string - so state/action/reason are telemetry and maskClip is the whole behavioural surface. The single-output test is where a future change keyed on the state string becomes visible. Mutation-verified: stray state -> 4 red; a second state clipping -> 6 red; kill switch not removing the clip -> 2 red. Full frontend suite 237 suites / 2253 tests; lint:ci green.",frontend/src/components/map/marineCoverageContract.test.js (C4-MR-04 describe: TOTAL / REACHABLE / SINGLE-OUTPUT / BOUNDS ONLY),None,"None for this row. ⛔ SCOPE BOUNDARY PINNED IN A TEST: 'a wrong-but-covering mask has no defense' is TRUE and is NOT closable here - this machine only ever sees BOUNDS (deliveredShort), never mask CONTENT, so a mask claiming the right box with wrong texels is indistinguishable from a correct one BY CONSTRUCTION. That is C4-MR-02's territory.","unknown, retry, covered, and wrong-but-covering each have explicit behavior and a test",B4,COMPLETED_AWAITING_PROMOTION
C4-MR-05,marine,Legacy 1024 wash REPLACE disposition,Audit 4.1 MR-05,C4-P0-03,OPEN. resolveWashOverlayMode requires width >= 4096 for min-combine; at 1024 the legacy world mask keeps REPLACE by design. Whether this fires in the owner band is UNMEASURED.,lane handoff section 2a 'Legacy-1024 wash REPLACE',None,Read washOverlayMode + maskId dims at the band as part of C4-P0-01 telemetry,"Prove, migrate, or explicitly support REPLACE; no silent resolution-dependent semantics",B3,OPEN_BLOCKED_C4-P0-01
C4-MR-06,marine,ocean-mask-buffer style contract (purpose styling order-anchor overlap probe),Audit 4.1 MR-06,C4-P0-03,"CLOSED as the root cause. ocean-mask-buffer's purpose, styling and order are now documented in LAYER_ORDER_PROOF_LOG.json#LOP-0001 with the land/building overlap behaviour measured at five zooms. The layer is opt-in only. Its colour rgba(16,29,43,.9) never matched the composited basemap water (hsl(197,15%,43%) @0.25 over hsl(214,17%,31%)), which is why no ordering or recolour attempt since 2026-07-05 ever held.",program/weather-simulation/LAYER_ORDER_PROOF_LOG.json#LOP-0001,None,None - superseded by the opt-in default,"Documented purpose, styling, order anchor, and a building/road overlap probe",B3,VERIFIED_COMPLETE
C4-MR-07,marine,Layer probe correctness (custom-layer aware; shared structural classifier),Audit 4.1 MR-07; AV-06,none,"FIXED 2026-08-16. Two defects, both measured. (1) layer-order-probe.js:41 read `window.map.getStyle().layers`, which OMITS CUSTOM LAYERS - and the marine field `webgl-marine-particles` IS a custom layer, so the probe was blind to the very thing it existed to locate. That is why every earlier stack probe missed the field and why the 08-15 planner work had to re-derive the order by hand. Now reads map.style._order and resolves each id via getLayer(). (2) Its landuse classifier was a THREE-term regex (landuse|park|landcover) against the canonical TWELVE, so it silently misclassified wood/forest/glacier/sand/pitch/grass/cemetery/hospital/school/university while printing a confident stack. Now carries the canonical set. Added a NON-VACUITY guard: if the enumeration finds zero custom layers the probe prints ::error:: and exits 2, because a clean-looking stack that omits the field is worse than no probe. ALSO cross-pinned STRUCTURAL (waterTempAnchor.js) against the mapUtils Double Fallback chain - a second, previously unpinned copy. Three new executable pins, each mutation-verified to fail on exactly one mutation. 140 suites / 1491 tests pass; lint:ci exit 0 (debt reduced by 2).",frontend/scripts/layer-order-probe.js; frontend/src/components/map/waterTempAnchor.property.test.js (3 new pins); mutation runs M1/M2/M3 each turned exactly 1 test red,None,Run the repaired probe against a live map to capture a true stack including the field - it has never once been run with custom layers visible. The dead repositionLanduse landuse-raising arm is still unexamined.,Probe sees custom layers; one classifier authority; dead arm removed or justified in code,B4,COMPLETED_AWAITING_PROMOTION
C4-MR-08,marine,Flag-state reduction: inventory supported combinations owners and expiry,Audit 4.1 MR-08; AV-07 / MC4-12,none,"OPEN and large. 20+ marine mask/wash/coverage kills with untested pairs. Repo-wide there are 261 __RAW_*/__OM_* override sites, 197 without a test. __RAW_DOWNGRADE_COVER_FRAC__ has per-site defaults 0.6 (6 sites) vs 0.8 (3). __RAW_DISABLE_MASK_DELIVERED_COVER__ silently collapses the state machine.",lane handoff section 3 'AV-07 / MC4-12'; Audit 12.2 finding 3,None,Inventory first (read-only); propose the supported matrix before deleting anything,"Inventory complete, supported combinations defined with pairwise coverage, each flag has an owner and expiry, obsolete flags deleted",B5,OPEN_READY
C4-MR-09,marine,Antimeridian and disposal semantics,Audit 4.1 MR-09,none,"FIXED 2026-08-16, both halves. (1) ANTIMERIDIAN: resolveDeliveredCoverage used plain numeric containment, but curView comes from map.getBounds() whose getWest()/getEast() return west>east across 180. For a wrapped view {175,-175} against a world cache {-180,180} every clause passes, so it reported COVERED and SKIPPED the repaint - the OPPOSITE of the safety direction its own header promises ('may only ADD repaints ... never remove a skip'). Not theoretical: the engine already carries the idiom 2300 lines earlier (_vbEast < _vbWest) and its own comments record a 2026-07 antimeridian bug where the conditions were DEAD CODE and half the field blanked. Fix REFUSES rather than reasons - a wrapped box either side is never a skip. NET ZERO LINES (engine held at 3207/3207); rationale moved to evidence. (2) DISPOSAL: disposeEngine nulled _overlayMaskTex and _overlayMaskBounds but NOT _overlayMaskTruthBox. Stated honestly - NOT currently reachable (overlayOn needs tex && bounds, both nulled, and the uniform site re-checks ob === _overlayMaskBounds), so hygiene not a live bug. Worth one line because this inventory has been wrong TWICE in production (_residentScoreTex leaked a grid-sized texture per cycle; raw deleteTexture drifted telemetry) and there was NO disposeEngine test anywhere. New WebGLMarineEngineInit.dispose.test.js pins the INVENTORY as a contract, incl. bounds<->truthBox as a PAIR. 141 suites / 1501 tests; lint:ci green; mutation-verified 3-red and 2-red.",program/weather-simulation/evidence/C4-MR-09-antimeridian-and-disposal-2026-08-16.md; WebGLMarineEngineInit.dispose.test.js (new); WebGLMarineEngine.deliveredCoverage.test.js (extended),None,"None for this row. NOTE for future wrap work: a wrapped CACHE against an UNWRAPPED view can never be naively-covered (arithmetic forbids it), so that case is inherently non-discriminating and is not claimed as coverage.",Wrapped coverage tested; truth box and bounds cleared consistently on dispose,B4,COMPLETED_AWAITING_PROMOTION
C4-MR-10,marine,Canvas2D fallback parity or explicit deprecation,Audit 4.1 MR-10,none,"OPEN. MarineParticleCanvas + WindParticleOverlay plus the FPS guardrail that switches into them have 0 tests and 0 register entries, and one trigger persists in localStorage with no reset path.",Audit 12.2 finding 2,Decide parity vs deprecation - this is a product decision about a user-reachable renderer,Present the parity-vs-deprecate recommendation with cost,Same validity/composition contract with optical coverage OR an explicit removal,B5,OPEN_READY
C4-MR-11,marine,Wide-zoom fog blank at the two widest zooms,Audit 4.1 MR-11,none,"⛔ THE EVIDENCE THIS ROW RESTED ON IS INCONCLUSIVE - established 2026-08-16, and the instrument is now fixed so the re-measurement can settle it. The 08-13 reading was: z2.99 -> 45 entered / 20 decoded (cache cleared); z2.00 -> 24 entered / 0 decoded, read as 'blocked at the floor'. It does not show that. TILE_TRUTH.protocolCalls is documented as 'actual decodes' and the DECODED_TILE_CACHE fast path returns BEFORE that counter, incrementing cacheHits instead - so ZERO DECODES IS EXACTLY WHAT A WARM CACHE PRODUCES WHILE SERVING EVERY TILE. openMeteoProtocol's own diagnosis string says it: protocolCalls===0 -> 'SourceCache is serving everything from GPU cache'. The z2.99 leg cleared the cache and warmed it with 20 decodes; the z2.00 leg then requested the SAME world tiles. That null hypothesis fits the numbers exactly and nothing recorded could separate it from a real block. STRUCTURAL CAUSE: 9 early returns sit between the protocol callback entry and the decode counter and only 3 were instrumented, so the trace counted ARRIVALS but not DEPARTURES. FIXED: traceOmServed() + reconcileOmTrace() - every entry now lands in exactly one bucket and entered === blocked + served is checkable, so a shortfall is visible AS a shortfall and a reading can be REFUSED rather than misread. Net ZERO lines in openMeteoProtocol.js (943/943 ceiling held) by folding both call sites onto existing statements, the same trick traceOmBlock was written for. Also NOT fog-specific: the source comment records every om:// raster layer blank at the floor. 238 suites / 2264 tests; lint:ci green.","frontend/src/components/map/omUrlTrace.js (traceOmServed/reconcileOmTrace); omUrlTrace.reconcile.test.js; openMeteoProtocol.js:843,861 call sites","Re-measure at z2.00 vs z2.99 on the authenticated dev alias with a CLEARED cache before EACH leg, and read reconcileOmTrace() - not the decode count alone. If served.cache_hit accounts for the entries, there is no blank and this row closes as NOT-A-DEFECT.",Blocked on the same authenticated browser as C4-P0-02. The instrument is ready; the reading is not admissible until reconcileOmTrace().ok is true.,Reproduced then absent with a committed widest-zoom scene,B5,BLOCKED_OWNER_re-measure-with-the-reconciling-trace
C4-MR-12,marine,Duplicate marine authority cleanup (4096/340 literals LANDUSE classification structural semantics),Audit 4.1 MR-12; MC4-03 residue,C4-MR-03 and parity,"PARTIAL. The 4096/340 literals live in 3 source copies, now behaviorally cross-pinned at 19e8c197 but not deleted. Deletable only after the truth gate covers the wash fully and parity holds.",lane handoff section 3 'MC4-03 residue',None,Hold until C4-MR-03 closes; the cross-pins already prevent silent drift,Single authority for each literal and classifier with parity tests green,B5,OPEN_BLOCKED_C4-MR-03
C4-MR-13,marine,Replace the brittle managed-uniform exact-count census,Audit 4.1 MR-13,none,"FIXED 2026-08-16 - and the scope was TWICE what the row said. The exact-count census existed at TWO sites, not one: marineCoverageContract.test.js (toBe(2)) and overlayTruthGate.test.js (toBe(3)). The pattern had been REPLICATED into the newer truth-gate suite when it was written, which is how a defect shape spreads. THE DEFECT: the count conflates TWO INDEPENDENT FACTS - how many uniforms a setter manages, and whether locations are cached - so it fails for the wrong reason (add a managed uniform, correct code goes red) AND passes for the wrong reason (break caching while removing a uniform: 2 calls x 1 uniform = 2, green). FIX: split into the two facts. Caching is now a DELTA assertion (second call re-queries ZERO, count-agnostic) with a non-vacuity check that call 1 really queried; membership is a NAMED set. MUTATION-PROVEN separation: (A) break caching -> caching test red, membership GREEN; (B) add a managed uniform -> caching GREEN, membership red (the old assertion failed here for the wrong reason); (C) break caching AND drop a uniform -> new caching test RED where the old toBe(2) would have been GREEN. C is the false negative the fix eliminates. 141 suites / 1503 tests; lint:ci green; zero exact-count census assertions remain in the marine tests.",frontend/src/components/map/marineCoverageContract.test.js; frontend/src/components/map/overlayTruthGate.test.js; mutation runs A/B/C,None,"None. The membership tests now name the managed set, so adding a uniform fails loudly and deliberately.",Test fails when a managed uniform is added or renamed - not merely when the count changes,B4,COMPLETED_AWAITING_PROMOTION
C4-MR-14,marine,Deploy-grade real browser and GPU optical matrix,Audit 4.1 MR-14; MC4-08,C4-P0-02,BLOCKED. All optical evidence to date is SwiftShader-only. The deployed-alias leg has never run.,lane handoff section 3 'MC4-08'; no authenticated preview run exists,None beyond C4-P0-02,Hold,Immutable preview receipts on supported real browser/GPU paths,B5,OPEN_BLOCKED_C4-P0-02
C4-SC-01,science,Integrate the nearshore runner and workflow on the default integration branch,Audit 4.1 SC-01; WS-CAN-0076,C4-P0-08,"INTEGRATED 2026-08-16 via PR #10 (squash, d555b17e). run_nearshore_validation.py and .github/workflows/nearshore-validation.yml are both on origin/dev, and GitHub now LISTS the workflow: 'Nearshore Validation (WS-CAN-0076)  active  335633280'. That listing is the acceptance gate - it is the thing that was impossible while the code sat on an unmerged branch, and it is what makes manual dispatch and the armed cron possible at all.",git ls-tree origin/dev -- .github/workflows/ shows nearshore-validation.yml; gh workflow list shows it active,Merge decision - see C4-P0-08,Owner sets NEARSHORE_VAL_ENABLED=1 to arm accrual (C4-SC-02). A manual dispatch can be run first as a smoke test.,Workflow visible in gh workflow list and a manual dispatch run is green,B3,VERIFIED_COMPLETE
C4-SC-02,science,Arm nearshore accrual (NEARSHORE_VAL_ENABLED=1),Audit 4.1 SC-02,C4-SC-01,"DEPENDENCY NOW MET. C4-SC-01 integrated 2026-08-16, so the workflow exists and is listed. It remains ARMED OFF by design. First graded cycle (from the lane's own receipt) was 7 live stations, 17 spot-hours = 7 station-hours, bias NEGATIVE at all seven (-0.03..-0.42 m). ⛔ That is a signal to ACCRUE, not to tune - do not move a coefficient on it.",commit 1d31e15b; lane handoff section 3 'Arm the nearshore lane',"Set repo variable NEARSHORE_VAL_ENABLED=1, but only AFTER C4-SC-01 integrates",Optionally run one manual dispatch as a smoke test before arming,Scheduled receipts accumulate on a cadence with no tuning applied,B6,BLOCKED_OWNER_set-NEARSHORE_VAL_ENABLED-after-merge
C4-SC-03,science,Protect the pair-table hard-refusal clock and refuse tuning from the first small sample,Audit 4.1 SC-03,none,"OPEN. Hard-refusal clock ~2026-11-13 (90 days from 08-15; warning starts at 75 days). First graded cycle: 7 live stations, 17 spot-hours = 7 station-hours, bias NEGATIVE at all seven (-0.03 to -0.42 m).",evidence/scientific-validation/nearshore-first-graded-run-2026-08-16.json on the lane,None,Add the age/refusal alert; preserve the negative bias as evidence not as a tuning instruction,Alert fires before the refusal date and no coefficient has moved on the small sample,B5,OPEN_READY
