Canonical ID,Title,Category,Intended Outcome,Source Audits,First Proposed,Most Recent Mention,Severity,Implementation State,Verification State,Current Disposition,Implementation Commits,Current Files / Symbols,Evidence At HEAD (this audit),Remaining Work,Release Gate,Dependencies,Program Objective ID,Audit 12.1 Disposition Note,Program 13.0 Status
WS-CAN-0027,Enable Playwright video capture (and upgrade 1.60 to 1.62) to close the recording evidence gap,Test / evidence infrastructure,"A temporal defect can be seen, not only described","11.0 SOTA table (named ""this audit's single largest evidence gap"", B-01)",2026-08-09,2026-08-12,Medium,Fully Delivered,Verified Current,Keep as Complete,-,frontend/playwright.config.js:32-36; frontend/package.json:109,"CLOSED 2026-08-13. video: retain-on-failure added to playwright.config.js use{}. FORENSIC NOTE: git log -S video on that file returned NOTHING -- the key had NEVER existed, across 5 audits that each disclosed the gap. VERIFIED AS THE PACKET SPECIFIED, with a positive control: a DELIBERATE failing test retains video.webm; the PASSING control retains nothing; and the file reaches playwright-report/data/*.webm, which is the exact path e2e.yml:177 uploads. Cause of the 5-audit gap is now known and is NOT negligence: an agent browser pane does not composite frames, so only Playwright own browser can produce media.","None. DELIBERATE DEVIATION FROM THE PACKET: the +1.60->1.62 bump was NOT done. Video is supported since Playwright 1.10, so the bump is not required for this objective, and the E2E lane has only just reached 5 consecutive greens after 6-pass/28-fail -- a framework bump changes the lockfile and every browser binary for no demonstrated benefit. Reopen only with a named 1.62 fix this objective needs.",Gate 3,WS-CAN-0059 (fix the lane before recording it),WS-OBJ-503,"BLOCKER CLEARED. Its dependency WS-CAN-0059 is CERTIFIED CLOSED (LV-02, five consecutive completed greens). At HEAD playwright.config.js still has no video key and @playwright/test is ^1.60.0. THIS IS THE AUTHORIZED NEXT MISSION. LV-08 gives the mechanism for six audits of zero recordings: an agent browser pane does not composite frames, so only Playwright own browser can produce them.",
WS-CAN-0028,"Synthetic canonical field harness (uniform E/W/N/S, vortex, checkerboard) through the real render path",Test coverage,"Row reversal, UV flip and handedness are verified in BOTH directions",11.2 Gate 2 residue; 11.3-draft session Mission A,2026-08-11,2026-08-12,HIGH,Not Started,No Evidence Located,Complete Remaining Work,-,frontend/e2e/,"Named by the 11.3-draft session as ""the largest true unknown in the system"" and ranked highest information gain per hour. Never started",Build it (~1 day estimated by the session that scoped it),Gate 1,WS-CAN-0027,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0029,Correct freshness_sec: the declared 1800 s budget no tier has ever met,Data truth,A staleness flag means staleness,11.3-draft session (Mission C),2026-08-11,2026-08-12,Medium,Not Started,Verification Failed,Repair,-,freshness_sec on point/grid responses,PRODUCTION 2026-08-12: /api/weather/point returns freshness_sec: 1800 unchanged. The session that diagnosed it measured 98 percent of triples exceeding it while nothing was older than 1.72 h,"Pin the true cadence with two samples, then an owner decision on the value",Gate 1,,WS-OBJ-202,RE-CONFIRMED 12.1 (LV-05): freshness_sec 1800 identical at all four geographies across three different tiles and two ingest paths. A constant is not a measurement.,
WS-CAN-0030,Finish T-1: make TRUTH VIOLATIONS consume parity status in EVERY path,Observability,The HUD cannot read green while a sibling instrument disagrees,11.2 handoff 5.2; 11.3-draft session (Mission B),2026-08-11,2026-08-11,Medium,Partially Implemented,Partially Verified,Complete Remaining Work,-,forecastDiagnostics.js:328-354; TruthOverlay.js,"The REFUSE third state SHIPPED (parityStatus, unsampledReasons at forecastDiagnostics.js:341-354). Whether every path consumes it was not re-verified here","The last mile, scoped by its own author at ~2 h",Gate 2,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0031,Repair the verdict-cache guardrail so content mutations of a cache hit fail,Test integrity,A cache that inverts the mask cannot ship green,11.4 Gate C / AUTHORIZED_NEXT_GATE_PACKET Stages 1-2,2026-08-12,2026-08-12,P1 (as published),Implemented and Active,Verified Current,Keep as Complete,ecfc1077,"marineMaskShelter.wrapper.test.js:159-162 (created[before]), :378-400","RV-04, THIS AUDIT: mutations M9 (hit returns all-one) and M8 (hit returns all-zero) applied at HEAD in an isolated worktree BOTH CAUGHT, 2 failed / 52 passed of 54 each. Unmutated control 54/54. Audit 11.4 Gate C (FAIL, 6 of 10 survive) is REFUTED at HEAD, and its own MUTATION_RESULTS_FINAL_10of10.json already said so in the same commit",Stage 3 only: an explicit non-vacuity guard inside the byte-identity assertion,Gate 3,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0032,Settle-debounce promotion for the ocean-mask classifier,Performance,Removes ~27 percent of panning classifier cost,Gate 6 series,2026-08-12,2026-08-12,Medium,Implemented in Shadow Mode,Partially Verified,Preserve but Do Not Modify,"85e3f1fb, 84c3fd60",marineMaskShelter.js:269-282 _shelterSettleGate,"DEFAULT-OFF by its author's explicit instruction (""MUST NOT be promoted yet""). A deferral leaves the mask un-suppressed for that frame: a visible-behaviour change behind a perf flag",A human must look at a pan before promotion. Do not promote without it,Gate 6,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0033,Non-monotonic z8/z9/z10 tier selection changes the served value at a fixed coordinate,Defect repair,Product selection is deterministic and disclosed,"11.0 SOFTWARE_JACOBIAN_MATRIX (""the strongest single lead"") / 11.2 RC-03",2026-08-09,2026-08-11,Critical (11.2 classification),Not Started,Verification Failed,Repair,-,Tier selection in the marine fetch ladder,Layer off-on x3 at a fixed coordinate gave 0.64/6.8 -> 0.44/3.1 -> 0.64/6.8. 11.2 records it survived the entire 11.1 window unrepaired. Not independently re-measured by this audit,Make selection deterministic; disclose the tier,Gate 1,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0034,"Provenance class must be a function of more than isEstimated, with a cannot-determine state",User-facing truth,The HUD cannot say AUTHORITATIVE NATIVE during a total load failure,11.2 RC-01,2026-08-11,2026-08-12,Critical (11.2 classification),Implemented and Active,Verified Current,Keep as Complete,post-11.2,TruthOverlay.js:274-286: NO DATA / UNVERIFIED SOURCE / ESTIMATED FALLBACK / SUBSTITUTED SOURCE / RESOLUTION UNKNOWN / COARSE n GRID / AUTHORITATIVE NATIVE,"Seven states at HEAD, gated on gridVectorCount, productId, isEstimated, isSubstituted and resolutionDeg","None. NOTE: its resolution input relies on backendWeatherServiceClientDiag.js:203-210 deriving from served grid bounds, because WS-CAN-0014 never landed",Gate 1,WS-CAN-0014,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0035,Parity gate must REFUSE when either side is unsampled,Observability,Absence stops being encoded as agreement,11.2 RC-02,2026-08-11,2026-08-12,Critical (11.2 classification),Implemented and Active,Verified Current,Keep as Complete,post-11.2,"forecastDiagnostics.js:288-354 (unsampled, parityStatus, unsampledReasons)","Third state present at HEAD. The separate ~10-week orphaned read (renderedVectorCount / renderedNonzeroCount, which nothing wrote) is ALSO fixed: forecastDiagnostics.js:48 now reads webglSourceVectorCount, with the history documented in-file at :15-31",None,Gate 1,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0036,"Detection, disclosure and recovery on weather request failure",Reliability,A total load failure is visible to the user and the system,11.2 RC-04,2026-08-11,2026-08-11,Critical (11.2 classification),Partially Implemented,Partially Verified,Complete Remaining Work,post-11.2 (NO DATA class),TruthOverlay.js provenanceClass NO DATA branch,The disclosure half is now reachable (gridVectorCount 0 -> NO DATA). Detection and recovery were not re-tested by failure injection in this audit,Re-run 11.2 failure injection against HEAD,Gate 2,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0037,"Build a frame harness (Playwright headed, visible viewport) so frame rate is measurable at all",Test infrastructure,Unblocks every retracted FPS reading,11.2 (FPS retraction) / 11.3-draft Mission D,2026-08-11,2026-08-12,Medium,Not Started,Verification Failed,Complete Remaining Work,-,frontend/playwright.config.js (4 browser projects already configured),"FRAME RATE IS UNMEASURABLE IN THE BROWSER PANE (RAF 1 frame / 5 s, unfocused-tab throttling). All FPS readings in the program are retracted. No headed harness exists",Estimated half a day by the session that scoped it,Gate 3,WS-CAN-0027,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0038,Reconcile DO_NOT_ADVANCE_ITEMS against the live gate matrix,Governance,The next session does not re-measure closed gates,11.3-draft Mission E,2026-08-11,2026-08-12,Low,Not Started,No Evidence Located,Complete Remaining Work,-,audit/weather-simulation-11.2/DO_NOT_ADVANCE_ITEMS.md,Scoped at five minutes by the session that named it. Superseded in form by this audit: 12.0 IS the reconciliation,Merge into the 12.0 canonical register and retire the standalone file,Gate 0,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0039,Unfreeze the production Netlify frontend,Release / owner,Users receive the work,Standing since 2026-08-05,2026-08-05,2026-08-12,P0-owner,Not Started,Verified Current,Preserve but Do Not Modify,-,Netlify production site,"MEASURED 2026-08-12: rawsurf.netlify.app/service-worker.js BUILD_VERSION = 3bd38a83 (2026-05-20), while dev--rawsurf.netlify.app = 3ec3fd13 = HEAD exactly. Production frontend is 84 days behind HEAD",OWNER DECISION ONLY. Every frontend finding in this program is about an artifact production does not serve,Gate 0,,WS-OBJ-104,RE-MEASURED 12.1: prod SW BUILD_VERSION = 3bd38a83 (2026-05-20); dev SW = 9febd970 = HEAD exactly. Now EIGHTY-FIVE days behind. OWNER DECISION ONLY.,
WS-CAN-0040,Read the production Render environment variable screen,Evidence / owner,Bounds several flag-state questions in minutes,"11.0 S2.4, carried from the prior master",2026-08-08,2026-08-12,P0-owner,Not Started,Blocked,Complete Remaining Work,-,Render dashboard,Named as a standing gap by two consecutive masters. One dashboard screen,OWNER: one screen read,Gate 0,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0041,Uninstall the Vercel GitHub App,Hygiene / owner,Removes 8-of-8 failing deployment noise,Standing,2026-08-05,2026-08-11,Low,Not Started,Verified Historically but Not Current,Complete Remaining Work,0eac7f32 (noise resolved),GitHub app settings,"Owner stated ""we never set it up, we have Netlify"". The noise was resolved; the app was not uninstalled",OWNER: one click,Gate 0,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0042,Resolve the calibration census bound question honestly (re-derive at the operating percentile or wait for ERA5),Scientific calibration,A bound grades the population it was authored for,11.0 batch 3 / threshold-outlives-calibration class,2026-08-09,2026-08-12,Medium,Partially Implemented,Verified Current,Defer,42242bef,Forecast Calibration Census workflow; science_registry ratchet (d12d363c),The workflow is GREEN at HEAD (2026-08-12T15:31Z scheduled). The instrument defect was fixed (page on the percentile-invariant claim; absolute miss downgraded to BOUNDS STALE),OWNER: the bound value itself. NEVER widen. Registry debt count was 29,Gate 5,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0043,"Arm the marineCommitArbiter (shipped dark, 3000/3000 differential-tested)",Architecture consolidation,The pure reducer replaces the branch-heavy guard chain,11.0 R11-06 / Codex F-09,2026-08-09,2026-08-09,Medium,Implemented but Inactive,Partially Verified,Defer,pre-11.0,__RAW_MARINE_ARBITER__ flag; arbiterDecide,Ships dark behind a flag while the branch-heavy chain remains the live path. A shadow divergence ring exists,"Read arb_shadow_diverge rate first, THEN flip. Benchmark-first, not adopt",Gate 4,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0044,Fix the p2 rollout evaluator inverted exclude precedence before any canary,Defect repair,A canary cannot target the population it was told to exclude,Prior master / 11.0 R11-13,2026-08-08,2026-08-09,Dormant landmine,Not Started,No Evidence Located,Defer,-,p2.py:556-561 target-before-exclude,Zero callers today. Not re-verified at HEAD by this audit,Fix before any canary is wired,Gate 4,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0045,Add a non-vacuity guard to the verdict-cache byte-identity assertion,Test integrity,The equality cannot degrade into two empty buffers being equal,11.4 packet Stage 3,2026-08-12,2026-08-12,Low,Implemented and Active,Verified Current,Keep as Complete,uncommitted 2026-08-13 (marineMaskShelter.wrapper.test.js),marineMaskShelter.wrapper.test.js:378-385,"SHIPPED AND MUTATION-VALIDATED 2026-08-13. expectBothPhases() asserts the stamped buffer contains BOTH fully-opaque (sheltered, alpha 255) and fully-transparent (open, alpha 0) pixels, per the encoding at marineMaskShelter.js:438-440, so a byte-identity assertion cannot degrade into 'two blank buffers are equal'. Applied to the headline byte-identity test AND the POST-close test, which compares three buffers and had the identical exposure. VALIDATED THE WAY THE PACKET SPECIFIED: with NARROW mutated to an all-land fixture the byte-identity test FAILS on the guard, naming the missing phase (hasOpen: false); fixture restored, 54/54 pass. Full map surface 129 suites / 1362 tests green. LOC 624/800, ratchet clean. ⚠️ The sibling assertion (narrow.shelteredFrac > 0) was NOT protection -- fixtures drift and a sibling passing tells this assertion nothing, which is why the guard lives in the assertion it protects.","None. THIS CLOSES THE LAST OPEN STAGE OF AUDIT 11.4's AUTHORIZED_NEXT_GATE_PACKET -- stages 1, 2 and 4 were already complete at that packet's publication (see RV-04 / CF-01)",Gate 3,WS-CAN-0031,WS-OBJ-502,COMMITTED post-12.0 at 29ff21ab. Closes the last open stage of Audit 11.4 packet.,
WS-CAN-0046,Zarr / Kerchunk / COG / Dask cloud-native data migration,Data modernization,n/a,"MASTER-AUDIT 9.0/10.0/11.0, 11.2 DO_NOT_ADVANCE",2026-08-06,2026-08-11,n/a,Not Started,No Evidence Located,Reject,-,n/a,"Priced against what it would replace by three consecutive audits; all lose. 11.2 adds the decisive reframe: the backend data contract is already strong, the defect is that the CLIENT discards it",None. Reopen only with new evidence,n/a,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0047,JAX / CuPy / GPU / Numba numerical acceleration,Numerical modernization,n/a,MASTER-AUDIT 9.0/10.0/11.0,2026-08-06,2026-08-09,n/a,Not Started,No Evidence Located,Reject,-,n/a,Load-bearing premise re-verified at 11.0: 4 s CPU global forecast. There is no measured numerical bottleneck to accelerate,None,n/a,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0048,SWAN / FVCOM / GNN / nested grids / AMR nearshore modelling,Nearshore modelling,n/a,"MASTER-AUDIT 9.0/10.0/11.0, 11.2",2026-08-06,2026-08-11,n/a,Not Started,No Evidence Located,Reject,-,n/a,"Three audits agree the binding constraint is INPUT COVERAGE (0.25 degree tiles, break depth, shore normals), not physics. 11.2 adds: cannot validate a finer model while a fixed coordinate value depends on interaction history (RC-03)",None until WS-CAN-0033 closes and coverage grows,Gate 7,WS-CAN-0033,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0049,Neural emulators / learned downscaling / AI bias correction / model blending,AI-assisted forecasting,n/a,"MASTER-AUDIT 9.0/10.0/11.0, 11.2",2026-08-06,2026-08-12,n/a,Not Started,No Evidence Located,Defer,-,n/a,11.2: a learned correction fitted against an unvalidated baseline is unfalsifiable. THIS AUDIT ADDS THE DECISIVE DATUM: at HEAD the served lane loses to a FREE public model at all three leads on n~1700-1800 paired samples. There is no validated baseline to correct toward,Blocked on WS-CAN-0026 and a matured ledger,Gate 8,WS-CAN-0026,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0050,WebGPU / OffscreenCanvas / SharedArrayBuffer rendering modernization,GPU modernization,n/a,"MASTER-AUDIT 10.0/11.0, 11.2 DO_NOT_ADVANCE",2026-08-07,2026-08-11,n/a,Not Started,No Evidence Located,Defer,-,n/a,"No measured GPU bottleneck. 11.2: adding a worker adds an authority to a subsystem that already has three disagreeing ones. AND frame rate is currently unmeasurable (WS-CAN-0037), so no before/after could be graded",Blocked on WS-CAN-0037,Gate 6,WS-CAN-0037,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0051,Learned nearshore transform,Nearshore / AI,n/a,QUEUE-2026-08-03,2026-08-03,2026-08-09,n/a,Not Started,Verified Current,Defer,-,n/a,Postponed by 11.0 with a stated reason that is itself the finding: the dataset is not growing,None until the observation dataset grows,Gate 8,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0052,SURF_PARTITIONS flip,Scientific calibration,n/a,Prior master / 11.0,2026-08-08,2026-08-12,High risk,Not Started,Verified Current,Defer,-,"point_resolution.py:121, spot_conditions.py:138, both default ""0""","Its named blocker WS-CAN-0002 IS now closed (the JS mirror refusal shipped). The cap-seam remains, and the flag is still OFF at HEAD",Cap-seam decision + all lanes flip together + owner,Gate 5,WS-CAN-0002,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0053,SURF_TIDE_DEPTH flip,Scientific calibration,n/a,Prior master / 11.0 / INDEX-forecast-science,2026-08-07,2026-08-12,High risk,Partially Implemented,Partially Verified,Defer,-,science_registry,"OWNER DECISION recorded as OFF. Tide is measured at 19x the reach of gamma, so this is the highest-reach absent nearshore term",Break-depth completion + a positive-control census,Gate 7,,WS-OBJ-602,"EIGHTEEN post-12.0 commits - the single largest work stream since 12.0. Six tide samples, five nulls; the harness is proven able to see a 38.1-point move. Sample 2 (8 rows / 3.2 pts) remains unexplained after every hypothesis was tested and failed. Still an OWNER call.",
WS-CAN-0054,Arm the skill-MAE gate,Scientific validation,The ledger can page on a real accuracy regression,11.0 F-06 constraint,2026-08-09,2026-08-12,Medium,Not Started,Verified Current,Defer,-,forecast_accuracy_monitor.py,Deliberately unarmed until ~2026-08-22 on two clean weeks. The ledger clock it waited on IS now closed: run 31606511901 reads ledgered=1044 scored=919 pending=25640 evicted_cap=0,"Wait for 08-22, then arm. Do not tune constants before then",Gate 5,WS-CAN-0026,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0055,Close the standing stale-worktree hygiene hazard,Hygiene,Searches cannot silently read a different commit,11.0 title page,2026-08-09,2026-08-12,Low,Not Started,Verification Failed,Complete Remaining Work,-,git worktree list,"Report 11.0 flagged ONE stale registered worktree. At HEAD there are SIX, five of them pinned to 79056047/e8f10955 from a prior session. This audit added and correctly removed its own",OWNER/session-owner: prune the five orphans (they may hold another session work - do not force-remove blind),Gate 0,,WS-OBJ-704,"WORSE AT 12.1: seven registered worktrees, not six. Five orphans still pinned to 79056047/e8f10955, plus one live claude/ worktree at ac08781d on another branch. Prune the five deliberately.",
WS-CAN-0056,Establish one continuous release-gate taxonomy,Governance,A gate has a history,THIS AUDIT,2026-08-12,2026-08-12,Medium,Not Started,No Evidence Located,Complete Remaining Work,-,audit/weather-simulation-11.2/RELEASE_GATE_MATRIX.csv vs audit/weather-simulation-11.4/RELEASE_GATE_MATRIX.csv,"11.2 publishes gates 1-8 by DOMAIN (Data Truth, Projection Truth, ...); 11.4 publishes gates A-I by AUDIT DIMENSION (Mission Compliance, Causal Closure, ...). They are different taxonomies. 11.2 Gate 1 Data Truth FAIL has NO successor row in 11.4. 11.4 Gate C Test Integrity has NO predecessor",Adopt one taxonomy (12.0 uses the domain gates) and map both historical matrices onto it once,Gate 0,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0057,Default serving model: GFS vs EURO,Scientific correctness / model selection,"The served default is the lane the evidence supports, or the reason it is not is recorded",THIS AUDIT (arises from WS-CAN-0026's output),2026-08-12,2026-08-12,Medium,Not Started,Verified Current,Investigate,-,"BUOY_CALIBRATION_MODEL; /spot-ratings default; backend/scripts/model_skill_census.py (the instrument, pre-existing)","RV-08: EURO better in 28 of 30 paired ledger cells, strengthening as n grows 658->2092. RV-09: the provider CONTROL dismantles the headline -- restricted to sites where EURO actually served ECMWF (n=34 of 60) EURO beats GFS by 2.9%, not 36.7%. RV-11: the 26 sites carrying the headline are 26/26 on COARSE global coverage for GFS, while ECMWF-served sites have a regional tile 56% of the time. The advantage is COVERAGE, not model. POOLED 2026-08-13 (RV-10, 9 runs over ~7 h, 21:00Z-03:00Z): the decomposition HOLDS. EURO/ecmwf n=33-39 -> EURO 0.1676 vs GFS 0.1780 = 5.9% better like-for-like, against a pooled headline of 33.5% (EURO 0.1658 vs GFS 0.2493). Sites routed away from ecmwf held at 20-26 of 60 in every run. EURO was best_model 9/9 and won every sampled band 9/9. SAMPLER HOMOGENEITY CHECKED: model_skill_census.py was untouched while the branch moved 7 times under the pool, so the 9 runs are one instrument, not two averaged. big >3m NOT SAMPLED in any of the 9 runs -- and that is an honest absence, not a sampling defect: 0 of 204 fresh NDBC stations worldwide report >3.0 m, and the census stride's sampled distribution is identical to the full one (max 2.80, p90 1.60, median 0.60 in both). ⚠️ 9 runs over 7 h sample ONE synoptic situation; at r>0.95 hourly autocorrelation the effective independent n is 1-2, so the WEATHER rows are not a confidence bound.","DO NOT FLIP -- now on 9 pooled runs, not one. Superseded in priority by WS-CAN-0058. The tail remains the open question and it is a CALENDAR dependency, not an engineering one: it needs a storm, not more runs. Re-run the pool across DAYS when one arrives",Gate 1,WS-CAN-0058,WS-OBJ-603,"DO NOT FLIP - unchanged. 12.1 ADDS from the live monitor (LV-03): raw_surf:ICON MAE 0.310/0.342/0.383 vs the served lane 0.187/0.203/0.219 - ICON is 66-75% worse at every lead and is user-selectable. A model-selection datum, not an accuracy incident.",
WS-CAN-0058,0.25 deg regional tile-coverage expansion (+3 to +5 regions),Data coverage / forecast accuracy,Fewer served spots resolved from the coarse global grid,THIS AUDIT; the coverage constraint is the standing conclusion of MASTER-AUDIT 9.0/10.0/11.0,2026-08-12,2026-08-12,HIGH,Not Started,Verified Current,Complete Remaining Work,-,"pilot_regions.WORLDWIDE_COASTAL_REGIONS (12, rotating 3/fire, 32 h) + REGIONAL_CONFIGS (2, core, every fire); WORLDWIDE_REGIONS_PER_CYCLE in forecast-ingest-pilots.yml AND forecast-ingest.yml; test_worldwide_count_and_per_cycle_keep_the_32h_cadence","RV-12. DEMAND: 1041 of 1773 catalogue spots covered (58.7%), 732 (41.3%) on the coarse grid. BENEFIT, two independent instruments agreeing: MAE 0.30-0.32 coarse vs 0.177 tiled (RV-09/RV-11), and tier_resolution_delta.py's 21.0% median / 41.7% max breaking-height geometry error that does not shrink with lead. COST: download is free since multi-bbox removed the x REGIONS term (276->138 steps); the binding constraint is CADENCE against a 200-min timeout, with pilot runs at median 80.4 / max 102.2 min -- and that ceiling already caused three cancelled core runs once. +3 -> 62.6%, +5 -> 65.0% POOLED CONFIRMATION (RV-10): the coverage split held at 20-26 of 60 sites routed away from ecmwf across all 9 runs, and the like-for-like model gap is 5.9%. The premise of this task is confirmed on 9 runs.","Add 3-5 regions (Puerto Rico/VI, Madeira, Morocco, Panama/CR Caribbean, Sri Lanka/Maldives) and raise WORLDWIDE_REGIONS_PER_CYCLE in BOTH workflows together. GATE ON ONE MEASUREMENT FIRST: the fixed-vs-variable runtime split of the pilot lane (one instrumented run at per_cycle 4 vs 3). Do not exceed per_cycle 5 without it -- the +15 estimate lands near 180 min against a 200-min ceiling and is the weakest number in RV-12. Caveats: coverage is bbox containment not served-payload validated; spot count is not usage-weighted demand",Gate 1,-,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
