artifact_path,bytes,sha256,created_utc,test_id,commit_range,branch,browser,viewport_dpr,app_url,producer,description
"SOFTWARE_JACOBIAN_MATRIX.csv","6314","3f6d8beee9f06919ee51abe25d54be6e92d300dc63721f78318a533990026808","2026-08-09T22:33:15.4778994Z","WS11-JACOBIAN","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","lead","19 input x output perturbation relationships"
"SOURCE_AND_HISTORY_LEDGER.md","6537","7d6aa58391b1d40701f1ffe45022d4ac67b2ce9776f34025563a292de13234f3","2026-08-09T23:29:34.0942585Z","WS11-LEDGER","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","lead","What was read, by whom, and what was not"
"SYSTEM_CAPACITY_PROFILE.md","7614","daadcd0c4e0b6447dfeacb9b23c3f6fd51d623245e10ff3c71c56c7ec21ec3db","2026-08-09T22:35:17.2932768Z","WS11-CAPACITY","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","lead","Measured host, browser, GPU, network envelope"
"UPGRADE_STATUS_MATRIX.md","64329","25223252f5e39998e65b8a5fa02b9dcfda73ec69d0c8e1b00df334ab0b4650a6","2026-08-09T22:57:29.3843752Z","WS11-UPGRADE","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-F1","Per-upgrade runtime status at HEAD"
"WEATHER_SIM_TEST_LADDER_RESULTS.csv","9215","255e4a8542df2f38bbc208316e051c5275f62cf6f8412ec722a6e7079d6905ed","2026-08-09T22:34:12.6290050Z","WS11-LADDER","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","lead","33 ladder tests L0-L12"
"evidence/baseline-comparisons/A2-history-leads.md","28017","34171ab36fed75ed325ec003632e964ae7d577ff6a42459579cd06d8988ce5d3","2026-08-09T22:21:21.3189105Z","WS11-HIST","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-A2","Baseline-commit verdict plus 8 forensic leads"
"evidence/console/A1-contradiction-ledger.md","29178","76ca2a5703158fde200cc9a7a16f96a06939b0fd82cefa186b76b73540ee1337","2026-08-09T22:24:54.6152899Z","WS11-CONTRA","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-A1","18 doc-vs-doc and doc-vs-code contradictions"
"evidence/console/LIVE-RUNTIME-EVIDENCE-PACK.md","21125","f74d553ded1d46b16e428abda6dabdf3138752b0f5d622bc3b1f57558bc8f3d0","2026-08-09T22:31:27.0932078Z","WS11-LIVE","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","lead","All live browser probes with raw numbers"
"evidence/network/B2-backend-pipeline-map.md","67765","5dd79c30ac5dde277503a72ceea62392cbe686be899d0ef5f27592805c22fec3","2026-08-09T22:30:21.9504472Z","WS11-BACKEND","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-B2","Ingestion to API map, caches, flag table"
"evidence/react-scan/F2-state-of-the-art-2026.md","71552","261af063eeb4db428c1350c31590de2d64cd04c715070ca8bc5a9040e3f11a07","2026-08-09T22:59:58.5167190Z","WS11-SOTA","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-F2","30 SOTA decisions with sources and access dates"
"evidence/synthetic-probes/E1-science-correctness.md","47644","87a94e43da2cb9d9c21d699b549b06982392d6b57c5be3296d60406c381baceb","2026-08-09T22:36:46.5281367Z","WS11-SCIENCE","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-E1","Units, conventions, composition parity"
"evidence/synthetic-probes/probe_E1_band_vs_point.py","6147","9d503cfaa11a05e1befdb672164a7c6a3d244d886804570e8938db1a2121c5ac","2026-08-09T22:19:01.8912831Z","WS11-SCIENCE","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-E1","Re-runnable python probe script"
"evidence/synthetic-probes/probe_E1_capseam_jacobian.py","4865","5c84d321027b3d4553fd86b373541d8fa0effd7c9fe3db094de17db8fdee5e46","2026-08-09T22:27:13.6648984Z","WS11-SCIENCE","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-E1","Re-runnable python probe script"
"evidence/synthetic-probes/probe_E1_conventions.py","7116","2c2ae04364d82f014abc6c2baa65a33152f2a82db111621677093984e9f4b527","2026-08-09T22:24:24.5557989Z","WS11-SCIENCE","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-E1","Re-runnable python probe script"
"evidence/synthetic-probes/probe_E1_sweep.py","8466","6ec9c42e22623dc5040b3fdb28532db115a3f98f9dc8f5aa00b37a9bcf2f87f6","2026-08-09T22:10:32.1577765Z","WS11-SCIENCE","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-E1","Re-runnable python probe script"
"evidence/synthetic-probes/redteam_G_E1_03_control.py","6544","6d8ac98bdaf7af124645f902184d9ee58c226c25835246866e676d68813bdb12","2026-08-09T23:16:54.8730317Z","WS11-REDTEAM","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-G","Adversarial reproduction/control script"
"evidence/synthetic-probes/redteam_G_F07_probe.py","2908","cba1773b25f3700979f8dfe4c59e41390ef9b856ec5362e190e5a4bf9837f00c","2026-08-09T23:19:35.8083629Z","WS11-REDTEAM","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-G","Adversarial reproduction/control script"
"evidence/synthetic-probes/redteamG_E1_ceiling_and_alternative.py","6238","1cef8ef6ed1e0d1c2dbc3a4c924f5a60d21c6dd202a2e91d71843474cef93828","2026-08-09T23:21:15.1458953Z","WS11-REDTEAM","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-G","Adversarial reproduction/control script"
"evidence/synthetic-probes/redteamG_E1_denominator.py","7804","d6b82478bfbb0cfd765c2cf7a51045a222e40a558f587c080bdf3b56140af004","2026-08-09T23:18:56.2006340Z","WS11-REDTEAM","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-G","Adversarial reproduction/control script"
"evidence/webgl/D1-render-and-react-forensics.md","41258","5adce9375316796317c0e23cf81a87d2cbabab7b09102e18d02881d8e43f4784","2026-08-09T22:21:32.5963066Z","WS11-RENDER","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-D1","Static React/MapLibre/WebGL forensics"
"repro/d03-scrub-flag-leak.test.js","5924","6495ff6235e5361ec5a62e1c1ad79a3b291484b2f084cb285998ce094a71df57","2026-08-09T23:18:31.5783925Z","WS11-MISC","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","subagent","Audit-only harness or repro script"
"scratch/g_a2_02_altcause.py","2188","c098c824478d49cbaeb3a01f2d0981e9dce38b45ecc9bc0eeb4a20719504b115","2026-08-09T23:10:19.7092339Z","WS11-MISC","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","subagent","Audit-only harness or repro script"
"scratch/g_a2_02_landbit_probe.py","2447","874efbf01f5b9d6795d8af62b358f8ad5843210012b79c719a441159d4fd92b7","2026-08-09T23:08:19.7024096Z","WS11-MISC","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","subagent","Audit-only harness or repro script"
"scratch/G_redteam_B2-01_e1.py","2454","ddfa5a6a0159776fc22a76d7bae4a64f9cd54ba384ce092c9407b85ecbf473fe","2026-08-09T23:17:42.6463243Z","WS11-REDTEAM","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-G","Adversarial reproduction/control script"
"scratch/G_redteam_B2-01_isolate.py","4838","d1700b4e675d6f33b30ade6f5b89020e7ed0e2c7f3f9ce6e5c822b297ac0344f","2026-08-09T23:15:14.2651440Z","WS11-REDTEAM","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-G","Adversarial reproduction/control script"
"scratch/G_redteam_B2-01_reach.py","6472","167c7b66c4ffdd92fa6ddd460841fe87c2213e9e5f097ab5bd9c19cfb889e1cf","2026-08-09T23:16:54.8730317Z","WS11-REDTEAM","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-G","Adversarial reproduction/control script"
"scratch/G_redteam_B2-01_repro.py","5946","b3b9e535ecfd4e8ecec85bd66717c42ad8110d11c29b0cd489131543c5169c9a","2026-08-09T23:14:03.6418373Z","WS11-REDTEAM","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-G","Adversarial reproduction/control script"
"src/agentG_A2-03_measure.test.js","2248","3ff9346987dc6d3451af778f71a5cf49a1c23503acef98b8554b7c2f325653a6","2026-08-09T23:10:58.8048498Z","WS11-REDTEAM","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-G","Adversarial reproduction/control script"
