mission_id,title,authorized_scope,claimed_result,start_commit,end_commit,scope_verdict,auditor_note
CI-FLOOR-LANE,CI lane-floor maintenance,"Implicit maintenance under BLOCKERS_AND_DECISIONS.md D-5 (as corrected 2026-08-15): floors are CI-anchored, edited as a PAIR (ci.yml MIN_PASSED + test_ci_floor_staleness.py _FLOOR_SET_FROM) BEFORE the push.",Eight floor commits in the range plus 568fc2c6 at HEAD; ef72e56f claims 'guards 1788 / chain 790 / estate 413 — each EXACTLY the floor-source prediction'.,886094ce,568fc2c6,Implemented with Safe Variation,"Two floors were LOWERED (5fcdd817 estate 396->386; ce66f6f4/dd9dadff estate 423->414), each with a stated measured reason, and the one-sided staleness check was not weakened. The pre-push hook was honoured rather than bypassed: 568fc2c6's body records 'The pre-push hook refused the push... Fifth time this lane has needed the raise, and the hook has now caught it 5 of 5' — direct evidence that the 12.2 prohibition on `--no-verify` held. NOTE: 6 of the 127 commits are exact duplicates created by the ed280c93 merge ('reconcile main's rebase-merged history back into dev'). Verified by patch-id: e0fb3289/118cfabc, ce66f6f4/dd9dadff, d72444b5/72a8edba, be6a705a/7bb7b9d6, bf8fb4cd/0509b1ec, d4c6f487/7362bab4 are all SAME_PATCH. The effective distinct commit count is 121, not 127."
CONTROL-FILE-STALENESS,Staleness of the Program 13.0 control files (a finding in itself),PROGRAM_CONTROL_13.0.md: 'This directory is the living implementation record... One verified mission at a time; registers updated in place.' Its 'Where to start' table names the five files a fresh session must read first.,CURRENT_HANDOFF.md: 'Written so a fresh session can continue WITHOUT rereading the 12+ audits.',791fdf78,fb50fa6d,Contradicted,"ALL SEVEN control files are stale, measured as commits-behind-HEAD by `git log -1 -- <path>` then `git rev-list --count`: PROGRAM_CONTROL_13.0.md 120 (last d8c866bd, 08-14) · CURRENT_MISSION.md 118 (last 3afaf8b1, 08-14) · MISSION_HISTORY.md 112 (last 6df51b03, 08-14) · CURRENT_RELEASE_GATE_STATUS.md 93 (last 8aa7aa93, 08-15) · BLOCKERS_AND_DECISIONS.md 92 (last 834b1cfe, 08-15) · CURRENT_EXECUTION_STATE.json 84 (last d4c6f487, 08-15) · CURRENT_HANDOFF.md 64 (last 198280d6, 08-15). CONCRETE CONTRADICTIONS AT HEAD: (1) CURRENT_MISSION.md:3 declares 'Mission 2' the open mission, which MISSION_HISTORY.md itself records as Verified Complete — the 'mission contract currently open' file has been four days stale and three missions have run since. (2) MISSION_HISTORY.md contains closure certificates for Missions 1 and 2 ONLY; Missions 3, 4 and 5 and the entire 61-commit halo campaign have no entry — the program's own history is missing 48% of its work. (3) CURRENT_EXECUTION_STATE.json:3 says `""updated"": ""2026-08-14""`, :48 says `""pushed"": false`, :51 says `""authorization"": ""none given""`, and :133 repeats `{""pushed"": false, ""authorization"": ""none; program rule 7""}` — but at HEAD `git rev-parse HEAD origin/dev` returns the SAME sha (568fc2c6), i.e. everything IS pushed, and COMPLETION_LEDGER_4.2.csv (C4-P0-08) records dev promoted to main via PR #9 with `git diff --stat origin/main origin/dev` EMPTY, plus origin/main now at f2e98a32 'Promote dev to main: halo fix... (#12)'. On this repo a push to dev IS a production backend deploy, so the control file that a fresh session reads to learn the release state asserts the exact opposite of the truth. (4) CURRENT_EXECUTION_STATE.json:72 'next_recommended_mission: WS-CAN-0064 + WS-CAN-0009' — both were completed inside the window. (5) The register's WS-CAN-0039 row still reads 'Not Started' while COMPLETION_LEDGER_4.2.csv (C4-P0-09) carries a 2026-08-16 MEASUREMENT that the freeze is a Netlify publish lock — the newer truth lives in the parallel ledger, not the canonical register. AUDIT-EXECUTION NOTE: HEAD moved DURING this audit. The task named fb50fa6d as HEAD; `git rev-parse HEAD` now returns 568fc2c6, one commit further on (2026-08-18, chain floor for the island lane). 791fdf78..HEAD is 128 commits, not 127. This is the same shared-worktree hazard the ledger already flags as C4-GOV-01 (BLOCKED_OWNER_assign-single-source-owner)."
(requirement),"12.2 acceptance: grep -c ""surf_alert_body|rating_level"" backend/scheduler/surf_alerts.py > 0 (currently 0; control: the route reads 8)",,,,,MET — verified by code,"`git grep -c -E ""surf_alert_body|rating_level"" 791fdf78 -- backend/scheduler/surf_alerts.py` = 0 (no output); same at fb50fa6d = 5."
(requirement),"12.2 acceptance: zero live ""perfect conditions""-class literals in any file the discovered census returns",,,,,MET — verified by code,"791fdf78:backend/scheduler/surf_alerts.py:94 holds the live f-string; at fb50fa6d every remaining occurrence is a comment or a test constant (backend/scheduler/surf_alerts.py:80, backend/routes/surf_data/alerts.py:25,342, backend/tests/test_surf_alert_states_the_quality.py)."
(requirement),"12.2 acceptance: the guard FAILS on the pre-fix tree naming scheduler/surf_alerts.py:94, and passes after",,,,,UNVERIFIED,"a1b5aac3's body claims '2 failed -> 9 passed, naming :94'. No test-run artifact for this is in the repo. Verifying it requires checking out 791fdf78 with a1b5aac3's test file applied and running pytest — outside this read-only audit."
(requirement),"12.2 acceptance: CI green with content — backend 1779+ collected, frontend 2138 passed, E2E 'Running 52 tests'",,,,,UNVERIFIED,No CI log or run artifact for a1b5aac3 exists under program/weather-simulation/evidence/. `gh run list --commit a1b5aac3` would settle it.
(requirement),12.2 step 4: make the push deep link and the in-app link agree on a destination that reads its parameter,,,,,MET — verified by code,"791fdf78:frontend/public/service-worker.js routed surf_alert to `/map?spot=${data.spot_id}`; fb50fa6d:frontend/public/service-worker.js:295 routes to `/alerts?alert_id=...`. Map components still hold zero spot-param readers at HEAD (only MarineAnimTuner.js:55 `?tuner=1` and TruthOverlay.js:23 `?diag=1`, both unchanged from baseline), so the fix was made on the consumed side."
(requirement),"12.2 forbidden: do not change any forecast quantity, constant, or science_registry.py value",,,,,"DEVIATION — outside the 0066 mission, under separate external authorization","`git log 791fdf78..fb50fa6d -- backend/services/weather_pipeline/{surf_rating,science_registry,surf_transform,surf_point}.py` returns exactly two commits: bf8fb4cd (WS-CAN-0075 config hardening) and 6e4e44fb (WS-CAN-0072 cap seam). Neither is part of WS-CAN-0066; both are Master Codex 1.0 items with register rows at CURRENT_TASK_REGISTER.csv:68,71."
(requirement),"12.2 + 13.0 forbidden: do not flip any flag (SURF_PARTITIONS, SURF_TIDE_DEPTH, __RAW_MARINE_ARBITER__, the 261 window.__RAW_* overrides)",,,,,"SUBSTANTIALLY MET, one recorded deviation","Named science flags untouched; SURF_CAP_SEAM_MONOTONE shipped default OFF (BLOCKERS_AND_DECISIONS.md D-4); the land-aware wave fetch was defaulted back OFF at f7714cf2 after its own A/B said it made the halo worse. DEVIATION: 784b4c6c changed `ocean-mask-buffer` from on-whenever-a-marine-layer-is-active to opt-in via __RAW_WATER_TEMP_COAST_BUFFER__ — a live default change on a __RAW_* override surface, on the production frontend render path. It is mutation-verified (3 tests red on restore) and logged in LAYER_ORDER_PROOF_LOG.json, but it is a default flip that no control file authorized."
(requirement),"12.2 forbidden (for the 0066 mission): do not touch conditions.py, the latency work, or run_time/cycle_dt — 'those are NEXT'",,,,,MET,"a1b5aac3 touches only backend/scheduler/surf_alerts.py, two test files, frontend/public/service-worker.js, one frontend test, and the 12.1 register. conditions.py was touched later at 9d8b2ad9, correctly, as the NEXT mission."
(requirement),12.2 forbidden: do not --no-verify the pre-push floor hook,,,,,MET — verified by direct evidence,"568fc2c6's body: 'The pre-push hook refused the push: adding tests without raising a floor makes backend-floor-staleness go red... Fifth time this lane has needed the raise, and the hook has now caught it 5 of 5.' The hook blocked and the pair-edit was made rather than bypassed."
(requirement),12.2 forbidden: do not workflow_dispatch the E2E lane; do not revert video:'retain-on-failure',,,,,UNVERIFIED (no contrary evidence),No commit in the window reverts the retain-on-failure setting (`git diff 791fdf78..fb50fa6d -- .github/` touches only ci.yml and a new nearshore-validation.yml). Dispatch history is not visible from the repo; `gh run list --workflow e2e --event workflow_dispatch` would settle it.
(requirement),13.0 Do-not-start: any Tier-3 research (WS-CAN-0046 through 0051),,,,,MET,`git log 791fdf78..fb50fa6d --grep='WS-CAN-004[6-9]|WS-CAN-005[01]'` returns zero commits; all six rows still read 'Not Started' in CURRENT_TASK_REGISTER.csv.
(requirement),13.0 Do-not-start: WS-CAN-0058 (regional tile-coverage expansion),,,,,"DEVIATION — the letter is met, the outcome was pursued under a new name","The 0.25-degree lane is untouched: WORLDWIDE_REGIONS_PER_CYCLE is '3' at both fb50fa6d and 791fdf78 in .github/workflows/forecast-ingest.yml:72 and forecast-ingest-pilots.yml:72, byte-identical. But WS-CAN-0058's Intended Outcome is 'Fewer served spots resolved from the coarse global grid' and its Remaining Work names Madeira as a candidate region; fb50fa6d ships a 20-region 0.083-degree island ingestion lane covering 398 spots including Madeira, and its own body supplies the cadence and bytes figures the blocker demanded ('~4.3 min per frame', '4.63 MB/frame, ~37 MB/day'). WS-CAN-0058's row still reads 'Not Started' with an empty Program 13.0 Status column."
(requirement),13.0 Do-not-start: any deletion of the 261 runtime overrides (inventory first); any canary; Finish Line C,,,,,MET,`git log --grep='WS-CAN-0068'` and `--grep='WS-CAN-0069'` each return 0 commits; no canary work appears in the log; the Tier-3/Finish-Line-C rows are all 'Not Started'.
(requirement),"13.0 rule 7: no pushes, merges or deploys without separate authorization",,,,,DEVIATION / UNVERIFIED,"`git rev-parse HEAD origin/dev` returns the same sha (568fc2c6) — the whole window is pushed, and on this repo a dev push is a production backend deploy. main was promoted twice (COMPLETION_LEDGER_4.2.csv C4-P0-08: 'PR #9 MERGED at 15:06:27Z; origin/main ffe7a462'; origin/main now f2e98a32 '...(#12)'). No control file records a grant of push authorization. The only authorization traces are agent-authored claims: fb50fa6d's body ('Owner... asked to hold the push until the lane is ready') and evidence/AUDIT-3.1-INDEPENDENT-LANE-2026-08-15.md:169 ('after owner authorization to fix forward'). CURRENT_EXECUTION_STATE.json:48,133 still asserts pushed:false / authorization:none."
(requirement),"13.0 rule 8: preserve unrelated working-tree changes (marine_global.json / wind_global.json, 'not mine, never staged')",,,,,MET,"`git status --porcelain` at HEAD still shows ` M backend/uploads/forecast_cache/marine_global.json` and ` M backend/uploads/forecast_cache/wind_global.json` — modified, unstaged, uncommitted, exactly as CURRENT_EXECUTION_STATE.json:8-13 requires."
(requirement),13.0: 'One verified mission at a time; registers updated in place.' 'It does not produce new broad audits.',,,,,VIOLATED,"61 of 127 commits (48%) belong to a campaign with zero register rows — `grep -c -i halo` is 0 in CURRENT_TASK_REGISTER.csv and CURRENT_OBJECTIVE_REGISTER.csv. Instead, a PARALLEL 63-row C4-* namespace was created at 43ccbe07 (COMPLETION_LEDGER_4.2.csv), which calls itself 'the ONE authoritative completion ledger'; `grep -c C4- CURRENT_TASK_REGISTER.csv` = 0 and only 10 lines of the 63-row ledger mention any WS-CAN id. Four external broad audits (Master Codex 1.0/3.1/4.0/4.1/4.2) were consumed and an empty audit/weather-simulation-13.1/evidence/ tree (19 subdirectories, untracked) has been scaffolded."
(requirement),"12.2 critical-path position 4: WS-CAN-0064 EXPANDED to TWO routes (/conditions/batch AND /api/weather/grid_series, 'same visit')",,,,,PARTIALLY MET,"9d8b2ad9 repairs /conditions/batch only. `git log 791fdf78..fb50fa6d -S""grid_series""` returns no repair commit — only documentation (4950ac45, e5c68c1a, 43ccbe07). No control file records grid_series as deferred."
(requirement),"12.2 VERIFY lane V3 (read __MAP_RENDER_FPS__ on hardware GL, ~1 h) and V4 (one sustained-load run, CLOSES WS-OBJ-303)",,,,,NOT DONE,"`git log 791fdf78..fb50fa6d --grep='WS-CAN-0037'` returns only 62ae29bb, the audit-publication commit; `--grep='MAP_RENDER_FPS|sustained' -i` likewise. Both items were free, explicitly unblocked, and one of them would have closed an objective outright."
(requirement),Governance rule 16: a closure states what it did NOT establish,,,,,MET where certificates exist; MOOT where they do not,"MISSION_HISTORY.md's WS-OBJ-207 certificate lists five 'Known Limitations'; the WS-OBJ-201 re-issue lists three. But no closure certificate exists for Missions 3, 4 or 5, nor for any of the 61 halo commits — the rule cannot be graded on work that produced no certificate."
