sha,date,subject,category,objective_or_task_ids,files_changed,insertions,deletions,runtime_reachable,runtime_reachable_detail,tests_added,is_revert_or_retraction,authority_effect,claimed_result,auditor_independent_check,disposition
ba0e86e5f7b4008e28cc71a49d942bb30fcfd7a9,2026-08-16,fix(marine): [C4-MR-07] the layer-order probe was blind to the layer it existed to measure,instrument,C4-MR-07,3,78,9,NO,NO,frontend/src/components/map/waterTempAnchor.property.test.js MODIFIED (+46),NO,NEUTRAL — the change is confined to a diagnostic script plus test pins; no runtime gate moves,"the probe now enumerates map.style._order, matches the canonical 12-term landuse set, and refuses when it finds zero custom layers","Confirmed the only non-test file is frontend/scripts/layer-order-probe.js (+39/-9), which is outside both the CI lint target and the shipped bundle — so despite the fix( prefix this changes NO app behaviour. The three new pins are real test additions. The commit's own closing paragraph is the important honest caveat: 'the repaired probe has never been RUN against a live map, so no true stack including the field has ever been captured' — the instrument is repaired but has produced zero measurements.",SUBSTANTIVE_PROGRESS
a44bbb60db2c63b6ded8933ddd3f81022d7b6f83,2026-08-16,"fix(marine): [C4-MR-09] the delivered-coverage check was wrap-naive, and it failed in the UNSAFE direction",fix,C4-MR-09,6,246,6,YES,YES,frontend/src/components/map/WebGLMarineEngine.deliveredCoverage.test.js (49); frontend/src/components/map/WebGLMarineEngineInit.dispose.test.js (73),NO,"REMOVES_AUTHORITY — resolveDeliveredCoverage can no longer grant a repaint skip on an antimeridian-wrapped box; it fails toward MORE repaints, never fewer",wrapped viewports no longer read as COVERED; the truth box is added to the dispose inventory,"Verified in the diff at frontend/src/components/map/WebGLMarineEngine.js:2807-2811 — `deliveredShort` gains `curView.east < curView.west || cachedBounds.east < cachedBounds.west ||` in front of the old containment test, so a wrapped box on either side now forces deliveredShort=true. This is a strictly conservative change (more repaints). frontend/src/components/map/WebGLMarineEngineInit.js:284-290 adds `engine._overlayMaskTruthBox = null;` to disposeEngine. The commit states plainly that the dispose half is NOT reachable today, which matches what I read — the render path requires _overlayMaskTex && _overlayMaskBounds, both nulled above. The 'first draft was two-thirds vacuous / re-mutated 3 of 3 red' mutation claim is UNVERIFIED (no mutation log committed).",SUBSTANTIVE_PROGRESS
a80a0964e162b39bf9c2741673b05e84e3271eac,2026-08-16,test(marine): [C4-MR-13] the managed-uniform census counted two facts with one number -- at BOTH sites,test,C4-MR-13,3,44,9,NO,NO,frontend/src/components/map/marineCoverageContract.test.js MODIFIED (+29/-...); frontend/src/components/map/overlayTruthGate.test.js MODIFIED (+22/-...),NO,NEUTRAL,the exact-count census is split into a count-agnostic caching delta and a named membership set at both sites,"I read the diff specifically to check for a WEAKENED assertion, and it is not one. `expect(queries).toBe(2)` and `expect(gl.calls.queries).toBe(3)` are deleted, but each is replaced by TWO assertions that are jointly stronger: a non-vacuity floor (`expect(afterFirst).toBeGreaterThan(0)`), a delta invariant (`expect(queries - afterFirst).toBe(0)`), and a new named-set membership test (`expect(asked.sort()).toEqual(['u_dataMaskGate','u_maskClipEnabled'])` and the 3-name overlay equivalent). Net test count rises. The A/B/C mutation table is UNVERIFIED (no log committed).",SUBSTANTIVE_PROGRESS
4050a9d356ed6ee600d8189b5300ae5951dc67cd,2026-08-16,fix(marine): [C4-MR-15] wire the zoom-out gate -- and the drift its header warned about had ALREADY happened,refactor,C4-MR-15; C4-MR-12,4,148,28,YES,YES,frontend/src/components/map/marineZoomOutGate.wiring.test.js (111),NO — but it PREVENTS an accidental revert: wiring the module as written would have silently reverted e17f0332's coarse-bridge grace,ADDS_AUTHORITY — marineZoomOutGate.resolveRejectedOpacity now decides WHICH branch applies in the live render path; the layer retains only branch 1's impure opacity,the duplicate implementation opened at 89f61d87 is retired with proven behavioural equivalence,"Verified the duplication opened at 89f61d87 is genuinely closed: frontend/src/components/map/WebGLMarineCustomLayer.js:5 now carries `import { resolveRejectedOpacity } from './marineZoomOutGate';` and :300 calls it, while the inline `zoomFade`/`overlapFade`/`Math.min(zoomFade, overlapFade)` block is deleted (-28 lines). Confirmed at HEAD, so the wiring survived. The division is real: `if (_rej.coarseBridge)` keeps the impure grace in the layer and `opacity: 0.0` in the module is documented as a legacy default the caller overrides — a live trap if anyone later trusts the module's opacity for branch 1. The 1,296-case equivalence grid and the '237 suites / 2,248 tests' run are UNVERIFIED (no committed output).",SUBSTANTIVE_PROGRESS
489e4f04f9eaa3c5bca4ae1578e7b0075f947ceb,2026-08-16,"test(marine): [C4-MR-04] close the coverage state machine -- total, reachable, single-output",test,C4-MR-04; C4-MR-02,2,84,2,NO,NO,frontend/src/components/map/marineCoverageContract.test.js MODIFIED (+84/-2),NO — but it records that the ROW's own premise was partly wrong (per-state behaviour was never the gap),NEUTRAL,"totality, reachability and single-output are now properties; the BOUNDS-ONLY scope limit is pinned rather than left implicit","Confirmed test-file + ledger only, so nothing ships. The finding worth carrying forward is stated in the body and is checkable in principle: `maskClip` is the entire behavioural surface and state/action/reason are telemetry, because the only non-test consumer of term.state is a diagnostic script. I did not independently grep that consumer set — UNVERIFIED; it would be verified by `git grep -n '\.state' -- frontend/src/components/map`. Mutation counts (4 red / 6 red / 2 red) UNVERIFIED.",SUBSTANTIVE_PROGRESS
5117d4fc2daccc9ad6842f7ee627560f830824df,2026-08-16,fix(marine): [C4-MR-11] the fog-blank evidence is INCONCLUSIVE -- the trace counted arrivals but not departures,instrument,C4-MR-11; C4-SC-04,4,161,4,YES,YES,frontend/src/components/map/omUrlTrace.reconcile.test.js (108),"YES — retracts the 2026-08-13 'z2.00 -> 24 entered, 0 decoded = tiles blocked' reading as inconclusive; a warm cache produces the same numbers","NEUTRAL — pure instrumentation; adds no flag, no gate, and both call sites are folded onto existing statements","entries now reconcile as entered === blocked + served, so a reading can be REFUSED rather than misread","Verified the runtime edit is exactly two statement-folds in the live protocol: frontend/src/components/map/openMeteoProtocol.js:843 `WeatherTelemetry.trackTileLoaded(tileKey, true); traceOmServed('cache_hit');` and :861 `TILE_TRUTH.protocolCalls++; traceOmServed('decode');`. Both new functions in omUrlTrace.js are try/catch-wrapped and return early when `window.__OM_URL_TRACE__` is absent, so they are inert in production unless the trace object exists — the behavioural risk is genuinely near zero. The retraction is self-consistent with openMeteoProtocol's own documented diagnosis string. Row correctly moved to BLOCKED_OWNER rather than declared fixed.",SELF_CORRECTION
464dd49f5a125cf936e7a0cab17e00dbd46281a5,2026-08-16,evidence(halo): [LOP-0002 / C4-MR-16] the residual coastal band is the coastline-truth gap the buffer was COVERING,evidence,LOP-0002; C4-MR-16; LOP-0001,4,391,20,NO,NO,frontend/src/components/map/WebGLMarineEngine.midzoomCarve.test.js (66) — DELETED one commit later at d74e3d9c as a duplicate,NO,NEUTRAL — explicitly NO FIX APPLIED; three options handed to the owner,"the residual band is MIDZOOM_OVERLAY_CARVE_MIN_Z=9 leaving z<9 on generalized land geometry, not the buffer","Confirmed no source file changes — the only code is a new test file plus 250 lines into LAYER_ORDER_PROOF_LOG.json and a 92-line evidence doc, so nothing ships. The commit correctly refuses to pick a fix. Two things I flag: (1) the test file added here is deleted 2 commits later as a duplicate of the pre-existing WebGLMarineEngine.midZoomOverlayCarve.test.js — 66 lines of churn; (2) the z8.72/z8.90/z9.30 ladder readings are in-browser observations with no committed frames, so PRESENT/ABSENT is the author's eye — UNVERIFIED.",EVIDENCE_ONLY
d74e3d9c27cc3c33b98b2c3b47090b86a5b8f071,2026-08-16,"fix(marine): [C4-MR-16 / LOP-0003] lower the coastline-carve threshold 9->8 -- the REPAIR half only, buffer stays off",fix,C4-MR-16; LOP-0003; LOP-0002,5,122,73,YES,YES,frontend/src/components/map/WebGLMarineEngine.midZoomOverlayCarve.test.js MODIFIED (+13/-2); frontend/src/components/map/WebGLMarineEngine.midzoomCarve.test.js DELETED (-66),YES — deletes the 66-line test file its own author added one commit earlier (464dd49f) as a duplicate suite,"ADDS_AUTHORITY — the viewport overlay's basemap water truth now governs the coastline from z8 instead of z9, one zoom level further out",the coastline band is confined to z<8; the ocean-mask-buffer stays off,"The entire runtime change is ONE line: frontend/src/components/map/WebGLMarineEngine.js:3035 `export const MIDZOOM_OVERLAY_CARVE_MIN_Z = 8;` (was 9). ⚠️ A TEST ASSERTION WAS CHANGED TO FIT THE NEW BEHAVIOUR: `expect(computeMidZoomOverlayEngage(band({ z: 8.5 }))).toBe(false)` became `z: 7.5`. This is disclosed in an inline comment and is unavoidable (8.5 is now above threshold), and it is offset by a NEW absolute pin `expect(MIDZOOM_OVERLAY_CARVE_MIN_Z).toBe(8)` which is the only assertion in that suite that can see the constant move — a net strengthening. Two self-declared debts are recorded rather than hidden: status is SHIPPED_PENDING_OPTICAL_VERIFICATION (no leg shows the band ABSENT), and the repaint cost of the extra zoom level is UNMEASURED. Also self-reported: the author set __RAW_WATER_TEMP_COAST_BUFFER__=true in the OWNER'S live browser mid-investigation and the owner reported it worse.",SUBSTANTIVE_PROGRESS
d74b38f9168d452dbf45bfc0829bff04810af4f1,2026-08-16,"docs(handoff): the 2026-08-16 completion session -- 31 commits, the halo solved, and what is still owed",docs,LOP-0001; LOP-0002; LOP-0003,1,118,0,NO,NO,NONE,NO,NEUTRAL,a single-page handoff; the halo solved; the threshold change owed optical verification,"Confirmed a single new markdown file, 118 insertions, nothing else. Its most load-bearing self-caveat matches what I found in the code commits: the threshold change is SHIPPED_PENDING_OPTICAL_VERIFICATION, not PROVEN, and the repaint cost is unmeasured. The headline 'the halo solved' is contradicted within 24 hours by 7b6fc77d ('still slightly visible... more visible on the islands') and again by 31d5561f.",DOCS_ONLY
fc3e2af20749584fddbe138ea75a1a2097acefc6,2026-08-16,"fix(map): the rating band was collateral of the FPS guardrail -- disclose the downgrade, and recover from it",feat,NONE,6,535,2,YES,YES,frontend/src/components/map/marineFallbackNotice.test.js (60); frontend/src/components/map/useWebGLGuardrail.ratingBandLoss.test.js (281),"YES — retracts the author's earlier reading that 'the rated grid is not reaching the engine', killed by a paired A/B","ADDS_AUTHORITY + ADDS_FLAG — a NEW 5-second setInterval can now re-enable the WebGL marine renderer with no user action (2 attempts, 60s then 300s backoff); new kill switches __DISABLE_WEBGL_GUARDRAIL_RECOVERY__ and __RAW_LEGEND_FALLBACK_NOTICE__; new window event 'rawsurf:marine-fallback'",the raster fallback is disclosed in the legend and the guardrail trip is now recoverable,"NEW TIMER/RENDERER OWNER CONFIRMED — frontend/src/components/map/useWebGLGuardrail.js:266 `const recoveryTimer = setInterval(recoveryTick, 5000);`, cleared in the effect teardown, and :32 `export const RECOVERY_BACKOFFS_MS = [60000, 300000];`. The consent guards are real and readable: recovery fires only when guardrailOwned (set at the trip site, :209-210), not when isForcedFallback (localStorage 'force_marine_fallback' or __FORCE_MARINE_FALLBACK__), not while document.hidden/!hasFocus, and not while map.isMoving/isZooming. The fixed 10s mountTime became a re-armable `graceUntil` so each retry gets a fresh grace — a real behaviour change to the TRIP path, not only the recovery path. legendTicks.js:91 calls useMarineFallbackState() before the `ticks` early return (hook-order correct). Mandate compliance is present but shallow: MarineFallbackRow uses role=""status"" and a text label (not colour alone), and takes theme colour from the caller's className rather than hardcoding — consistent with ServedResolutionRow, though I did not verify the three-theme contrast figures. Commit ships self-declared 'Not yet verified on a deployed build'.",SUBSTANTIVE_PROGRESS
01ec5a3dc7c343dbe6f111b31a44bd1b2fd79830,2026-08-16,"fix(build): key the webpack cache to the build TREE -- a junctioned worktree was poisoning it, and the casualty was the wasm decoder",ci,NONE,1,22,2,MIXED,MIXED,NONE,"NO — but it supersedes this file's own prior fix, which was opt-in behind WEBPACK_CACHE_DIR and never fired",REMOVES_FLAG — behaviour that required WEBPACK_CACHE_DIR to be set is now the DEFAULT for every build; the env var survives only as a manual override,"each build tree gets its own webpack cache, so the om_reader_wasm asset is emitted again","Verified at frontend/craco.config.js: the guard changes from `if (process.env.WEBPACK_CACHE_DIR && webpackConfig.cache)` to `if (webpackConfig.cache)`, and cacheDirectory defaults to `path.join(__dirname, 'node_modules', '.cache', 'webpack-tree', treeKey)` where treeKey is a 12-char sha1 of __dirname. This is NOT app source, but it is on the production build path — every build after this writes to a different cache directory than before, so the first CI/Netlify build is a cold cache. That cost is not mentioned in the message. The before/after harness numbers (1->13 colour distance, 8->37 tile requests) have no committed artifact — UNVERIFIED.",SUBSTANTIVE_PROGRESS
6561ea3054f06922aec5df872cb90ea496d05bcd,2026-08-16,"evidence(marine): the coastline below z8, the rating band, and the instrument that was lying to both",evidence,C4-MR-16; LOP-0003; LOP-0002,15,1996,46,NO,NO,NONE,"YES — invalidates part of the author's own prior work: __RAW_GPU__ freezes after the last rendered camera, so any reading taken at a non-first camera is suspect, LOP-0002's ladder included",NEUTRAL for app code — but see the undisclosed .claude/launch.json reduction below,"band 0 px at every stop z8.40 to z6.00 on the deployed alias, with the zeros qualified by an injection-based sensitivity control","⚠️ UNDISCLOSED SCOPE DRIFT: .claude/launch.json is cut from 8 launch configurations to 1 (backend, attach, frontend-live, frontend-verify, frontend-arb, frontend-halo-lane, frontend-preview all DELETED; frontend rewritten to `runtimeArgs:['start'], cwd:'frontend'`, losing autoPort). The commit body does not mention this at all. Everything else checks out as non-shipping: 13 new frontend/scripts harnesses, 2 evidence docs, 4 new .gitignore patterns. The self-reported honesty here is the strongest in the batch — two of the author's own detectors are declared refuted by pixels, the zeros are explicitly qualified ('at the stops that do not recover, the zero is not evidence'), and the __RAW_GPU__ staleness finding retroactively weakens LOP-0002. Frame/video output stays untracked, so none of the optical claims can be re-checked from the repo — UNVERIFIED.",EVIDENCE_ONLY
441c8c9e425c39b5335d15bba165e97cb170da24,2026-08-16,"verify(map): the trip AND the recovery, proven end to end on the deployed build",evidence,NONE,2,138,2,NO,NO,NONE,NO,NEUTRAL,"trip at t+39.8s, fallback, notice, recovery at t+101.3s (the 60s backoff), band repainted, notice cleared","Confirmed the commit adds only frontend/scripts/guardrail-recovery-live.js (123 lines) and 17 lines into an evidence doc — no runtime change. This closes the explicit 'Not yet verified on a deployed build' caveat that fc3e2af2 shipped with, and the design is sound: run on 6561ea30 with nothing forced, so the guardrail's localhost self-exemption is genuinely bypassed. The timeline is a console transcript quoted in a markdown file, not a committed run log — UNVERIFIED, though the harness that would reproduce it IS committed, which is better than most evidence in this batch.",EVIDENCE_ONLY
7b6fc77d42658803c1944d5ae5f8201e5172660b,2026-08-17,"fix(marine): the residual island halo is min(base, overlay) -- REPLACE under the carve's own preconditions",fix,NONE,2,129,2,YES,YES,frontend/src/components/map/WebGLMarineEngine.midCarveReplace.test.js (80),NO — but its own subject claim is retracted the same day by 31d5561f,"ADDS_AUTHORITY + ADDS_FLAG — under the carve's preconditions the overlay mask now REPLACES the base mask instead of min-combining, so the overlay alone governs the coast; kill switch __RAW_DISABLE_MIDCARVE_REPLACE__","the residual island halo IS min(base, overlay) and REPLACE removes it","Verified the mechanism at frontend/src/components/map/WebGLMarineEngine.js: the destructured `replace` is renamed `_overlayReplaceWide` and a new `const _overlayReplace = _overlayReplaceWide || _midCarveReplace;` widens what reaches u_overlayReplace. computeMidCarveReplace restates both preconditions itself (`overlayCoversViewport`, `!overlayPaintDegraded`) rather than inheriting them, which is the right defensive shape given the historical REPLACE flood. Telemetry gains a distinct 'midcarve_replace' reason. Still live at HEAD (WebGLMarineEngine.js:1352). ⛔ THE SUBJECT LINE IS A CLAIM THAT DID NOT SURVIVE — 31d5561f measures the controlled deployed A/B and finds min() is ~10% of the halo, not the cause. The commit also ships self-declared unverified: 'localhost does not exhibit the defect... the local A/B cannot prove removal.'",SUBSTANTIVE_PROGRESS
3a686f78b9ff1c6725f3ccb36e4962c69c195444,2026-08-17,"evidence(marine): the island halo -- the alpha-matting instrument, and five things it refuted",evidence,NONE,10,1772,0,NO,NO,NONE,"YES — refutes five of the author's own prior hypotheses and instruments, including a radial-tint metric whose SIGN flipped between Nassau and Madeira",NEUTRAL,triangulation matting recovers alpha; five candidates refuted; four harness faults recorded,"Confirmed: 8 new frontend/scripts harnesses (alpha-solve.js, alpha-lever-isolated.js, alpha-lever-sweep.js, island-halo.js, island-rim-ab.js, island-rim-v3.js, maskedge-read.js, halo-value-vs-colour.js), a 310-line evidence doc, and 3 .gitignore lines. Zero source changes, zero deletions. The harness-fault confessions are specific enough to be actionable (a 20-sample transition floor that voided every island and made the earlier 'band = 0 px' a MAINLAND-ONLY result — which retroactively narrows 6561ea30's headline; a freshness signal counting [rating-band] breadcrumbs while Surf Rating was off; page.evaluate passing one arg to a two-parameter sampler). Output dirs stay untracked (~59 MB), so none of the alpha figures can be re-derived from the repo — UNVERIFIED, but the instruments that produced them are committed.",EVIDENCE_ONLY
31d5561fc8bcaddab528b5704bed832c7e0dec5a,2026-08-17,"correct(marine): the deployed A/B partly REFUTES the halo attribution -- min() is ~10% of it, not the cause",forensics,NONE,1,35,1,NO,NO,NONE,"YES — explicitly retracts 7b6fc77d's subject claim ('as stated that is WRONG and this corrects it'); the CODE is deliberately kept, not reverted",NEUTRAL — no code touched; the shipped __RAW_DISABLE_MIDCARVE_REPLACE__ path stays as-is,"the fix is real but small (shoreline alpha up ~1.7x, spread down ~10%); the residual is the overlay mask's OWN coastal alpha","Confirmed the commit changes ONLY program/weather-simulation/evidence/ISLAND-HALO-2026-08-17.md (+35/-1) — the retraction is recorded in evidence and NOT in the commit subject of 7b6fc77d, so anyone reading `git log --oneline` still sees the refuted claim as the last word on that SHA. The reasoning is the correct methodological one and is checkable in principle: the earlier flat-alpha runs were all `coverage_gap` REPLACE, a different REGIME with different resident masks, so grouping across them was correlation not causation. Keeping the change is defensible on the stated grounds (measured improvement, no regression, kill-switched). All alpha numbers are UNVERIFIED from the repo.",SELF_CORRECTION
aa30529143830cd6461a8e18114aac6b4e1fe8c1,2026-08-15 00:35:28 -0400,docs(handoff): the workflow census RETIRED the build I recommended -- do not create an inventory artifact,docs,WS-CAN-0066 (named in body); no WS-OBJ/C4/LOP ids,6,1614,130,NO,NO,NONE,YES - retracts the author's own one-turn-earlier recommendation to build a generated instrument inventory/digest,"NEUTRAL - no code, no flag, no gate touched; a proposed instrument is declined, not an existing one weakened","a 27-workflow census showed nothing red, so the recommended inventory artifact was retired unbuilt","MESSAGE/CONTENT MISMATCH - the subject is a handoff rewrite but 1,508 of 1,614 insertions are five unmentioned MC-01 cap-seam evidence files (mc01-jacobian-probe-legacy.json 668, -repaired.json 523, mc01_capseam_census.py 151, mc01-capseam-census.json 91, MC01-capseam-evidence.md 75) that commit 6e4e44fb later cites as 'committed by the concurrent session's sweep'; all six paths are under program/weather-simulation/",EVIDENCE_ONLY
bd52f0b0d5bc68421dd07bdaa736b2656a67946b,2026-08-15 10:49:13 -0400,"docs(evidence): 3 scheduled lanes red -- all 3 gates are RIGHT, none is a code regression",evidence,NONE,1,185,0,NO,NO,NONE,NO,"NEUTRAL - explicitly states 'Nothing edited: no bound widened, no budget raised, no waived factor added'","three red scheduled lanes (parity, census, zoomlab) are correct gates firing, not code regressions","Single file program/weather-simulation/evidence/CI-SCHEDULED-REDS-2026-08-15.md, +185/-0; the no-widening claim is confirmed by the diff touching zero code or config. The CI run numbers and the 1.899x->1.263x ordering figures are prose only - UNVERIFIED here; verifying would need the referenced GitHub run logs",EVIDENCE_ONLY
