objective_or_task_id,title,previous_delivery_state,current_state_claimed,auditor_verdict,evidence_cited,evidence_is_runtime,remaining_closure_requirement
WS-OBJ-501,The accuracy gate grades the quantity that matters,"12.1: Fully Delivered / Verified Current, 'CERTIFIED. LV-03'. 12.2 delta: '⚠️ SCOPE CORRECTED' -- the certified gate grades OFFSHORE hs_m at the buoy; action 'State in writing that its scope is the MODEL INPUT, and open the served-output gate as its successor'","Program 13.0 Status cell is EMPTY. Row unchanged from 12.1: Fully Delivered / Verified Current, 'CERTIFIED. LV-03', blocker 'OWNER threshold decision', next action 'OWNER: threshold before 2026-08-22'.",Materially Advanced,"12.2's scope correction is CONFIRMED IN CODE: backend/services/weather_pipeline/buoy_calibration.py, calibrate_spots docstring -- 'The model is resolved AT THE BUOY's own coordinates (2026-07-26), not at the spot ... Only the first is a bias we should ever correct'. So the gate deliberately grades the model input, exactly as 12.2 said. The successor 12.2 asked for DOES now exist as WS-CAN-0076 (nearshore outcome loop, first live match Blacks vs CDIP 153p1: model 0.573 m vs instrument 0.940 m, -39.0%), evidenced by program/weather-simulation/evidence/scientific-validation/NEARSHORE-OUTCOME-LOOP-PACKET-2026-08-15.md and two committed JSON censuses.",YES,"The substance advanced but the register did not: the row still reads CERTIFIED with no scope qualifier, so anyone reading it alone believes the gate grades the served nearshore quantity. Write the model-input scope into the row, add WS-CAN-0076 to its Canonical Task IDs (currently 'WS-CAN-0026,0054'), and note the owner threshold clock arming 2026-08-22."
WS-OBJ-303,Bounded memory,"12.1: Operational / Partially Verified, blocker 'short measurement windows only'. 12.2 delta: '✅ READY -- MEASURABLE NOW', peak_rss 1231.6 MB of a 2048 MB cgroup limit via ru_maxrss; 'One deliberate load run closes it. Record the cgroup limit beside the figure'","Program 13.0 Status cell is EMPTY. Row unchanged from 12.1, including 'Canonical Task IDs' = '-' (no tasks at all).",Unchanged,"No evidence artifact is cited by the register for this objective, and none exists in program/weather-simulation/evidence/ for memory or RSS. 12.2's instrument finding (ru_maxrss, with the caveat that the 2026-07-24 incident was on a 512 MB box so cross-machine comparison is invalid) was never ingested.",NO,"This is the cheapest open objective in the program and it has ZERO canonical tasks, so nothing schedules it. Required: create a task, then one deliberate sustained-load run recording peak RSS beside the cgroup limit on the same box."
WS-OBJ-706,The program registers the SYSTEM and not only the WORK (12.2 PROPOSED),"12.1: does not exist. 12.2 MISSING_OBJECTIVE_REGISTER.csv: PROPOSED, priority HIGH, Gate 0, with proposed tasks WS-CAN-0067 and WS-CAN-0070",ABSENT. CURRENT_OBJECTIVE_REGISTER.csv contains exactly the same 40 ids as 12.1; 706 is not among them.,Unchanged,"Id enumeration of both registers: 12.1 and 13.0 hold the identical 40-id set (001-007, 101-104, 201-207, 301-304, 401-402, 501-506, 601-605, 701-705). No 706. Its proposed tasks WS-CAN-0067 and WS-CAN-0070 are likewise absent from CURRENT_TASK_REGISTER.csv (the id sequence runs 0066 then 0072).",NO,"Adopt or explicitly reject with a reason. 12.2 called this 'the audit's structural finding and the parent cause of several rows above', and the 13.0 record bears that out: the whole 2026-08-16..18 halo/island campaign (42 commits) is tracked in a C4-* ledger that references zero WS-OBJ ids."
WS-OBJ-707,Every runtime path that renders forecast data is enumerated and graded (12.2 PROPOSED),"12.1: does not exist. 12.2: PROPOSED, HIGH, Gate 2, Blocks Reliable Baseline; proposed task WS-CAN-0069 (Canvas2D second renderer -- stack agreement, fallback disclosure, reset path)",ABSENT from the objective register. Acknowledged only obliquely: WS-OBJ-401's Program 13.0 Status names 'the second renderer (WS-CAN-0069)' as untouched work.,Unchanged,"Not in the 40-id set. WS-CAN-0069 is not in CURRENT_TASK_REGISTER.csv. The program therefore cites a task id it never created, inside the status cell of a different objective.",NO,"Adopt the objective and allocate WS-CAN-0069, or renumber into 0077+. Under ONE FORECAST COMPOSITION a second renderer drawing different values is the visual analogue of a second forecast path, and 12.2 measured 0 test files referencing either Canvas2D renderer against a control of 30 for WebGLMarineEngine."
WS-OBJ-708,The runtime override surface is inventoried and its state is reportable (12.2 PROPOSED),"12.1: does not exist. 12.2: PROPOSED, MEDIUM, Gate 4, Blocks SOTA Core; proposed task WS-CAN-0068 (generated inventory + CI diff + non-default state in telemetry), 261 overrides, 197 untested",ABSENT from the objective register. Acknowledged only inside WS-OBJ-401's status cell as 'the 261 overrides (WS-CAN-0068)'.,Unchanged,Not in the 40-id set. WS-CAN-0068 is not in CURRENT_TASK_REGISTER.csv -- the second of the two dangling ids.,NO,"Adopt and allocate. Note the partial overlap already shipped without the objective: WS-CAN-0075's health fingerprint (program/weather-simulation/evidence/MC09-config-hardening-2026-08-15.md) inventories 22 module-level BACKEND env parses, which is a different mechanism from the 261 frontend window globals and does not discharge this."
WS-OBJ-709,Both binding UI mandates have an owner in the objective program (12.2 PROPOSED),"12.1: does not exist. 12.2: PROPOSED, MEDIUM, Gate 0; proposed task WS-CAN-0071 -- THREE THEMES (2026-07-12) and ACCESSIBILITY (2026-07-14) are binding in CLAUDE.md and named by no objective, task or SOTA row","ABSENT from the objective register, and WS-CAN-0071 absent from the task register.",Unchanged,"Not in the 40-id set; 0071 not in the 71-id task set. Both mandates remain binding text in CLAUDE.md with no register owner, four days after 12.2 proposed one.",NO,Adopt with the measured debt baseline 12.2 supplied (~41 aria attributes across 132+ interactive elements; keyboard handling in 2 of 20 interactive files) and a no-regression gate on touched files.
WS-CAN-0005,"TASK: True model-cycle identity -- thread cycle_dt as run_time, keep wall-clock as ingested_at",12.1: Not Started / Verification Failed / Repair ('HALF SHIPPED'). 12.2: 'UNCHANGED + A NEW HALF' -- no display half exists,"Not Started / Verification Failed / Repair. RE-CONFIRMED 2026-08-14 with the strongest control yet: 87 live spots share run_time to the MICROSECOND ... STILL BLOCKED - staged plan required, steps 3-4 owner-facing.",Blocked,"program/weather-simulation/evidence/network/live-spot-ratings-raw.json, independently re-counted by me: 1 distinct run_time across 87 spots (2026-08-14T12:50:59.674525Z), plus a differing wind_run_time. COMPLETION_LEDGER_4.2.csv carries the matching disposition BLOCKED_OWNER_approve-WS-CAN-0005-staged-steps-3-4.",YES,Owner approval of steps 3-4. This single task blocks WS-OBJ-202 outright and the display half of WS-OBJ-203.
WS-CAN-0009,TASK: HTTP status honesty on /conditions/* -- stop returning 200 with an error body and stop leaking str(e),12.1: Not Started / Verification Failed / Repair,"Implemented and Active / Verified Complete / Repair. CLOSED 2026-08-14 (Mission 5). AST-verified the register's claim first: 9 distinct error-shaped returns, 4 leaking str(e). 3 single-spot routes now raise 502; batch stays 200 with an additive top-level `failed` key. Estate lane 382 passed / 0 failed; floor 358->380.",Certified Closed,"Commit d1fb5369 exists (2026-08-14, '[WS-OBJ-103 / WS-CAN-0009] a failed request answered 200 with the exception text in the body'). The status cell records a RUNTIME verification (404 preserved on all three routes, 502 on upstream failure, leak=False) and a CI floor pair-edit. NO evidence artifact path is cited for this row, so the pass counts are a commit-message-grade claim, not a file I could open.",PARTIAL,"The row records its own residual honestly: useExploreData.js:32 spreads each batch entry into the UI state map, so an error entry still renders as wave_height_ft undefined -- deferred to WS-CAN-0039. Closure of the client half needs the frontend unfreeze."
WS-CAN-0017,"TASK: Pipeline integrity chain -- end-to-end checksum, byte-count/Range validation, register-after-verify",12.1: Not Started / Verification Failed / Repair. 12.2: 'CONFIRMED + SURFACE LIST INCOMPLETE' -- backend/uploads/forecast_cache/*.json are git-tracked and act as a live serving fallback,"Partially Implemented / Verified Current / Repair. FIRST LINK SHIPPED 2026-08-14 (Mission 7) ... THE DEFECT IS NOT THE ONE THE TASK DESCRIBES: the hole is OVER-fetch, not truncation. 16 new tests, mutation-proven. || 2026-08-15 (MC-05): the GRIB_RANGE_STRICT=0 escape hatch now EXTRACTS-or-REFUSES; 18 new tests (36 in the file), red-first 12F.",Materially Advanced,"Commits a6e4339a, c1566c8b, 9e9b8646 (08-14) and 2627e0e7 (08-15) all exist. VERIFIED BY ME: backend/tests/test_grib_range_integrity.py exists and, run at the working tree, contributes to a 102-passed/0-failed run over the four Master-Codex guard files -- and 36 is exactly the count the register claims for this file. The row also states honestly that four test doubles were answering a 1000-byte Range with 8 bytes and that the FIXTURES were fixed rather than the guard.",YES,Named in the row: end-to-end checksum and re-validation on restore. Plus 12.2's un-ingested expansion -- the git-tracked backend/uploads/forecast_cache/*.json pair is a live serving fallback and is still absent from the surface list (both files show as modified in the working tree right now).
WS-CAN-0033,TASK: Non-monotonic z8/z9/z10 tier selection changes the served value at a fixed coordinate,12.1: Not Started / Verification Failed / Repair,"Partially Implemented / Verified Complete (backend half) / 'Not Necessary (backend) / Defer to WS-CAN-0039 (client)'. BACKEND HALF CLOSED ON EVIDENCE 2026-08-14 - NO CODE WRITTEN, none was needed.",Closed Under Monitoring,"program/weather-simulation/evidence/scientific-validation/WS-CAN-0033-tier-disagreement.md (cited by the register and present on disk), plus tier-coarse.json / tier-florida.json which I opened and confirmed carry resolution 10.0 and 0.25 respectively. The document carries an explicit positive control for its 0%-variation result -- the discipline the standing rules demand.",YES,"The original framing was partly REFUTED (selection is viewport-invariant), but the measured consequence stands: tiers disagree 2.4x on offshore Hs and 1.99x on surf_height_m at one coordinate/hour and the CLIENT picks the tier. The row asks for the residual to be re-filed against a frontend block gated by WS-CAN-0039 rather than sitting on Gate 1; the Release Gate cell was not changed."
WS-CAN-0037,TASK: Build a frame harness so frame rate is measurable at all,12.1: Not Started / Verification Failed. 12.2: '⚠️ RESCOPE -- PREMISE FALSE': useWebGLGuardrail.js:126 writes window.__MAP_RENDER_FPS__ every second and marine-nightly runs a compositing Playwright harness that analysed 387 anim frames,"Unchanged, Program 13.0 Status EMPTY. Evidence cell still reads 'FRAME RATE IS UNMEASURABLE IN THE BROWSER PANE ... No headed harness exists'.",Unchanged,"The 13.0 row is byte-identical to 12.1 including the refuted premise. Counter-evidence sits in the same program folder: program/weather-simulation/evidence/shaderlab-2026-08-15/ and shaderlab-2026-08-16/ contain committed PNG frame captures and trace_staircase_full.json files from a working compositing harness, and MEMORY records a working Playwright harness at audit/weather-simulation-12.1/evidence/recordings/.",NO,"Rescope from BUILD to READ, per 12.2 -- roughly a 1 h verify item rather than a half-day build. Leaving the refuted premise in the register is what caused WS-OBJ-503 to be certified on the wrong .webm lane."
WS-CAN-0052,TASK: SURF_PARTITIONS flip,12.1: Not Started / Verified Current / Defer,"Unchanged states. 2026-08-15: the named cap-seam blocker is REPAIRED DARK as WS-CAN-0072 (SURF_CAP_SEAM_MONOTONE, default OFF). This task's own conditions - flip all lanes together + owner - are UNCHANGED.",Blocked,"Commit 6e4e44fb (2026-08-15) exists. program/weather-simulation/evidence/scientific-validation/MC01-capseam-evidence.md is on disk and carries a reproduced-before-repair measurement: 38 of 48 probe traces contained a negative jump, largest 8.2294 -> 6.4800 m for Hs 9.40 -> 9.41 m, with 8.2294/6.48 = 1.270 = the H1/10 factor. Committed probe artifacts mc01-jacobian-probe-legacy.json and -repaired.json.",YES,"Owner decision, and the standing constraint that all lanes flip together with the JS mirror shipped first. COMPLETION_LEDGER_4.2.csv carries this as DEFERRED_UNTIL_ledger-backed-owner-decision-with-JS-mirror-shipped."
WS-CAN-0062,TASK: Geometry readiness is on the wire but the user-facing confidence field does not read it,12.1: Not Started / Verified Current / Repair,"Implemented and Active / Verified Complete / Repair. CLOSED 2026-08-14 by Program 13.0 Mission 1. AUTHORITY DECISION: additive disclosure via `why`, `confidence` NOT redefined. Reproduced live: 8 distinct why-strings shared across full AND degraded geometry on prod 2026-08-14T18:00Z (n=87). Mutation-proven both ways.",Certified Closed,"INDEPENDENTLY RECOMPUTED BY ME from program/weather-simulation/evidence/network/live-spot-ratings-raw.json: exactly 8 why-strings are shared across full and degraded readiness at n=87, and geometry_readiness splits {full: 68, degraded: 19}. The disclosure matrix at evidence/scientific-validation/WS-CAN-0062-disclosure-matrix.txt shows score/level identical (93.4 / epic) across all four verdicts plus the kill-switch line. backend/tests/test_spot_rating_geometry_disclosure.py collects 10 and passes.",YES,"⚠️ Current Disposition cell still reads 'Repair' while Implementation and Verification read Implemented and Active / Verified Complete -- a stale third cell on an otherwise clean closure. Substantively: geometryReadiness remains dead in the frontend (spotRatingsClient.js:66 maps it, no component consumes it) and users see nothing until WS-CAN-0039."
WS-CAN-0064,TASK: /api/conditions/batch exceeds 10 s on 100% of sampled calls; p50 ~52-59 s,"12.1: Not Started / Verified Current / Repair. 12.2: '⚠️ EXPAND -- CONFIRMED + POPULATION LARGER': 11 of 11 over 10 s, max 36.0 s; NEWLY /api/weather/grid_series 4 of 22 over 10 s, max 17.9 s","Not Started / Verified Current / Repair (states NOT updated) with a status cell reading 'REPAIRED 2026-08-15 (Mission 4, second session): the ARCHITECTURAL half ... ✅ LIVE EVIDENCE 2026-08-15: first post-cycle 30-spot production measurement 0.40/0.59/0.56 s, precomputed=30 live=0 on all three runs -- vs 0.380 s/spot linear before (~11.4 s). ~22x at n=30.'",Materially Advanced,"Two cited artifacts, both on disk: program/weather-simulation/evidence/performance/WS-CAN-0064-latency-forensics.md and WS-CAN-0064-precompute-lane-2026-08-15.md. The latter carries the measured decision chain, the honestly-corrected blob tax ('~8-10% ... the first draft claimed 2-3% and was wrong'), and the kill switch CONDITIONS_BATCH_PRECOMPUTED=0. Commits 9d8b2ad9 and c4a8a315 exist.",YES,"⚠️ INTEGRITY: Implementation State still reads 'Not Started' on a task whose own status cell says REPAIRED and live-measured -- the three state columns were never moved, so any rollup over this register under-reports the repair. Also un-ingested: 12.2's expansion naming /api/weather/grid_series (4 of 22 over 10 s), which is not mentioned anywhere in the 13.0 row."
WS-CAN-0066,TASK: The SCHEDULED surf alert stated no quality; the repaired path was a manual POST nobody called,12.1 register (updated post-12.2): Fully Delivered / Verified Current / Keep as Complete. Proposed NEW + CRITICAL by 12.2 MISSING_OBJECTIVE_REGISTER.csv as 'THE AUTHORIZED MISSION',Implemented and Active / Verified Complete / Keep as Complete. Closed pre-program at a1b5aac3 (floor raise 886094ce). Audit 12.2 authorized mission; confirmed complete before Program 13.0 Mission 1 selection.,Certified Closed,"Both commits exist: a1b5aac3 (2026-08-14, 'the repaired alert path was a manual POST nobody calls -- the scheduled one claimed perfection from height alone') and 886094ce (the CI floor raise MIN_FILES 150->151, MIN_PASSED 1706->1714). VERIFIED BY ME: backend/tests/test_surf_alert_states_the_quality.py has 9 test functions including test_the_census_DISCOVERS_the_emitters_and_finds_the_scheduled_one__THE_CONTROL and test_every_surf_alert_that_BUILDS_a_body_uses_the_shared_composer -- the guard genuinely discovers its census rather than hard-coding the path, which was the exact defect. It imports ast and passes at the working tree.",YES,None for the defect. The row records two deliberate omissions rather than hiding them: the two alert JOBS were not consolidated (only the composer is shared) and the push deep-link destination question is separate.
