journey,step,build,camera_or_input,expected,observed,verdict,evidence
C projection tour,Spain,local fb50fa6d,-2.0/43.4 z8,style intact,143 layers; textures 170,PASS,screenshots/blind-tour-spain.png
C projection tour,Morocco,local fb50fa6d,-9.8/31.4 z8,style intact,143 layers; textures 204,PASS,screenshots/blind-tour-morocco.png
C projection tour,El Salvador,local fb50fa6d,-89.3/13.4 z8,style intact,143 layers; textures 236 (tour peak),PASS,screenshots/blind-tour-elsalvador.png
C projection tour,open Atlantic,local fb50fa6d,-40/30 z5,style intact,143 layers; textures 224,PASS,screenshots/blind-tour-openatlantic.png
C projection tour,open Pacific,local fb50fa6d,-140/10 z5,style intact,143 layers; textures 188,PASS,screenshots/blind-tour-openpacific.png
C projection tour,ANTIMERIDIAN,local fb50fa6d,179.6/-17.6 z6,longitude continuity,143 layers; no style break; no layer-count change; Jacobian dLayers 0,PASS,screenshots/blind-tour-antimeridian.png
C projection tour,high latitude,local fb50fa6d,-20/66.5 z5,style intact,143 layers; textures 166,PASS,screenshots/blind-tour-highlat.png
C projection tour,island chain (Madeira),local fb50fa6d,-16.9/32.75 z9,style intact + field paints,143 layers; wind field paints; TruthOverlay x87 SOURCE-PARITY-MISMATCH heatmap=swell_1 infobox=wind,PASS structurally / FAIL parity,screenshots/blind-tour-islandchain-madeira.png
C projection tour,bay/cove,local fb50fa6d,-122.5/37.5 z9,style intact,143 layers; textures 176,PASS,screenshots/blind-tour-bay-halfmoon.png
C projection tour,GL pixel read-back,local fb50fa6d,all 12 cameras,pixel proof,FAILED at all 12 - a second getContext with preserveDrawingBuffer cannot be obtained on a canvas MapLibre owns. The tour proves the style survived and NOT that the field painted.,BLOCKED - re-done by screenshot decoding,evidence/blind-projection-tour.json
D lifecycle burn-in,3x mount/activate/switch/unmount/remount,local fb50fa6d,Cocoa,no growth,workers 18 on-route / 1 off-route stable; GL 1 on / 0 off; ~3 map-owned intervals stable,PASS,evidence/blind-marks.json
D lifecycle burn-in,RAF ownership determinism,local fb50fa6d,same,deterministic,1 RAF call-site after a clean load; 4 after burn-in and race in a context of the same age,FAIL (non-deterministic),evidence/blind-marks.json
D lifecycle burn-in,heap,local fb50fa6d,same,measurable,performance.memory frozen at 159.3 MB across all 23 marks - MEASUREMENT FAILURE and no conclusion is drawn,BLOCKED,evidence/blind-summary.json
E production-like,deployed dev build,deployed 568fc2c6,5 cameras x 4 layers,field paints,20/20 cells painted; grid_series 45/45 HTTP 200; wind saturation 0.32-0.58; waves/swell/water_temp all distinct palettes,PASS,evidence/paint-control-deployed568fc2c6.json
E production-like,local warm-backend control,local fb50fa6d,same 20 cells,field paints,grid_series 52/52 HTTP 200 and only 10 failures. The blind run's 50 grid_series failures were a COLD-START TRANSIENT.,PASS - corrects the blind reading,evidence/paint-control-local-fb50fa6d-meta.json
E production-like,cold vs warm backend,both,same,n/a,122 failed requests cold vs 10 warm - a 12x difference attributable to Render cold start and not to code,PASS,evidence/blind-summary.json vs paint-control meta
SCIENTIFIC served resolution,Cocoa FL z5 z7 z8 z9 z10 z12,deployed 568fc2c6,Waves,resolution improves with zoom,~223 km grid (2 deg) disclosed at z7 z8 z9 z10 and z12; simplified mode true in most cells,FAIL - 2 deg at every zoom,evidence/scientific-validation/resolution-deployed568fc2c6.json
SCIENTIFIC served resolution,Madeira z5 z7 z8 z9 z10,deployed 568fc2c6,Waves,island resolution finer,~223 km grid (2 deg) at every zoom measured,FAIL,evidence/scientific-validation/resolution-deployed568fc2c6.json
SCIENTIFIC served resolution,local control 20 cells,local fb50fa6d,4 layers x 5 cameras,n/a,Class = COARSE 2 deg GRID in 18 of 20 cells including z11; provider NOAA for waves and swell but UNKNOWN for wind and water_temp,FAIL,evidence/paint-control-local-fb50fa6d.json
SCIENTIFIC upstream health,open-meteo 0.25 deg .om tile,n/a,direct HTTP,reachable,HEAD 200; Range 0-63 -> 206; latest.json 200 at 5332 bytes. Upstream is HEALTHY so the observed aborts are client-side.,PASS,curl probes recorded in the master report
OBSERVABILITY parity instrument,9-step layer sequence,local fb50fa6d,Cocoa z8,verdict matches reality,step 7 MISMATCH with heatmap.vectorCount=15023 waveData=true unsampled=null while activeLayer=wind; step 9 computed NOT_APPLICABLE with mismatchReasons null while the HUD STILL DISPLAYS the mismatch,FAIL - fabricated violation plus display/computation disagreement,evidence/causal-traces/local-parity-trace.json
OBSERVABILITY parity instrument,renderer correctness discriminator,local fb50fa6d,4 layers x 5 cameras,drawn variable equals active layer,distinct palettes per layer - Wind [34 55 71]; Waves [43 58 72]; Swell [31 70 74]; Water Temp [63 60 50] - the RENDERER is correct,PASS - the instrument is at fault and not the renderer,evidence/paint-control-local-fb50fa6d.json
OBSERVABILITY HUD gating,production host,deployed 568fc2c6,any,HUD hidden in prod,HUD correctly absent. But truthOverlayGate.test.js documents that the telemetry POST to /api/weather/client-diagnostics is NOT gated so production emits violations invisibly.,PASS render / FAIL telemetry scope,frontend/src/__tests__/truthOverlayGate.test.js
ACCESSIBILITY,control machine-readability,local fb50fa6d,map page,toggles expose state,62 buttons; exactly 1 aria-pressed (the GFS chip); 0 role=slider anywhere although ForecastWheel.js implements the house pattern,FAIL,evidence/blind-ui-state-initial.json
ACCESSIBILITY,layer toggle idempotence,local fb50fa6d,map page,settable state,buttons are toggles with no idempotent set - 4 identical baseline sequences alternated strictly between 'GFS / wind LOADED' and 'GFS / none OFF',FAIL,jacobian-tests/local-noise-estimate.json
