Objective ID,Canonical Title,Level,Type,Exact Original Wording (representative),Source Audits,First Appearance,Most Recent Appearance,Related Canonical Task IDs,Related Initiative,Duplicate/Superseded Wording,Notes
WS-OBJ-104,Release delivery - users receive the work,2,Product,"'production frontend 84 days behind HEAD' (12.0)","standing since 2026-08-05, 12.0",2026-08-05,2026-08-13,0039,-,'unfreeze prod',Now 85 days. Owner-gated. Every frontend finding concerns an artifact prod does not serve
WS-OBJ-201,One forecast composition,2,Correctness,"'NEVER report marine point.speed as the surf height' (CLAUDE.md)",prior masters + 11.0 + 12.0,2026-07-28,2026-08-13,"0002,0023",I-01,-,CERTIFIED COMPLETE. One chain one write site AST-guarded; verified live at HEAD (LV-06)
WS-OBJ-202,Model-run and forecast-time truth,2,Correctness,"'thread cycle_dt as run_time, keep wall-clock as ingested_at' (11.0 R11-04)",11.0,2026-08-09,2026-08-13,"0004,0005,0016,0029",I-05,'model-run identity',Serialization half shipped; cycle identity absent. 12.1 adds a microsecond-identity control
WS-OBJ-203,Resolution and coverage disclosure,2,Correctness,'Consumers can tell a 0.25 grid from a 10 degree resample' (11.0 R11-10),"11.0, Codex F-08, 11.2 RC-05",2026-08-09,2026-08-13,"0014,0034",-,-,Producer absent; client derives it. A good fallback and a bad permanent contract
WS-OBJ-204,Readout legend and unit truth,2,Correctness,"'The number, the colour and the label agree' (11.0 R11-11)",11.0,2026-08-09,2026-08-13,0015,-,-,2 of 7 items shipped and receipted
WS-OBJ-205,Deterministic product selection,2,Correctness,"'the strongest single lead' (11.0 SOFTWARE_JACOBIAN_MATRIX); RC-03 (11.2)","11.0, 11.2",2026-08-09,2026-08-11,0033,-,'z-tier determinism',Blocks any finer nearshore model - cannot validate a finer model against a value that depends on interaction history
WS-OBJ-206,One composition per forecast hour,2,Architecture,'Retire or pin the ICON >168 h client blend' (11.0 R11-06),11.0,2026-08-09,2026-08-13,0007,-,-,The project's own binding mandate one subsystem over
WS-OBJ-207,Geometry-quality disclosure,2,Correctness,"'blind geometry is invisible to the user - the disclosure is a MISSING WORD' (563f0f73)",POST-12.0,2026-08-13,2026-08-13,0062,I-15,none,NEW OBJECTIVE. Reproduced live at the degraded tier by 12.1 (LV-06)
WS-OBJ-301,Bounded lifecycle and resource ownership,2,Reliability,'No module-import RAF that runs on every screen forever' (11.0 R11-17),"11.0, 11.2, 12.0",2026-08-09,2026-08-13,"0008,0013,0022,0001",I-08,'RAF authority',First LIVE confirmation by 12.1 (LV-04)
WS-OBJ-302,Bounded latency and capacity,2,Performance and Capacity,"'36.8% of grid_series requests exceed 10 s' (12.0)","11.1, 12.0",2026-08-10,2026-08-13,"0064,0009",-,-,12.1 finds a worse route by median in 12.0's own evidence
WS-OBJ-303,Bounded memory,2,Performance and Capacity,"'peak RSS 87.0% of the 2,048 MB cgroup limit' (12.0)",12.0,2026-08-12,2026-08-13,-,-,'memory headroom',60.7% at 12.1 - different traffic. Needs a sustained-load measurement before any conclusion
WS-OBJ-304,Pipeline data integrity,2,Reliability,'A corrupted or truncated product cannot be served as authoritative' (11.0 R11-13),prior master + 11.0,2026-08-08,2026-08-12,0017,-,-,Only 2 hashlib uses in the pipeline; neither an integrity check
WS-OBJ-401,One authority per critical responsibility,2,Architecture,12.0 CURRENT_ARCHITECTURE_AUTHORITY_MAP section 7,12.0,2026-08-12,2026-08-13,"0016,0022,0033",-,-,The five ownership questions
WS-OBJ-402,Exit every dual-path migration,2,Architecture,'Dual-path migrations must include an exit condition' (12.0 Rule 12 equivalent),12.0,2026-08-12,2026-08-13,"0007,0032,0043","I-07, I-09",-,Three dual paths; NONE has a written exit condition. This is the rule 12.0 wrote and did not apply
WS-OBJ-501,The accuracy gate grades the quantity that matters,2,Assurance,'the gate is green about the wrong quantity' (12.0),"11.1, 12.0",2026-08-10,2026-08-13,"0026,0054",I-06,-,CERTIFIED COMPLETE by 12.1
WS-OBJ-502,Regression protection that can actually fail,2,Assurance,'A test that cannot fail is worse than no test: it occupies the slot' (12.0),"11.0, 11.4, 12.0",2026-08-09,2026-08-13,"0018,0019,0028,0031,0045,0059",I-10,'test integrity',"3 of 6 tasks closed. The fixme slot remains, now visible as 5 skipped on a green lane"
WS-OBJ-503,Runtime evidence capture,2,Assurance,"'this audit's single largest evidence gap (B-01)' (11.0)","11.0, 11.1, 11.2, 11.4, 12.0",2026-08-09,2026-08-13,"0027,0037",I-12,'video capture',Most-repeated unresolved objective in the program. Blocker cleared 2026-08-13
WS-OBJ-504,Client-to-server observability transport,2,Assurance,'Frontend incidents stop being diagnosed by asking a user to paste console output' (11.0 R11-15),11.0,2026-08-09,2026-08-13,"0020,0063",I-11,'telemetry uplink',NEW PREREQUISITE from 12.1: fix WS-CAN-0063 before scaling this transport
WS-OBJ-505,Instrument delivery is itself measured,2,Assurance,'the cheapest single stability purchase left' (11.0 P0),"11.0, 12.0",2026-08-09,2026-08-13,0025,-,'uptime probe',BUILT post-12.0. Owner needs one heartbeat URL
WS-OBJ-506,Measure-or-refuse on every status surface,2,Assurance,'A health surface never reports a number it did not measure' (11.0 R11-08),"11.0, 12.0",2026-08-09,2026-08-13,"0010,0063",I-02,'fabricated status surfaces',12.1 finds a fourth instance INSIDE the truth layer built to prevent the other three
WS-OBJ-601,Input coverage expansion,2,Differentiation,'the binding constraint is INPUT COVERAGE not physics' (three consecutive audits),"9.0/10.0/11.0, 11.2, 12.0",2026-08-06,2026-08-13,0058,I-15,-,Largest measured accuracy lever. Priced by 12.0 for the first time
WS-OBJ-602,Nearshore physics completion,2,Differentiation,"'tide is measured at 19x the reach of gamma'","11.0, INDEX-forecast-science",2026-08-07,2026-08-13,"0053,0024",I-15,-,18 post-12.0 commits - the largest work stream since 12.0
WS-OBJ-603,Model selection and blending,2,Differentiation,'Default serving model: GFS vs EURO' (12.0 WS-CAN-0057),12.0,2026-08-12,2026-08-13,0057,-,-,DO NOT FLIP. The advantage is coverage not model
WS-OBJ-604,AI-assisted forecast correction,2,Differentiation,'Neural emulators / learned downscaling / AI bias correction',"9.0/10.0/11.0, 11.2, 12.0",2026-08-06,2026-08-13,"0049,0051",-,-,Blocked at the premise and the premise got worse
WS-OBJ-605,GPU and data-format modernization,2,Modernization,"'Zarr / Kerchunk / COG / Dask'; 'WebGPU / OffscreenCanvas'","9.0/10.0/11.0, 11.2, 12.0",2026-08-06,2026-08-13,"0046,0047,0050",I-14,-,Rejected 3x each. 12.1 does not reopen
WS-OBJ-701,One canonical register with persistent IDs,2,Program-Governance,'A task keeps its canonical ID forever' (12.0 Rule 2),12.0,2026-08-12,2026-08-13,"0038,0056",-,-,Violated by 12.0's own successor session - six findings never got IDs
WS-OBJ-702,One release-gate taxonomy,2,Program-Governance,'A gate has a history' (12.0 WS-CAN-0056),12.0,2026-08-12,2026-08-13,0056,-,-,12.1 adopts the domain gates 0-8 and maps both historical matrices
WS-OBJ-703,Security and credential hygiene,2,Program-Governance,'Rotate the two committed credentials' (11.0 R11-16 / Codex F-05),"11.0, 12.0",2026-08-09,2026-08-13,0021,-,-,Owner-gated. History retains them regardless of any edit
WS-OBJ-704,Search and worktree hygiene,2,Program-Governance,'A stale worktree makes a repo-wide search silently read a different commit' (11.0),"11.0, 12.0",2026-08-09,2026-08-13,0055,-,-,7 worktrees at 12.1 vs 6 at 12.0
WS-OBJ-705,CI and E2E lane integrity,2,Assurance,"'url.includes(.js) matches .json' (WS-CAN-0059, POST-12.0)",POST-12.0,2026-08-13,2026-08-13,"0059,0065",-,none,NEW OBJECTIVE. CERTIFIED COMPLETE by 12.1 - the first objective this program has opened and closed inside one audit cycle
