Objective ID,Parent,Level,Title,Objective Type,Intended Outcome,Canonical Task IDs,Delivery State,Evidence State,Strategic Disposition,Finish-Line Relationship,Release Gate,Current Architecture Owner,Current Blocker,Required Closure Evidence,Closure Criteria,Recommended Next Action,Confidence,Notes
WS-OBJ-104,WS-OBJ-001,2,Release delivery - users receive the work,Product,The artifact users load is the artifact that was tested,WS-CAN-0039,Not Started,Verified Current,Preserve,Blocks Reliable Baseline,Gate 0,Netlify production site,OWNER DECISION,A prod SW BUILD_VERSION matching a recent HEAD,Production serves a build from the current program,OWNER: unfreeze,High,85 days behind. Every frontend finding concerns an artifact prod does not serve
WS-OBJ-201,WS-OBJ-002,2,One forecast composition,Correctness,Height and quality come from one chain with one write site,"WS-CAN-0002,0023",Fully Delivered,Verified Current,Complete,Blocks Reliable Baseline,Gate 1,surf_point.resolve_surf_geometry -> estimate_surf_at -> surf_rating,none,Live payload carrying height + score + level + reference_size_m,One chain one write site AST-guarded,PRESERVE - do not disturb,High,LV-06 verified at HEAD 2026-08-13
WS-OBJ-202,WS-OBJ-002,2,Model-run and forecast-time truth,Correctness,run_time means the model cycle not the ingest clock,"WS-CAN-0004,0005,0016,0029",Partially Delivered,Verification Failed,Repair,Blocks Reliable Baseline,Gate 1,grid_series_helper serialization; store_helpers filename,cycle_dt discarded by _pick_cycle,A run_time equal to a real model cycle on a live payload,run_time is the cycle; ingested_at carries the wall clock,Thread cycle_dt; add ingested_at,High,LV-05 four tiles share run_time to the microsecond
WS-OBJ-203,WS-OBJ-002,2,Resolution and coverage disclosure,Correctness,A consumer can tell a 0.25 grid from a coarse resample,"WS-CAN-0014,0034",Not Started,Verification Failed,Repair,Blocks Reliable Baseline,Gate 1,point_resolution.deduce_grid_resolution (exists uncalled on the response),none - it is a stamping change,resolution non-null on a tiled response,Every point path stamps the deduced resolution,Stamp it; retire the client derivation,High,LV-05 null at all four geographies including tiled ones
WS-OBJ-204,WS-OBJ-002,2,Readout legend and unit truth,Correctness,The number the colour and the label agree,WS-CAN-0015,Partially Delivered,Partially Verified,Continue,Supporting Objective,Gate 1,heightUnits.js + MapWeatherControls,5 of 7 items open,Per-item receipt,All seven readout-truth items shipped,Take cross-fall sampling and ft/m threading,Medium,2 of 7 shipped and receipted
WS-OBJ-205,WS-OBJ-002,2,Deterministic product selection,Correctness,A fixed coordinate returns a stable value,WS-CAN-0033,Not Started,Verification Failed,Repair,Blocks Advanced Differentiation,Gate 1,marine fetch ladder z8/z9/z10,not re-measured since 11.2,Layer off-on x3 at a fixed coordinate returning one value,Selection is deterministic and the tier is disclosed,Re-measure then make deterministic,Medium,Blocks any finer nearshore model
WS-OBJ-206,WS-OBJ-002,2,One composition per forecast hour,Architecture,The ICON >168h hour has one owner,WS-CAN-0007,Not Started,Verification Failed,Complete,Blocks Reliable Baseline,Gate 1,backendWeatherServiceClient.js:272 vs icon_marine_extension.py,none,One code path for the hour,The client blend is retired or identity-stamped,Serve the bake through the per-hour lane,High,Violates the project's own binding mandate one subsystem over
WS-OBJ-207,WS-OBJ-002,2,Geometry-quality disclosure,Correctness,A degraded or blind geometry spot says so,WS-CAN-0062,Not Started,Verified Current,Repair,Blocks Reliable Baseline,Gate 1,spot_ratings.py confidence field,none,confidence varying with geometry_readiness on a live bbox,A user can tell degraded from full,Make confidence read geometry_readiness,High,NEW. LV-06 - degraded and full both report medium
WS-OBJ-301,WS-OBJ-003,2,Bounded lifecycle and resource ownership,Reliability,No loop worker or GPU resource outlives its surface,"WS-CAN-0008,0013,0022,0001",Partially Delivered,Partially Verified,Repair,Blocks State-of-the-Art Core,Gate 2,useGridWorker / disposeEngine / RAF owners,WeatherTelemetry RAF has no cancel path,activeRafCount 0 with no weather layer active,Every RAF has a cancel path,Add the cancel path,High,LV-04 activeRafCount 1 with activeLayers []
WS-OBJ-302,WS-OBJ-003,2,Bounded latency and capacity,Performance and Capacity,No route exceeds its budget at the median,"WS-CAN-0064,0009",Not Started,Verified Current,Repair,Blocks State-of-the-Art Core,Gate 5,conditions.py / grid_series_helper,none,A sustained-load p50/p99 per route,No route sits above 10 s at the median,Open WS-CAN-0064 with WS-CAN-0009,High,NEW. LV-07 conditions/batch p50 ~52-59 s in two audits
WS-OBJ-303,WS-OBJ-003,2,Bounded memory,Performance and Capacity,Peak RSS stays clear of the cgroup limit,-,Operational,Partially Verified,Investigate,Supporting Objective,Gate 5,Render cgroup 2048 MB,short measurement windows only,A sustained-load peak-RSS reading,Peak below an agreed headroom bound,Measure under load before concluding,Low,87.0% at 12.0 vs 60.7% here - different traffic not proof
WS-OBJ-304,WS-OBJ-003,2,Pipeline data integrity,Reliability,A truncated or corrupted product cannot be served as authoritative,WS-CAN-0017,Not Started,Verification Failed,Repair,Blocks State-of-the-Art Core,Gate 1,_fetch_message_bytes / store.py,none,A byte-count/Range validation failing on a truncated fixture,No product is registered without validation,Start with byte-count validation,Medium,Only 2 hashlib uses in the pipeline neither an integrity check
WS-OBJ-401,WS-OBJ-004,2,One authority per critical responsibility,Architecture,No responsibility has two live owners,"WS-CAN-0016,0022,0033",Partially Delivered,Partially Verified,Continue,Blocks State-of-the-Art Core,Gate 2,see convergence map,3 accidental duplicates 2 bypasses,Authority census showing zero accidental duplicates,Every row Single Verified Authority or Explicitly Coordinated,Work the five ownership questions in order,High,Converging - 12.0's five questions still the right five
WS-OBJ-402,WS-OBJ-004,2,Exit every dual-path migration,Architecture,No migration is preserved indefinitely,"WS-CAN-0007,0032,0043",Partially Delivered,Partially Verified,Continue,Blocks State-of-the-Art Core,Gate 4,arbiter / settle debounce / ICON blend,No exit condition is written for any of the three,A dated exit condition per dual path,Each dual path has an arm-or-delete date,Write exit conditions - do not flip,High,12.0 rule requires exit conditions; none exist
WS-OBJ-501,WS-OBJ-005,2,The accuracy gate grades the quantity that matters,Assurance,A losing forecast reddens a workflow,"WS-CAN-0026,0054",Fully Delivered,Verified Current,Complete,Blocks State-of-the-Art Core,Gate 1,forecast_accuracy_monitor.py,OWNER threshold decision,Live run naming the losing comparison,The gate can page on a real skill loss,OWNER: threshold before 2026-08-22,High,CERTIFIED. LV-03
WS-OBJ-502,WS-OBJ-005,2,Regression protection that can actually fail,Assurance,Every guard is mutation-proven and reachable by CI,"WS-CAN-0018,0019,0028,0031,0045,0059",Partially Delivered,Partially Verified,Continue,Blocks State-of-the-Art Core,Gate 3,e2e + marineMaskShelter.wrapper.test.js,test.fixme still occupies the pixel-oracle slot,Three headed greens then un-fixme,No test in the estate is structurally unable to fail,Complete or delete the fixme block,High,0031 0045 0059 all closed; 0018/0019 open
WS-OBJ-503,WS-OBJ-005,2,Runtime evidence capture,Assurance,A temporal defect can be seen not only described,"WS-CAN-0027,0037",Not Started,Verification Failed,Complete,Blocks State-of-the-Art Core,Gate 3,frontend/playwright.config.js,NONE - blocker cleared by WS-CAN-0059,A .webm reaching the uploaded artifact from a deliberate failure,Video retained on failure and proven,START NOW - this is the authorized mission,High,6 audits 0 recordings. LV-08 gives the mechanism
WS-OBJ-504,WS-OBJ-005,2,Client-to-server observability transport,Assurance,A frontend incident reaches a server without asking a user,"WS-CAN-0020,0063",Not Started,Verification Failed,Repair,Blocks State-of-the-Art Core,Gate 4,TruthOverlay.js:141 - the only transport,none,A fixed-cardinality uplink with honest fields,Incidents are diagnosable from server data,Fix WS-CAN-0063 before building the uplink,High,Do not scale a transport that fabricates a field
WS-OBJ-505,WS-OBJ-005,2,Instrument delivery is itself measured,Assurance,The monitors are monitored from outside,WS-CAN-0025,Operational,Verified Current,Complete,Supporting Objective,Gate 0,backend/scripts/uptime_probe.py,OWNER: one heartbeat URL,A dead-man's-switch firing from a non-GitHub scheduler,The probe runs off GitHub and pages,OWNER: create the heartbeat URL,High,Built proven live; not yet scheduled anywhere
WS-OBJ-506,WS-OBJ-005,2,Measure-or-refuse on every status surface,Assurance,No surface reports a number it did not measure,"WS-CAN-0010,0063",Partially Delivered,Verification Failed,Repair,Blocks State-of-the-Art Core,Gate 1,routes/admin/system.py:208; TruthOverlay.js:126,two fabricated values remain,Both sites refusing or measuring,No placeholder constant reaches a consumer,Fix both in one visit,High,LV-04 - a fourth fabricated surface found in the truth layer
WS-OBJ-601,WS-OBJ-006,2,Input coverage expansion,Differentiation,Fewer served spots resolve from the coarse global grid,WS-CAN-0058,Not Started,Verified Current,Continue,Blocks Advanced Differentiation,Gate 1,pilot_regions + WORLDWIDE_REGIONS_PER_CYCLE,cadence against a 200-min timeout,An instrumented per_cycle 4 vs 3 runtime split,Coverage rises with cadence intact,Measure the runtime split first,High,Largest measured accuracy lever. LV-05 2 of 4 sites coarse
WS-OBJ-602,WS-OBJ-006,2,Nearshore physics completion,Differentiation,The highest-reach absent terms are decided on evidence,"WS-CAN-0053,0024",Partially Delivered,Partially Verified,Defer,Blocks Advanced Differentiation,Gate 7,science_registry + surf_point,band/glyph sub-term not isolated; tide is an owner call,A per-cell geometry dump alongside the score,The band and the glyph answer the same question,DO NOT TUNE EITHER LANE,Medium,Tide has ~19x the reach of gamma
WS-OBJ-603,WS-OBJ-006,2,Model selection and blending,Differentiation,The served default is the lane the evidence supports,WS-CAN-0057,Not Started,Verified Current,Investigate,Optional Enhancement,Gate 1,BUOY_CALIBRATION_MODEL / spot-ratings default,tail unsampled - a calendar dependency,A pooled census spanning days with a storm,The default is evidence-backed or the reason recorded,DO NOT FLIP,High,EURO edge is 2.9-5.9% like-for-like not 33.5%
WS-OBJ-604,WS-OBJ-006,2,AI-assisted forecast correction,Differentiation,A learned residual improves on a validated baseline,"WS-CAN-0049,0051",Not Started,No Evidence,Defer,Research Only,Gate 8,-,No baseline worth correcting toward,A sustained paired win at +24h,A validated baseline exists first,DO NOT START,High,Blocked at the premise and the deficit widened
WS-OBJ-605,WS-OBJ-006,2,GPU and data-format modernization,Modernization,Rendering and data access are modernized only against a measured bottleneck,"WS-CAN-0046,0047,0050",Not Started,No Evidence,Reject / Defer,Research Only,Gate 6,-,No measured bottleneck; frame rate unmeasurable,A measured bottleneck,A bottleneck is measured first,DO NOT START,High,0046/0047 Reject; 0050 Defer behind WS-CAN-0037
WS-OBJ-701,WS-OBJ-007,2,One canonical register with persistent IDs,Program-Governance,Every finding has an ID before it is actioned,"WS-CAN-0038,0056",Partially Delivered,Verification Failed,Repair,Supporting Objective,Gate 0,CANONICAL_TASK_REGISTER.csv,post-12.0 findings never got IDs,A register with zero orphan findings,Every open finding carries a WS-CAN id,Adopt the 12.1 register with 0060-0065,High,Six post-12.0 findings were orphaned
WS-OBJ-702,WS-OBJ-007,2,One release-gate taxonomy,Program-Governance,A gate has a history,WS-CAN-0056,Not Started,No Evidence,Complete,Supporting Objective,Gate 0,11.2 gates 1-8 vs 11.4 gates A-I,none,One mapped matrix,Both historical matrices map onto one taxonomy,Adopt the domain gates and map once,High,12.1 adopts Gates 0-8 and maps them
WS-OBJ-703,WS-OBJ-007,2,Security and credential hygiene,Program-Governance,No live credential is reachable from git history,WS-CAN-0021,Not Started,Verification Failed,Repair,Supporting Objective,Gate 0,BRAIN_RULES.md,OWNER,A rotated credential and a clean secret scan,Credentials rotated and moved to env,OWNER: rotate,High,History retains them regardless of any edit
WS-OBJ-704,WS-OBJ-007,2,Search and worktree hygiene,Program-Governance,A repo-wide search cannot silently read another commit,WS-CAN-0055,Not Started,Verification Failed,Complete,Supporting Objective,Gate 0,git worktree list,orphans may hold another session's work,git worktree list showing no orphans,Only live worktrees are registered,Prune the five orphans deliberately,High,7 now vs 6 at 12.0
WS-OBJ-705,WS-OBJ-007,2,CI and E2E lane integrity,Assurance,The browser lane fails on the application not on its harness,"WS-CAN-0059,0065",Fully Delivered,Verified Current,Complete,Blocks State-of-the-Art Core,Gate 3,frontend/e2e/weather-simulation.spec.js + pre-push floor hook,none,Five consecutive completed greens with a real test count,The lane runs and its failures mean something,CERTIFIED - preserve,High,LV-02. Unblocks WS-CAN-0027
