Commit,Date,Subject,Files Changed,Sample Files,Canonical Task ID,Program Objective ID,Progress Classification,Tests Added/Changed,Scope Verdict
2d2a29cb,2026-08-13,perf(ci): early-exit the floor hook when the range adds no test at all -- 1200ms -> 424ms,1,backend/scripts/check_floor_before_push.py,WS-CAN-0065,WS-OBJ-705,Verified Objective Progress,no,In scope
06b6334a,2026-08-13,docs(register): WS-CAN-0059 accepted as shipped-and-unverified -- and its own instruction had gone stale,1,audit/weather-simulation-12.0/CANONICAL_TASK_REGISTER.csv,WS-CAN-0059,WS-OBJ-701,Verified Objective Progress,no,In scope
3f19ed70,2026-08-13,test(ci): pin the pre-push floor check's detection primitives (synthetic; CI clones shallow),1,backend/tests/test_check_floor_before_push.py,WS-CAN-0065,WS-OBJ-705,Verified Objective Progress,yes,In scope
6354c7ea,2026-08-13,"fix(ci): estate floor 347 -> 351 -- CAUGHT BY THE PRE-PUSH HOOK, not by a red build",2,.github/workflows/ci.yml; backend/tests/test_ci_floor_staleness.py,WS-CAN-0065,WS-OBJ-705,Verified Objective Progress,yes,In scope
11217c2d,2026-08-13,docs(ci): warn that making this hook shareable would silently disable the LOC guard,1,backend/scripts/check_floor_before_push.py,WS-CAN-0065,WS-OBJ-705,Verified Objective Progress,no,In scope
daa433a4,2026-08-13,"docs(handoff): audit 12.0 close -- four tasks shipped, one lane I could not measure, and a standing rule refuted",1,docs/runbooks/HANDOFF-2026-08-13-B-audit-12-close-and-the-lane-i-could-not-measure.md,-,WS-OBJ-701,Verified Objective Progress,no,In scope
fd83074c,2026-08-13,"docs(science): chased the break_depth gap -- 47% degraded geometry, and it is the BIG waves",1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,WS-CAN-0062,WS-OBJ-207,Objective Regression,no,In scope
6eee749f,2026-08-13,docs(science): the 47% degraded geometry is GEOGRAPHIC -- the height link is largely confounding,1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,WS-CAN-0062,WS-OBJ-207,Verified Objective Progress,no,In scope
f39e9cf5,2026-08-13,docs(science): degraded geometry is 34.7% not 47% -- I sized a population from a sample I biased,1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,WS-CAN-0062,WS-OBJ-207,Verified Objective Progress,no,In scope
0a13d56e,2026-08-13,"docs(science): 44.0% of 1,052 sampled spots run on degraded geometry -- and 17 are BLIND",1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,WS-CAN-0062,WS-OBJ-207,Verified Objective Progress,no,In scope
563f0f73,2026-08-13,docs(science): blind geometry is invisible to the user -- the disclosure is a MISSING WORD,1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,WS-CAN-0062,WS-OBJ-207,Verified Objective Progress,no,In scope
9d060062,2026-08-13,docs(science): the forecast_confidence comment misstated its own precondition,1,backend/services/weather_pipeline/spot_ratings.py,WS-CAN-0062,WS-OBJ-207,Verified Objective Progress,no,In scope
bd35a92e,2026-08-13,docs(ops): spot ratings beyond near-term return 503 for BOTH models -- user-facing,1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,WS-CAN-0064,WS-OBJ-302,Objective Regression,no,In scope
50321e08,2026-08-13,RETRACT in part: the 'user-facing 503' was my curl -- the client never makes that call,1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,WS-CAN-0064,WS-OBJ-302,Verified Objective Progress,no,In scope
7b74ae96,2026-08-13,fix(dev): launch.json backend used the BROKEN Windows python -- local backend could not start,1,.claude/launch.json,-,WS-OBJ-701,Verified Objective Progress,no,In scope
82005e35,2026-08-13,feat(map): omUrlTrace -- record the tile z/x/y the om protocol is ACTUALLY asked for,3,frontend/src/components/map/omUrlTrace.js; frontend/src/components/map/omUrlTrace.test.js; frontend/src/components/map/openMeteoProtocol.js,WS-CAN-0061,WS-OBJ-101,Verified Objective Progress,yes,In scope
0f13fa7d,2026-08-13,fix(map): water temp rendered NOTHING on every model -- the colour scale key did not exist,3,frontend/src/components/map/colorScales.aliasSurfaceTemperature.test.js; frontend/src/components/map/colorScales.js; frontend/src/components,WS-CAN-0060,WS-OBJ-101,Verified Objective Progress,yes,In scope
31cffdea,2026-08-13,"docs: water temp was blank on every model -- a missing colour-scale KEY, and fog is NOT the same",1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,WS-CAN-0060,WS-OBJ-101,Verified Objective Progress,no,In scope
2dd8f1ff,2026-08-13,test(map): guard the CLASS -- every raster layer's variable must resolve to a colour scale,1,frontend/src/components/map/layerColorScaleCoverage.test.js,WS-CAN-0060,WS-OBJ-502,Verified Objective Progress,yes,In scope
6bef6eda,2026-08-13,test(map): extend the colour-scale guard to MARINE layers -- the WebGL-failure fallback path,1,frontend/src/components/map/layerColorScaleCoverage.test.js,WS-CAN-0060,WS-OBJ-502,Verified Objective Progress,yes,In scope
ba7f1c18,2026-08-13,feat(map): probe the om protocol's early returns -- the zoom-floor blank is inside the handler,2,frontend/src/components/map/omUrlTrace.js; frontend/src/components/map/openMeteoProtocol.js,WS-CAN-0061,WS-OBJ-101,Verified Objective Progress,no,In scope
f314f418,2026-08-13,"docs: the zoom floor blanks EVERY om:// raster layer, not just fog",1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,WS-CAN-0061,WS-OBJ-101,Verified Objective Progress,no,In scope
cfad21ac,2026-08-13,docs(handoff): the memory compaction arc -- the pass note was the growth engine,1,docs/runbooks/HANDOFF-2026-08-13-C-the-compaction-arc-and-the-note-that-ate-it.md,-,WS-OBJ-701,No Material Objective Progress,no,In scope
9febd970,2026-08-13,"docs(handoff): 2026-08-13 -- the map-layer arc, and an audit of how often I was the defect",1,docs/research/HANDOFF-2026-08-13-the-map-layer-arc-and-a-self-audit.md,-,WS-OBJ-701,Verified Objective Progress,no,In scope
