ID,Report 11.0 Recommendation,Intended Outcome,Actual Work (commits),Runtime/Static Evidence at HEAD,Current Status,Decision,Root cause reproduced before repair?,Acceptance test created?,Test reproduces original failure?,Duplication effect,Rollback preserved?,Benefit measurable?,Still valid?
R11-11,Seven readout/legend truth divergences,Number/colour agreement,4a36ede7 (rain label); 6568d94b (wind legend from ramp); 5a502dfb (legend numbers); 363f1cd2 (fog readout); 5e920a5d (ft/m to cards); f0c29ebb + d1b40987 (stale-hour disclosure),"(1) rain mm/h SHIPPED (MapWeatherControls.js:190 with the 25.4x rationale). (2) wind legend from ramp SHIPPED. (3) tick spacing proportional SHIPPED. (4) cross-fall slot sampling NOT SHIPPED — useOpenMeteoTileUrls.js still has no decodedOmSampler wiring. (5) three nearshore policies NOT UNIFIED (now flagged: __RAW_NEARSHORE_RENORM__ dark). (6) ft/m reaches cards SHIPPED (forecastCardCompiler.js:75). (7) radar dBZ OPEN and explicitly refused for want of the scheme-7 palette spec",Partially Complete,Continue,Yes,Yes,Yes,Decreased,Yes,Yes,Yes for items 4/5/7
R11-12,Unify hour-0 on floor; derive label from served_valid_time; store base_time per page,Label/frame honesty,none (base_time now present in the series doc),"grid_series response carries base_time (observed in T-CAP-03 doc_keys). MapWeatherControls label still raw client clock; frontend per-hour lane still rounds",Not Started,Defer,n/a,No,n/a,Unchanged,n/a,No,Yes
R11-13,Pipeline integrity chain (checksums, byte-count validation, L1 revalidation, fail-open reconcile, CAS),Detect silent corruption,none,"ZERO occurrences of checksum/sha256/md5/content_length/byte_count in store.py or store_helpers.py at HEAD",Not Started,Investigate,n/a,No,n/a,Unchanged,n/a,No,Yes
R11-14,Executed-GL pixel harness + canvas-hash scrub assertion,Convert 4 PARTIAL test axes to COVERED,ece2c36a (oracle authored as test.fixme); edf91af9 (E2E lane made readable); 00dfba86 (paths-ignore),"CENSUS WITH DISABLED FORMS: frontend/e2e/weather-simulation.spec.js = 5 live test( + 1 test.fixme( at :578 (the pixel oracle) + 6 test.skip(. NO CI GREEN HAS EVER PROVEN THE MARINE FIELD PAINTS. e2e spec count unchanged at 2",In Progress,Continue,Yes,Yes (authored),NOT RUNNING — declared fixme,Neutral,Yes,No,Yes — this is the largest single remaining test gap
R11-15,Client->server telemetry uplink; terminal failure vocabulary in truth stages,Fleet visibility,0bf6278e (live accessors replace lying snapshots); partial via chainCancelled,"weatherTruthTracker.js:428 chainCancelled exists. The only client->server transport is still the single TruthOverlay.js:140 client-diagnostics POST. No general uplink",Partially Complete,Continue,Yes,No,n/a,Neutral,Yes,Partial,Yes
R11-16,Rotate/revoke the two committed credentials; move to env; secret-scan,Close the P1 governance exposure,none,"BRAIN_RULES.md:200 still carries a live Qdrant Cloud API key + cluster endpoint at HEAD. Value not reproduced here",Not Started,Roll Back / owner action,n/a,No,n/a,Unchanged,n/a,No,"Yes — HIGHEST-severity unmitigated item; history retains it regardless of any future edit"
R11-17,Render-lifecycle residuals (uncancellable FPS rAF loop; userTier zombie shutdown; cross-canvas clear; persisted force_*_fallback),Close the one true RAF-invariant violation,none,"WeatherTelemetry.js:397,399 requestAnimationFrame(loop) — still no stored id and no cancel path",Not Started,Defer,n/a,No,n/a,Unchanged,n/a,No,Yes
R11-18,Weather-sim subsystem: confirm the parity monitor's reference-generation mechanism; fix the probe's paging predicate; reach forecast_confidence into the sim tools,Make the parity monitor's reds attributable,32bd579c; bd75343b; 0013020c; 086ee773; 578e9a1c (band enrolled as 4th surface),"MECHANISM CONFIRMED IN PRODUCTION per the 11.0 execution record (reference_size_m 0/64 -> 88/88; worst d_score 16.8 -> 0.1). Sim Parity Monitor GREEN at 2026-08-10T18:06Z on HEAD. RESIDUAL: forecast_confidence still reaches ZERO of the six sim tools",Verified Complete (mechanism); Partially Complete (disclosure),Continue,Yes,Yes (test_rating_composition_parity.py asserts >= 4 surfaces),Yes,Decreased (3 -> 4 enrolled composition surfaces),Yes,Yes (164x collapse in worst d_score),Yes for the forecast_confidence half
ACT-1,External uptime probe (cron delivery measured at 5-32% of nominal),Unblock every instrument that depends on delivery,none,No external probe found; GitHub cron remains the only delivery path,Not Started,Continue,n/a,No,n/a,Unchanged,n/a,No,Yes — Report 11.0 ranked this #2 and it is still #1 unstarted
ACT-2,Watch the clocks: ledger scored>0 (~08-12) and the monitor's first scheduled fire,Let the accuracy instruments mature,e32342a7 record,"CLOSED: ledger reported ledgered=894 scored=503 pending=20892 evicted_cap=0 on 08-10. Forecast Accuracy Monitor cron self-fired and passed (latest 2026-08-10T19:57Z, success)",Verified Complete,Complete,n/a,n/a,n/a,Neutral,n/a,Yes,No longer needed
ACT-3,Owner one-clicks: env flags (PREFETCH_MAX/CONCURRENCY + MALLOC_*), key rotations, Vercel uninstall, census decision,Bound several findings' reach with no code,none,"Live env read 08-10: NONE of PREFETCH_*, PRODUCT_CACHE_*, SERIES_VECTOR_BUDGET, MALLOC_* is set. Prescribed 2026-08-03; 7 days elapsed; 7 OOM events in the interim",Not Started,Correct (escalate),n/a,n/a,n/a,Unchanged,n/a,No,"Yes — and it is now a PREREQUISITE of the capacity finding above, not an adjunct"
