Area,apparent_concern,covered_by,why
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,The water_temp field is buried under the basemap water fill,WS-CAN-0061 (closed f3fe2c85),Owner-confirmed live; explicitly listed as a recent closure not to be re-reported.
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,TruthOverlay's `fps || 60` fabricates a healthy frame rate on the only client-to-server transport,"WS-CAN-0010 + WS-CAN-0063 (closed 69ac3ddb, 172f66aa) / WS-OBJ-506","Both measure-or-refuse tasks closed, including the second site the earlier audit missed."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,"/conditions/* returns HTTP 200 with an error body and leaks str(e), so a client cannot tell a failure on the wire",WS-CAN-0009 / WS-OBJ-103,"Named at HEAD with exact sites (backend/routes/surf_data/conditions.py:94,172,176,212,216,270,274,327,331), and 12.1 already scoped it together with WS-CAN-0064."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,The wind legend is a hand-maintained CSS duplicate that drifted from the shader ramp (calm reading as hurricane),"WS-CAN-0015 item 2, shipped at 6568d94b","MapWeatherControls.js:232-239 now derives the gradient and stops from WindColorRamp.windLegendGradientCSS/windLegendStops, guarded by tests/windLegendFromRamp.test.js. My GAP-UX-01 is the same class surviving on the two temperature legends, which the batch does not enumerate."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,"Legend tick labels are evenly spaced while the colour stops are value-positioned, putting rain's '6' 47 pp from its own colour","WS-CAN-0015 item 3 (""equal-value ticks""), shipped",legendTicks.js valueTicks/dropCollisions/tickTransform + legendTicks.test.js. My GAP-UX-06 is the one legend deliberately exempted from that fix.
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,"The rating glyph conveys its rating by colour only, with the 'why' card mouse-only","the 2026-07-14 mandate work, shipped","MapMarkerLayers.js:24-45 spotGlyphAriaLabel gives every marker a full text equivalent (name, level, height, period, tide), onFocus mirrors onMouseEnter, and MapMarkerLayers.a11y.test.js guards it. GAP-UX-07 is the colour-VISION half, a different population that a text equivalent does not serve."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,Icon-only map controls (camera / users / layers) have no accessible name,"shipped, guarded by controls.a11y.test.js","Two-armed test — a rendered arm and a source arm that catches labels supplied only by a breakpoint-hidden span, which a jsdom name query is structurally blind to. Exemplary; it is the pattern MapWeatherControls should be held to."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,Dragging the scrubber makes every backend-fed layer jank,shipped (cb074b8b commit decimation) and extended by ForecastWheel.wheelDragCommitDue,"11 Hz commit throttle with leading + trailing commits and an exact final commit on release, plus a documented kill switch __RAW_SCRUB_COMMIT_THROTTLE_MS__; the derivation is recorded in ForecastWheel.js:64-99."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,The wheel announces a bare number with no unit until the user interacts with it,shipped,"wheelValueText is now declared in the JSX at ForecastWheel.js:338 as well as in the imperative setAria, so aria-valuetext is correct from first paint; ForecastWheel.valuetext.test.js guards it."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,"A model substitution or an axis clamp is invisible, so the header claims a provenance that is false",WS-CAN-0015 item 4 and the shipped modelProvenance.js,"describeSubstitution and describeStaleHour both render plain words (never colour alone), name the actual hour, read the rendered slot URL rather than a drifted horizon constant, and refuse on bootstrap axes. Guarded by modelProvenance.test.js and staleHour.proof.test.js."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,"There is no user-visible sign that an activated raster is still fetching, so a slow cold edge reads as broken",shipped (2026-07-11 activation-latency affordance),"useOpenMeteoTileUrls.js:707-755 polls the target slot and MapWeatherControls.js:745-751 renders a real spinner plus aria-busy and an sr-only '(loading)' — motion, not colour, carries the meaning. GAP-UX-05 is about the ERROR terminus of that same state machine, not the loading state."
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),No sustained-load or per-route p50/p99-under-load measurement exists anywhere; there is no load-testing tool in the repo,WS-OBJ-302 + SOTA B3 + 11.0 OPEN_QUESTIONS_AND_BLOCKERS.md B-09,"WS-OBJ-302's Required Closure Evidence is verbatim 'A sustained-load p50/p99 per route'; SOTA B3's criterion is 'Per-route p50/p99 under sustained load, with a stated envelope', status 'cumulative telemetry only'. Production load testing is also explicitly PROHIBITED by the audit series' own scope (11.0 §6 'no load test was run against production', 11.2 §4, 12.0 AUDIT_EXECUTION_COMPLIANCE_LEDGER.csv:31). Registered and deliberately deferred, not a blind spot."
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),Peak RSS has only ever been read on short windows; 87.0% vs 60.7% across two audits is not a trend,WS-OBJ-303,"The register row already says it: Current Blocker 'short measurement windows only', Notes '87.0% at 12.0 vs 60.7% here - different traffic not proof', Recommended Next Action 'Measure under load before concluding', Confidence Low. LV-07 §2 repeats the caution."
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),/api/conditions/batch runs at a ~1-minute median and 100% of sampled calls exceed 10 s,WS-CAN-0064 / WS-OBJ-302 / SOTA A16,"Opened by Audit 12.1 from LV-07 with two independent readings. Only the client-timeout relationship is new, returned separately as PERF-G-04 with disposition Expand Existing Task."
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),"/conditions/* returns HTTP 200 with an error body and leaks str(e), including inside the batch handler at conditions.py:94",WS-CAN-0009,"Nine 200-with-error sites, four returning raw str(e), tracked at HEAD; 12.1's note already scopes it together with WS-CAN-0064 as one visit to the same file."
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),"Frame rate is unmeasurable, so no rendering-performance claim can be graded",WS-CAN-0037 + WS-OBJ-503 + SOTA B4,All FPS readings in the program are retracted; the harness is scoped and its blocker (WS-CAN-0027) is now closed. Reporting it again would be re-reporting a known open task.
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),A WeatherTelemetry RAF loop runs on every screen forever with no cancelAnimationFrame,WS-CAN-0022 + WS-OBJ-301 + SOTA A11,Confirmed live at 12.1 (LV-04: __RAW_GPU__.activeRafCount = 1 with activeLayers = []). Tracked with a named repair.
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),The ocean-mask classifier costs ~27% of panning and a settle-debounce exists but is off,WS-CAN-0032,"Implemented in shadow mode at marineMaskShelter.js:269-282, DEFAULT-OFF by its author's explicit instruction, disposition 'Preserve but Do Not Modify' pending a human looking at a pan."
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),"Particle advection is not dt-normalized, so motion speed is hardware-dependent",WS-CAN-0011,"Tracked at WebGLWindEngine.js:540-544 and WebGLMarineEngine.js:2166, deferred behind WS-CAN-0037 because no before/after could be graded without a frame harness."
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),WebGPU / OffscreenCanvas / SharedArrayBuffer would relieve the render path,WS-CAN-0050 + SOTA C7,Deferred three consecutive audits; explicitly blocked on a MEASURED bottleneck plus WS-CAN-0037. 11.2's reason stands: adding a worker adds a fourth authority to a subsystem that already has three disagreeing ones. This audit found no measured GPU bottleneck either -- idle GPU cost is near zero per 11.0 §7.
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),Zarr / Kerchunk / COG / Dask would cut data-access latency and storage cost,WS-CAN-0046 + SOTA C8,Rejected three consecutive audits after being priced against what it would replace. 11.2's decisive reframe: the backend data contract is already strong; the defect is that the CLIENT discards it. Range-streamed GRIB2 off .idx already reads 0.72% of bytes vs 16.83% naive (SOTA 'already state of the art').
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),A worker crash can silently freeze a lane for the whole session,WS-CAN-0008,useGridWorker.js:42 onerror present at HEAD and re-create on next use at :68; only the reply-ordering test (R11-14.3) remains.
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),"GPU textures leak across zoom gestures (+2.63 textures and +0.88 MB per gesture, no plateau over 32 gestures)",WS-CAN-0013 + the in-source investigation at WebGLWindUtils.js:256-272,"Measured 2026-08-04 and REFUTED as a leak -- it was the accounting (18 call sites against 2 manual decrement sites). Fixed at the single function every deletion passes through, which is the only arrangement that cannot drift again. GPU memory IS accounted."
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),"There is only one throttled client-to-server transport, so client-side capacity state never reaches a server",WS-CAN-0020 + WS-OBJ-504 + SOTA B5,"TruthOverlay.js:141 named as the only transport; the uplink is specified and unbuilt, and its fps-fabrication prerequisite (WS-CAN-0063) is now closed."
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),Instrument delivery is itself unmeasured -- nothing proves /api/health is up,WS-CAN-0025 + WS-OBJ-505,"backend/scripts/uptime_probe.py is built, committed (f8825291) and proven live with three-way discrimination; it even MEASURED its own timeout from p99. One owner action (a heartbeat URL off GitHub) remains."
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),The backend product-cache disk size is unmeasured,/api/weather/status.cache_telemetry.disk_usage_bytes (weather.py:655-668) and /api/health.disk_product_count,"11.0 §6's 'cache storage size' NOT-MEASURED line is now STALE -- the size and file count are both measured. What is genuinely missing is a BOUND that consumes the number, returned separately as PERF-G-12."
PERFORMANCE + CAPACITY + STORAGE + COST (audit spec §23),A committed API key sits in a repo-root rules file,WS-CAN-0021 + WS-OBJ-703,"Encountered incidentally in a keyword grep (BRAIN_RULES.md and its twin .antigravityrules). Already tracked for rotation; named by file only here, value never reproduced."
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,Grid orientation / row reversal / UV flip is never verified in both directions through the real render path,WS-CAN-0028 + WS-OBJ-102 + SOTA A5,"WS-CAN-0028 is registered Not Started / No Evidence Located with the exact scope (uniform E/W/N/S, vortex, checkerboard through the real render path); SOTA A5 records it as UNVERIFIED; WS-OBJ-102's Required Closure Evidence is verbatim this harness. Nothing to add."
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,Multiple swell components do not enter the rating (SURF_PARTITIONS is off),WS-CAN-0052,"Registered Not Started / Defer with a named cap-seam blocker and the flip-all-lanes-together condition; project memory adds the JS-mirror precondition. The RATING half is fully covered — only the VALIDATION half survives, reported separately as SCI-G8."
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,Tide is absent from the nearshore chain despite being the highest-reach term,WS-CAN-0053 + SOTA C2 + WS-OBJ-602,"Recorded as an OWNER decision with 18 post-12.0 commits, six tide samples and a harness proven able to see a 38.1-point move. Measured at ~19x the reach of gamma. Fully carried."
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,We lose to persistence at +24 h — the forecast is not adding value at the lead surfers care about,WS-CAN-0026 + LV-03,"Measured, named by the live gate, and the deficit's widening (delta +0.007 -> +0.015, win 46% -> 44%) is already recorded in LV-03. The only remaining item is the owner threshold decision before 2026-08-22."
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,"EURO and ICON are scored but the served default is still GFS, and ICON is 66-75% worse",WS-CAN-0057 + WS-OBJ-603 + LV-03 §4,The model-selection question is explicitly excluded from paging by design (raw_surf:* rows never gate) and carried as an owner investigation; the ICON datum is already recorded in LV-03.
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,"Most served spots resolve from a coarse global grid, which the program itself calls the largest accuracy lever",WS-CAN-0058 + WS-OBJ-601 + SOTA C1,"Registered with a stated measurement precondition (per_cycle 4 vs 3 runtime split against the 200-min timeout). Distinct from validation coverage, which is why SCI-G5 is reported separately."
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,The calibration census exemplar bounds were authored at REF_PERCENTILE=0.80 and are read in a p50 frame,WS-CAN-0042,"The instrument defect was fixed (page on the percentile-invariant ordering claim, absolute miss downgraded to BOUNDS STALE); only the owner's bound value remains, with an explicit NEVER-WIDEN condition."
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,The close-zoom rating band and the spot glyph disagree by 2.3-2.7x,WS-CAN-0024 + WS-OBJ-602,Registered with the per-cell composition sub-term named as the unisolated cause and an explicit DO NOT TUNE EITHER LANE instruction.
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,A truncated or corrupted product can register as authoritative — no end-to-end checksum,WS-CAN-0017 + WS-OBJ-304 + SOTA B14,"Registered Not Started with the exact evidence at HEAD (only two hashlib uses in the pipeline, neither an integrity check) and a stated starting point."
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,"run_time carries the ingest wall clock, so no accuracy number is attributable to a model cycle",WS-CAN-0005 + WS-OBJ-202 + SOTA A2,"Re-confirmed at 12.1 with a stronger control (four geographies, three tiles, identical to the microsecond) and a staged four-step plan recorded. Materially affects provenance of the calibration report but is fully owned."
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,The sim-parity monitor validates wiring rather than physics,WS-OBJ-201 / WS-CAN-0023 + the workflow's own header,"sim-parity-monitor.yml states in its own preamble that a structural guard cannot see a divergence in the data and that both sides come from the same model. The program already treats parity as a composition guard, not an accuracy instrument."
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,"The owner calibration anchors are opinion, not observation, and are blind to directional change",test_owner_calibration_anchors.py's own docstring + project memory,"The file declares itself as the owner's stated judgements and not derived from physics; memory records the harness as unable to see a 47% height cut in directional terms. Known and documented, not a new finding."
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,ERA5 is used as if it were truth in the size-climatology deepening campaign,WS-CAN-0042 + project memory (ERA5 IS NOT TRUTH: underestimates extremes 30-32%),"The census workflow already warns that a backfilled spot STEPS then FREEZES while an un-backfilled one drifts, and the step/freeze-vs-drift class is recorded. ERA5 is used for distribution SHAPE, which is the documented constraint."
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,copernicus_validator.py is named like a scientific validator but only checks metadata strings,WS-OBJ-002 (provenance) — and it is correctly scoped,"Its docstring says 'strict contract, authenticity, and grid rules'. It is an honest contract gate; the risk is only that a reader mistakes it for accuracy validation. Recorded in the evidence file as a naming hazard, not raised as a gap."
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,"Frame rate, fps and status surfaces fabricate values","WS-CAN-0010 + WS-CAN-0063 (both closed, 69ac3ddb + 172f66aa)",Explicitly listed as recent closures; not re-reported.
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,The numeric resolution field is absent from point responses,"WS-CAN-0014 (closed, 172f66aa)",Explicitly listed as a recent closure; not re-reported.
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,"No uncaught JavaScript error, unhandled promise rejection or React crash is ever reported off-device; index.js:165-207 installs window.onerror / 'error' / 'unhandledrejection' handlers that are pure SUPPRESSORS (ResizeObserver, AbortError/DOMException) with no counter and no report.",WS-CAN-0020 / WS-OBJ-504 / SOTA B5,"WS-CAN-0020's Intended Outcome is literally 'Frontend incidents stop being diagnosed by asking a user to paste console output', and an uncaught-exception reporter is inside 'client-to-server telemetry uplink (fixed cardinality)'. Reporting this separately would inflate the list. Worth carrying as a scope note on 0020 rather than a new id: the handlers actively swallow two error classes, so a future uplink inherits a silent drop unless the suppressors are given counters."
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,"WebGL context loss, tile/network failures, texture parse failures and fallback activation are emitted as telemetry events but die in a 500-entry in-browser ring — none reaches a server.",WS-CAN-0020 / WS-OBJ-504 / SOTA B5,"These are exactly the payload of the unbuilt uplink. trackWebGLContextLost (MapWebGL.js:715), tile_failed (WeatherTelemetry.js:366), texture_encoding_failed (:429) and model_warning{fallback_active} (:175) all fire correctly; the only missing piece is egress, which is 0020's whole subject."
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,"The uptime probe is fully built, mutation-tested and proven live but runs nowhere, so nothing pages when the service dies.",WS-CAN-0025 / WS-OBJ-505,"Re-verified at HEAD and unchanged: `grep -rn uptime_probe .github/ --include=*.yml` finds one COMMENT at ci.yml:926 and zero schedule entries (control: 9 workflows carry `schedule:`). The register already states Implementation State 'Implemented but Inactive' and the exact owner action (one free heartbeat URL, scheduled off GitHub). Nothing to add."
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,"No pager, notifier or webhook exists for ANY of the four scheduled monitors — a red run is a GitHub email and nothing else, and all four ride the same GitHub cron whose delivery this program measured at 5-32% of nominal, so a silent monitor is indistinguishable from a green one.",WS-OBJ-505 / WS-CAN-0025,"The dead-man's-switch inversion in WS-CAN-0025 is precisely the fix for 'a monitor cannot report on its own non-delivery', and forecast-accuracy-monitor.yml's own header already names the constraint ('GitHub cron is BEST-EFFORT... this is the accuracy ANALYST, not the uptime pager'). Verified absence: `grep -rn -iE 'slack|discord|pagerduty|webhook|mailto|create-issue|peter-evans' .github/workflows/` -> 1 hit, the English word 'slack' in a CI comment at ci.yml:918."
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,"The WeatherTelemetry FPS RAF loop starts at module import and has no cancelAnimationFrame, so a render loop runs on every screen forever.",WS-CAN-0022 / WS-OBJ-301,"Confirmed unchanged at HEAD (requestAnimationFrame at WeatherTelemetry.js:397 and :399, zero cancelAnimationFrame in the file). Already carried at the right severity. Note for the owner: the register's runtime evidence for it (LV-04 activeRafCount=1) is void per G-OBS-02, but the source-level defect is independently proven, so the task's disposition does not change."
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,"gpuStats.fps is seeded to the literal 60 in the WeatherTelemetry constructor (:42), so before the first 1-second RAF window — or in a tab that never foregrounds and therefore never runs RAF — the uplink still carries a healthy-looking 60.",WS-CAN-0063 (closed 69ac3ddb),"The closed task's Current Files/Symbols column explicitly lists 'WeatherTelemetry.js:41-42' alongside the two sites it repaired, so the seed was in scope and knowingly left. Re-opening it would re-report a closure. Recorded here as a residual for whoever builds the uplink: `?? null` cannot distinguish an unmeasured seed from a measured 60."
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,freshness_sec is a hardcoded 1800 on point and grid responses — a staleness flag that does not vary with staleness.,WS-CAN-0029 / WS-OBJ-202,"Re-confirmed by 12.1 LV-05 at four geographies across three tiles and two ingest paths. The remaining work (pin the true cadence with two samples, then an owner decision) is already stated."
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,__RAW_GPU__.frameTimeHistogram is an all-zeros array in the initialiser and frame rate is not measurable from any harness.,"SOTA B4 / WS-CAN-0027 (video key, closed 181b7ba7)",My first mutation regex wrongly flagged frameTimeHistogram as dead; it is genuinely written per render at WebGLMarineEngine.js:2310-2314 via indexed increments. The real gap — that frame-time distribution is not measurable from CI — is already B4's subject and the capture harness blocker was cleared by WS-CAN-0027.
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,"The production frontend is 85 days behind HEAD, so none of the client-side observability repairs landed this cycle (WS-CAN-0063's client half, the TruthOverlay provenance classes) are running for real users.",SOTA A18 / the owner-gated production-freeze decision,"A18 is graded FAIL with this exact reason. It materially caps the value of every client-side fix but is an owner decision, not a new finding. Note that it does NOT cap G-OBS-01: PostHog is present in the pinned build 3bd38a83 as well."
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,"/api/health is public and unauthenticated while exposing the deploy SHA, python version, dependency digest, dependency count, scheduler job list and key-table row counts.",the surface's own design rationale (routes/health.py:30-34),"Deliberate and reasoned in-file: deps are published as a DIGEST rather than a version list precisely so drift is detectable without offering a CVE-matchable inventory, and python is major.minor only. This is a considered trade-off, not an oversight, and it is what makes the external uptime probe possible at all."
EXTERNAL DEPENDENCY + PROVIDER RISK (audit spec §18) — every,"Byte-range GRIB fetches accept a 200/206 and return r.content with no Content-Length or byte-count validation, so a truncated message could be decoded and registered",WS-CAN-0017 / WS-OBJ-304 / SOTA B14,The register row names exactly the symbols I independently landed on — '_fetch_message_bytes / store.py' — and its required closure evidence is 'A byte-count/Range validation failing on a truncated fixture'. My finding at backend/services/noaa_gfs_wave_fetcher.py:248-253 (and the identical shape in noaa_gfs_wind_fetcher.py:97-99 and noaa_gfs_pressure_fetcher.py:95-97) is the same defect at the same site. Re-reporting would be duplication.
