Canonical ID,Title,Category,Intended Outcome,Source Audits,First Proposed,Most Recent Mention,Severity,Implementation State,Verification State,Current Disposition,Implementation Commits,Current Files / Symbols,Evidence At HEAD (this audit),Remaining Work,Release Gate,Dependencies
WS-CAN-0031,Repair the verdict-cache guardrail so content mutations of a cache hit fail,Test integrity,A cache that inverts the mask cannot ship green,11.4 Gate C / AUTHORIZED_NEXT_GATE_PACKET Stages 1-2,2026-08-12,2026-08-12,P1 (as published),Implemented and Active,Verified Current,Keep as Complete,ecfc1077,"marineMaskShelter.wrapper.test.js:159-162 (created[before]), :378-400","RV-04, THIS AUDIT: mutations M9 (hit returns all-one) and M8 (hit returns all-zero) applied at HEAD in an isolated worktree BOTH CAUGHT, 2 failed / 52 passed of 54 each. Unmutated control 54/54. Audit 11.4 Gate C (FAIL, 6 of 10 survive) is REFUTED at HEAD, and its own MUTATION_RESULTS_FINAL_10of10.json already said so in the same commit",Stage 3 only: an explicit non-vacuity guard inside the byte-identity assertion,Gate 3,
WS-CAN-0032,Settle-debounce promotion for the ocean-mask classifier,Performance,Removes ~27 percent of panning classifier cost,Gate 6 series,2026-08-12,2026-08-12,Medium,Implemented in Shadow Mode,Partially Verified,Preserve but Do Not Modify,"85e3f1fb, 84c3fd60",marineMaskShelter.js:269-282 _shelterSettleGate,"DEFAULT-OFF by its author's explicit instruction (""MUST NOT be promoted yet""). A deferral leaves the mask un-suppressed for that frame: a visible-behaviour change behind a perf flag",A human must look at a pan before promotion. Do not promote without it,Gate 6,
WS-CAN-0033,Non-monotonic z8/z9/z10 tier selection changes the served value at a fixed coordinate,Defect repair,Product selection is deterministic and disclosed,"11.0 SOFTWARE_JACOBIAN_MATRIX (""the strongest single lead"") / 11.2 RC-03",2026-08-09,2026-08-11,Critical (11.2 classification),Not Started,Verification Failed,Repair,-,Tier selection in the marine fetch ladder,Layer off-on x3 at a fixed coordinate gave 0.64/6.8 -> 0.44/3.1 -> 0.64/6.8. 11.2 records it survived the entire 11.1 window unrepaired. Not independently re-measured by this audit,Make selection deterministic; disclose the tier,Gate 1,
WS-CAN-0034,"Provenance class must be a function of more than isEstimated, with a cannot-determine state",User-facing truth,The HUD cannot say AUTHORITATIVE NATIVE during a total load failure,11.2 RC-01,2026-08-11,2026-08-12,Critical (11.2 classification),Implemented and Active,Verified Current,Keep as Complete,post-11.2,TruthOverlay.js:274-286: NO DATA / UNVERIFIED SOURCE / ESTIMATED FALLBACK / SUBSTITUTED SOURCE / RESOLUTION UNKNOWN / COARSE n GRID / AUTHORITATIVE NATIVE,"Seven states at HEAD, gated on gridVectorCount, productId, isEstimated, isSubstituted and resolutionDeg","None. NOTE: its resolution input relies on backendWeatherServiceClientDiag.js:203-210 deriving from served grid bounds, because WS-CAN-0014 never landed",Gate 1,WS-CAN-0014
WS-CAN-0035,Parity gate must REFUSE when either side is unsampled,Observability,Absence stops being encoded as agreement,11.2 RC-02,2026-08-11,2026-08-12,Critical (11.2 classification),Implemented and Active,Verified Current,Keep as Complete,post-11.2,"forecastDiagnostics.js:288-354 (unsampled, parityStatus, unsampledReasons)","Third state present at HEAD. The separate ~10-week orphaned read (renderedVectorCount / renderedNonzeroCount, which nothing wrote) is ALSO fixed: forecastDiagnostics.js:48 now reads webglSourceVectorCount, with the history documented in-file at :15-31",None,Gate 1,
WS-CAN-0036,"Detection, disclosure and recovery on weather request failure",Reliability,A total load failure is visible to the user and the system,11.2 RC-04,2026-08-11,2026-08-11,Critical (11.2 classification),Partially Implemented,Partially Verified,Complete Remaining Work,post-11.2 (NO DATA class),TruthOverlay.js provenanceClass NO DATA branch,The disclosure half is now reachable (gridVectorCount 0 -> NO DATA). Detection and recovery were not re-tested by failure injection in this audit,Re-run 11.2 failure injection against HEAD,Gate 2,
WS-CAN-0037,"Build a frame harness (Playwright headed, visible viewport) so frame rate is measurable at all",Test infrastructure,Unblocks every retracted FPS reading,11.2 (FPS retraction) / 11.3-draft Mission D,2026-08-11,2026-08-12,Medium,Not Started,Verification Failed,Complete Remaining Work,-,frontend/playwright.config.js (4 browser projects already configured),"FRAME RATE IS UNMEASURABLE IN THE BROWSER PANE (RAF 1 frame / 5 s, unfocused-tab throttling). All FPS readings in the program are retracted. No headed harness exists",Estimated half a day by the session that scoped it,Gate 3,WS-CAN-0027
WS-CAN-0038,Reconcile DO_NOT_ADVANCE_ITEMS against the live gate matrix,Governance,The next session does not re-measure closed gates,11.3-draft Mission E,2026-08-11,2026-08-12,Low,Not Started,No Evidence Located,Complete Remaining Work,-,audit/weather-simulation-11.2/DO_NOT_ADVANCE_ITEMS.md,Scoped at five minutes by the session that named it. Superseded in form by this audit: 12.0 IS the reconciliation,Merge into the 12.0 canonical register and retire the standalone file,Gate 0,
WS-CAN-0039,Unfreeze the production Netlify frontend,Release / owner,Users receive the work,Standing since 2026-08-05,2026-08-05,2026-08-12,P0-owner,Not Started,Verified Current,Preserve but Do Not Modify,-,Netlify production site,"MEASURED 2026-08-12: rawsurf.netlify.app/service-worker.js BUILD_VERSION = 3bd38a83 (2026-05-20), while dev--rawsurf.netlify.app = 3ec3fd13 = HEAD exactly. Production frontend is 84 days behind HEAD",OWNER DECISION ONLY. Every frontend finding in this program is about an artifact production does not serve,Gate 0,
WS-CAN-0040,Read the production Render environment variable screen,Evidence / owner,Bounds several flag-state questions in minutes,"11.0 S2.4, carried from the prior master",2026-08-08,2026-08-12,P0-owner,Not Started,Blocked,Complete Remaining Work,-,Render dashboard,Named as a standing gap by two consecutive masters. One dashboard screen,OWNER: one screen read,Gate 0,
WS-CAN-0041,Uninstall the Vercel GitHub App,Hygiene / owner,Removes 8-of-8 failing deployment noise,Standing,2026-08-05,2026-08-11,Low,Not Started,Verified Historically but Not Current,Complete Remaining Work,0eac7f32 (noise resolved),GitHub app settings,"Owner stated ""we never set it up, we have Netlify"". The noise was resolved; the app was not uninstalled",OWNER: one click,Gate 0,
WS-CAN-0042,Resolve the calibration census bound question honestly (re-derive at the operating percentile or wait for ERA5),Scientific calibration,A bound grades the population it was authored for,11.0 batch 3 / threshold-outlives-calibration class,2026-08-09,2026-08-12,Medium,Partially Implemented,Verified Current,Defer,42242bef,Forecast Calibration Census workflow; science_registry ratchet (d12d363c),The workflow is GREEN at HEAD (2026-08-12T15:31Z scheduled). The instrument defect was fixed (page on the percentile-invariant claim; absolute miss downgraded to BOUNDS STALE),OWNER: the bound value itself. NEVER widen. Registry debt count was 29,Gate 5,
WS-CAN-0043,"Arm the marineCommitArbiter (shipped dark, 3000/3000 differential-tested)",Architecture consolidation,The pure reducer replaces the branch-heavy guard chain,11.0 R11-06 / Codex F-09,2026-08-09,2026-08-09,Medium,Implemented but Inactive,Partially Verified,Defer,pre-11.0,__RAW_MARINE_ARBITER__ flag; arbiterDecide,Ships dark behind a flag while the branch-heavy chain remains the live path. A shadow divergence ring exists,"Read arb_shadow_diverge rate first, THEN flip. Benchmark-first, not adopt",Gate 4,
WS-CAN-0044,Fix the p2 rollout evaluator inverted exclude precedence before any canary,Defect repair,A canary cannot target the population it was told to exclude,Prior master / 11.0 R11-13,2026-08-08,2026-08-09,Dormant landmine,Not Started,No Evidence Located,Defer,-,p2.py:556-561 target-before-exclude,Zero callers today. Not re-verified at HEAD by this audit,Fix before any canary is wired,Gate 4,
WS-CAN-0045,Add a non-vacuity guard to the verdict-cache byte-identity assertion,Test integrity,The equality cannot degrade into two empty buffers being equal,11.4 packet Stage 3,2026-08-12,2026-08-12,Low,Not Started,Verification Failed,Complete Remaining Work,-,marineMaskShelter.wrapper.test.js:378-385,RV-04: the assertion at :384 has no in-assertion non-vacuity check. Non-vacuity is implied only by a sibling test asserting narrow.shelteredFrac > 0 on the same fixture,One assertion. The only genuinely open stage of the 11.4 packet,Gate 3,WS-CAN-0031
WS-CAN-0046,Zarr / Kerchunk / COG / Dask cloud-native data migration,Data modernization,n/a,"MASTER-AUDIT 9.0/10.0/11.0, 11.2 DO_NOT_ADVANCE",2026-08-06,2026-08-11,n/a,Not Started,No Evidence Located,Reject,-,n/a,"Priced against what it would replace by three consecutive audits; all lose. 11.2 adds the decisive reframe: the backend data contract is already strong, the defect is that the CLIENT discards it",None. Reopen only with new evidence,n/a,
WS-CAN-0047,JAX / CuPy / GPU / Numba numerical acceleration,Numerical modernization,n/a,MASTER-AUDIT 9.0/10.0/11.0,2026-08-06,2026-08-09,n/a,Not Started,No Evidence Located,Reject,-,n/a,Load-bearing premise re-verified at 11.0: 4 s CPU global forecast. There is no measured numerical bottleneck to accelerate,None,n/a,
WS-CAN-0048,SWAN / FVCOM / GNN / nested grids / AMR nearshore modelling,Nearshore modelling,n/a,"MASTER-AUDIT 9.0/10.0/11.0, 11.2",2026-08-06,2026-08-11,n/a,Not Started,No Evidence Located,Reject,-,n/a,"Three audits agree the binding constraint is INPUT COVERAGE (0.25 degree tiles, break depth, shore normals), not physics. 11.2 adds: cannot validate a finer model while a fixed coordinate value depends on interaction history (RC-03)",None until WS-CAN-0033 closes and coverage grows,Gate 7,WS-CAN-0033
WS-CAN-0049,Neural emulators / learned downscaling / AI bias correction / model blending,AI-assisted forecasting,n/a,"MASTER-AUDIT 9.0/10.0/11.0, 11.2",2026-08-06,2026-08-12,n/a,Not Started,No Evidence Located,Defer,-,n/a,11.2: a learned correction fitted against an unvalidated baseline is unfalsifiable. THIS AUDIT ADDS THE DECISIVE DATUM: at HEAD the served lane loses to a FREE public model at all three leads on n~1700-1800 paired samples. There is no validated baseline to correct toward,Blocked on WS-CAN-0026 and a matured ledger,Gate 8,WS-CAN-0026
WS-CAN-0050,WebGPU / OffscreenCanvas / SharedArrayBuffer rendering modernization,GPU modernization,n/a,"MASTER-AUDIT 10.0/11.0, 11.2 DO_NOT_ADVANCE",2026-08-07,2026-08-11,n/a,Not Started,No Evidence Located,Defer,-,n/a,"No measured GPU bottleneck. 11.2: adding a worker adds an authority to a subsystem that already has three disagreeing ones. AND frame rate is currently unmeasurable (WS-CAN-0037), so no before/after could be graded",Blocked on WS-CAN-0037,Gate 6,WS-CAN-0037
WS-CAN-0051,Learned nearshore transform,Nearshore / AI,n/a,QUEUE-2026-08-03,2026-08-03,2026-08-09,n/a,Not Started,Verified Current,Defer,-,n/a,Postponed by 11.0 with a stated reason that is itself the finding: the dataset is not growing,None until the observation dataset grows,Gate 8,
WS-CAN-0052,SURF_PARTITIONS flip,Scientific calibration,n/a,Prior master / 11.0,2026-08-08,2026-08-12,High risk,Not Started,Verified Current,Defer,-,"point_resolution.py:121, spot_conditions.py:138, both default ""0""","Its named blocker WS-CAN-0002 IS now closed (the JS mirror refusal shipped). The cap-seam remains, and the flag is still OFF at HEAD",Cap-seam decision + all lanes flip together + owner,Gate 5,WS-CAN-0002
WS-CAN-0053,SURF_TIDE_DEPTH flip,Scientific calibration,n/a,Prior master / 11.0 / INDEX-forecast-science,2026-08-07,2026-08-12,High risk,Not Started,Verified Current,Defer,-,science_registry,"OWNER DECISION recorded as OFF. Tide is measured at 19x the reach of gamma, so this is the highest-reach absent nearshore term",Break-depth completion + a positive-control census,Gate 7,
