Dimension,Config,Model,Layer,Geography,LeadTime,Measured_Pixel_Delta_Pct,Measured_Frame_Variance_Pct,Paints,Method,Covered_By_Objective,Covered_By_Task,Status,Evidence
model x layer,chromium-desktop,GFS,Air Temp,"NW Atlantic z5 [-72,30]",hour 0 (default),75.791,99.79,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,GFS,Water Temp,"NW Atlantic z5 [-72,30]",hour 0 (default),68.56,89.967,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,EURO,Wind,"NW Atlantic z5 [-72,30]",hour 0 (default),75.268,96.432,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,EURO,Waves,"NW Atlantic z5 [-72,30]",hour 0 (default),67.044,99.746,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,EURO,Swell,"NW Atlantic z5 [-72,30]",hour 0 (default),67.024,99.949,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,EURO,Swell 2,"NW Atlantic z5 [-72,30]",hour 0 (default),72.559,99.943,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,EURO,Wind Waves,"NW Atlantic z5 [-72,30]",hour 0 (default),72.457,95.892,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,EURO,Precip,"NW Atlantic z5 [-72,30]",hour 0 (default),26.976,97.908,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,EURO,Radar,"NW Atlantic z5 [-72,30]",hour 0 (default),10.635,99.934,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,EURO,Satellite,"NW Atlantic z5 [-72,30]",hour 0 (default),75.318,98.312,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,EURO,Fog,"NW Atlantic z5 [-72,30]",hour 0 (default),9.519,99.924,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,EURO,Pressure,"NW Atlantic z5 [-72,30]",hour 0 (default),57.334,75.546,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,EURO,Air Temp,"NW Atlantic z5 [-72,30]",hour 0 (default),76.708,88.683,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,EURO,Water Temp,"NW Atlantic z5 [-72,30]",hour 0 (default),74.156,99.953,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
geography,chromium-desktop,GFS (default at probe time),Wind,Cocoa Beach FL,hour 0 (default),,95.797,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=8 center=[-80.6, 28.35]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-desktop.json
geography,chromium-desktop,GFS (default at probe time),Wind,New York coast,hour 0 (default),,95.566,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=7 center=[-73.5, 40.4]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-desktop.json
geography,chromium-desktop,GFS (default at probe time),Wind,Portugal,hour 0 (default),,92.735,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=7 center=[-9.4, 38.7]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-desktop.json
geography,chromium-desktop,GFS (default at probe time),Wind,Morocco,hour 0 (default),,96.218,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=7 center=[-9.8, 31.4]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-desktop.json
geography,chromium-desktop,GFS (default at probe time),Wind,El Salvador,hour 0 (default),,92.414,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=7 center=[-89.3, 13.4]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-desktop.json
geography,chromium-desktop,GFS (default at probe time),Wind,Open Pacific,hour 0 (default),,98.074,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=4 center=[-140, 10]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-desktop.json
geography,chromium-desktop,GFS (default at probe time),Wind,Antimeridian,hour 0 (default),,94.838,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=5 center=[179.6, -17.6]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-desktop.json
geography,chromium-desktop,GFS (default at probe time),Wind,High latitude N,hour 0 (default),,94.985,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=4 center=[-20, 68]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-mobile,GFS,Wind,"NW Atlantic z5 [-72,30]",hour 0 (default),72.658,97.525,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,GFS,Waves,"NW Atlantic z5 [-72,30]",hour 0 (default),74.587,99.976,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,GFS,Swell,"NW Atlantic z5 [-72,30]",hour 0 (default),20.607,99.973,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,GFS,Swell 2,"NW Atlantic z5 [-72,30]",hour 0 (default),81.25,99.919,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,GFS,Wind Waves,"NW Atlantic z5 [-72,30]",hour 0 (default),73.675,99.34,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,GFS,Precip,"NW Atlantic z5 [-72,30]",hour 0 (default),35.729,99.982,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,GFS,Radar,"NW Atlantic z5 [-72,30]",hour 0 (default),17.86,99.969,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,GFS,Satellite,"NW Atlantic z5 [-72,30]",hour 0 (default),81.886,99.674,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,GFS,Fog,"NW Atlantic z5 [-72,30]",hour 0 (default),20.269,99.978,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,GFS,Pressure,"NW Atlantic z5 [-72,30]",hour 0 (default),67.785,75.08,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,GFS,Air Temp,"NW Atlantic z5 [-72,30]",hour 0 (default),74.217,99.73,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,GFS,Water Temp,"NW Atlantic z5 [-72,30]",hour 0 (default),75.963,99.983,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,EURO,Wind,"NW Atlantic z5 [-72,30]",hour 0 (default),87.645,97.61,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,EURO,Waves,"NW Atlantic z5 [-72,30]",hour 0 (default),51.423,99.979,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,EURO,Swell,"NW Atlantic z5 [-72,30]",hour 0 (default),73.629,99.985,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,EURO,Swell 2,"NW Atlantic z5 [-72,30]",hour 0 (default),74.018,99.973,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,EURO,Wind Waves,"NW Atlantic z5 [-72,30]",hour 0 (default),73.594,99.976,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,EURO,Precip,"NW Atlantic z5 [-72,30]",hour 0 (default),47.201,99.985,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,EURO,Radar,"NW Atlantic z5 [-72,30]",hour 0 (default),21.166,99.967,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,EURO,Satellite,"NW Atlantic z5 [-72,30]",hour 0 (default),81.811,99.655,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,EURO,Fog,"NW Atlantic z5 [-72,30]",hour 0 (default),34.487,99.974,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,EURO,Pressure,"NW Atlantic z5 [-72,30]",hour 0 (default),66.545,74.838,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,EURO,Air Temp,"NW Atlantic z5 [-72,30]",hour 0 (default),88.444,60.13,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,chromium-mobile,EURO,Water Temp,"NW Atlantic z5 [-72,30]",hour 0 (default),77.688,99.982,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-mobile.json
geography,chromium-mobile,GFS (default at probe time),Wind,Cocoa Beach FL,hour 0 (default),,98.919,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=8 center=[-80.6, 28.35]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-mobile.json
geography,chromium-mobile,GFS (default at probe time),Wind,New York coast,hour 0 (default),,96.648,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=7 center=[-73.5, 40.4]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-mobile.json
geography,chromium-mobile,GFS (default at probe time),Wind,Portugal,hour 0 (default),,92.014,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=7 center=[-9.4, 38.7]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-mobile.json
geography,chromium-mobile,GFS (default at probe time),Wind,Morocco,hour 0 (default),,89.394,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=7 center=[-9.8, 31.4]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-mobile.json
geography,chromium-mobile,GFS (default at probe time),Wind,El Salvador,hour 0 (default),,94.043,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=7 center=[-89.3, 13.4]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-mobile.json
geography,chromium-mobile,GFS (default at probe time),Wind,Open Pacific,hour 0 (default),,98.212,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=4 center=[-140, 10]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-mobile.json
geography,chromium-mobile,GFS (default at probe time),Wind,Antimeridian,hour 0 (default),,97.729,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=5 center=[179.6, -17.6]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-mobile.json
geography,chromium-mobile,GFS (default at probe time),Wind,High latitude N,hour 0 (default),,98.906,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=4 center=[-20, 68]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-chromium-mobile.json
model x layer,firefox-desktop,GFS,Wind,"NW Atlantic z5 [-72,30]",hour 0 (default),74.812,95.227,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,GFS,Waves,"NW Atlantic z5 [-72,30]",hour 0 (default),24.639,98.332,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,GFS,Swell,"NW Atlantic z5 [-72,30]",hour 0 (default),73.203,99.837,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,GFS,Swell 2,"NW Atlantic z5 [-72,30]",hour 0 (default),72.628,99.82,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,GFS,Wind Waves,"NW Atlantic z5 [-72,30]",hour 0 (default),68.241,99.306,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,GFS,Precip,"NW Atlantic z5 [-72,30]",hour 0 (default),17.699,99.361,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,GFS,Radar,"NW Atlantic z5 [-72,30]",hour 0 (default),5.318,99.933,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,GFS,Satellite,"NW Atlantic z5 [-72,30]",hour 0 (default),80.121,98.283,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,GFS,Fog,"NW Atlantic z5 [-72,30]",hour 0 (default),4.196,99.938,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,GFS,Pressure,"NW Atlantic z5 [-72,30]",hour 0 (default),63.77,73.423,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,GFS,Air Temp,"NW Atlantic z5 [-72,30]",hour 0 (default),75.595,83.367,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,GFS,Water Temp,"NW Atlantic z5 [-72,30]",hour 0 (default),71.301,99.973,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,EURO,Wind,"NW Atlantic z5 [-72,30]",hour 0 (default),70.881,96.31,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
