ID,Kind,12.1 state,12.2 state,Change,Evidence,Action required
WS-CAN-0040,Task,"OWNER - read the Render env-var screen",UNCHANGED,⚠️ EXPAND,"test_flag_lane_parity.py:53 states Render's environment CANNOT be checked from git; RATING_TIDE ran divergent for eleven days","Make it a REPEATING check - a scheduled diff of the live env set against the ingest lanes - not a one-off screenshot"
WS-OBJ-504,Task/Objective,NOT STARTED + a new prerequisite,UNCHANGED + PAYLOAD GAP,⚠️ EXPAND,"The uplink's payload does not carry which of the 261 overrides are set, nor webgl_marine_fallback_engaged","Expand the payload contract BEFORE building. Also F12.2-38: the existing client-diagnostics endpoint is unauthenticated, unrate-limited and field-unbounded"
WS-OBJ-303,Objective,UNKNOWN - two short windows,MEASURABLE NOW,✅ READY,"peak_rss 1231.6 MB of a 2048 MB cgroup limit via ru_maxrss - a genuinely good instrument. ⚠️ the 2026-07-24 incident was on a 512 MB box, so cross-machine comparison is invalid",One deliberate load run closes it. Record the cgroup limit beside the figure
WS-CAN-0018/0019,Task,Implemented but Inactive - test.fixme,UNCHANGED,= NO CHANGE,"weather-simulation.spec.js:607 is still test.fixme at HEAD",V2 (read the WebKit failure video) tells you whether to fix or delete
WS-CAN-0055,Task,WORSE - 7 registered worktrees,UNCHANGED + ONE DETAIL,⚠️ EXPAND,".claude/worktrees/gracious-cannon-e4aed4 is a DIFFERENT BRANCH checked out INSIDE the primary tree; a plain grep -rn from the repo root reads it","Fold in: this is a MEASUREMENT hazard, not only hygiene. It has already returned a stale config value to a prior session"
WS-OBJ-706,Objective,does not exist,PROPOSED,🆕 NEW,"3 working instruments with 0 register presence, each measured with a paired positive control","Add. This is the audit's structural finding and the parent cause of several rows above"
WS-OBJ-707,Objective,does not exist,PROPOSED,🆕 NEW,"MarineParticleCanvas / WindParticleOverlay / useWebGLGuardrail / force_marine_fallback: 0 in both registers, 0 in every 12.1 artifact, 0 test files",Add
WS-OBJ-708,Objective,does not exist,PROPOSED,🆕 NEW,"261 overrides (my corpus) / 337 names of which 255 externally settable and 26 default-OFF behavioural gates (independent corpus); 197 with no test; 5 visible to the program","Add. NOTE: 26 default-OFF behavioural gates is the subset resembling WS-OBJ-402's three dual paths - and it is 26, not 3"
WS-OBJ-709,Objective,does not exist,PROPOSED,🆕 NEW,"THREE THEMES (2026-07-12) and ACCESSIBILITY (2026-07-14) are binding in CLAUDE.md and named by no objective, task or SOTA row",Add
WS-CAN-0066,Task,does not exist,PROPOSED - CRITICAL,🆕 NEW,"scheduler/surf_alerts.py:94/:111 fires every 15 min (live in /api/health) asserting perfection from height alone; 0 quality refs (control: the repaired route has 8); the guard opens one hard-coded path and it is the unscheduled file",Add. THIS IS THE AUTHORIZED MISSION
WS-CAN-0067,Task,does not exist,PROPOSED - HIGH,🆕 NEW,"marine-nightly RED at HEAD: 22 graded render findings vs a budget of 2, 0 instrument findings, 387 anim frames; 18 of 37 runs failed; artifact with .webm expires 2026-08-27","Add. Read the artifact FIRST, then register the harness"
WS-CAN-0005,Task,HALF SHIPPED,UNCHANGED + A NEW HALF,⚠️ EXPAND,"NEWLY: model-run truth has NO DISPLAY HALF - run_time reaches 16 client modules and telemetry and no rendered surface. Also the client model time axis is latched for the life of the tab (LIVE_FETCHED_MODELS never invalidated, no TTL)",Scope the display half into the same provenance visit
