Area,surface_id,type,files_symbols,reachability,entry_point,consumer,objective_id,task_id,test_coverage,runtime_evidence,observability,recovery,status
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-sw-weather-exclusion,data,"frontend/public/service-worker.js fetch handler — early `return` for open-meteo.com, rainviewer, tiles., tile., maplibre, .om, om protocol, /marine, /weather",Active-reachable — the weather data plane is deliberately excluded from SW interception entirely,SW fetch event,every om:// tile and /api/weather* request,NONE,NONE,NONE,NONE at HEAD,none,n/a — exclusion is the mitigation; no stale weather can be served from the SW,Complete
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-static-headers,infrastructure,frontend/public/_headers — /static/js/* and /static/css/* max-age=31536000 immutable; /index.html no-store; /* no-cache + X-Content-Type-Options,Active-reachable on every Netlify deploy,Netlify CDN,every browser,NONE,NONE,NONE,NONE at HEAD,response headers,n/a,Missing Objective
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-sourcemaps,infrastructure,"frontend/build/static/js/*.map (99 files, 32 MB); `//# sourceMappingURL=main.afa2b42b.js.map` in the shipped entry bundle; no GENERATE_SOURCEMAP override in craco.config.js, package.json or netlify.toml",Prod-only side effect of the same `npm run build` Netlify runs; served by the origin with the /static/js/* one-year immutable header,GET /static/js/<hash>.chunk.js.map,anyone,NONE,NONE,NONE,"local build artifact census at frontend/build (dated 2026-08-12), produced by the identical command string in netlify.toml",none,n/a,Missing Objective
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-om-lazy-chunk,rendering,frontend/src/components/map/openMeteoProtocol.js:513 `import('@openmeteo/weather-map-layer').then(...)` closing at :915 with NO .catch; setProtocolReady(true) at :914; consumed at MapWebGL.js:852,"Active-reachable — registered once in useOpenMeteoTileUrls.js:331 `useEffect(..., [])`, no retry. The chunk is real and separately emitted: build/static/js/6770.db8f084f.chunk.js, 1.38 MB.",map mount,every om:// raster weather layer (MapWebGL.js:852 gates the whole source list on protocolReady),WS-OBJ-101,NONE,NONE,NONE — never exercised under a chunk-404,"none — ErrorBoundary.js:37-58 cannot see a promise rejection outside render, and the only global handler (src/index.js:200-207) filters for AbortError and passes everything else to the console",none — protocolReady stays false for the session,Missing Task
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-grid-worker-chunk,processing,"frontend/src/components/map/useGridWorker.js:25 `new Worker(new URL('./GridParserWorker.js', import.meta.url))`; onerror/onmessageerror at :41-53",Active-reachable — lazily created on first parse; the failure path is explicitly written for 'a deploy race serving a dead chunk',createGridWorker(),off-thread grid parsing for the pressure/marine lanes,WS-OBJ-301,WS-CAN-0008,"NONE named for the crash path (WS-CAN-0008's row states the mounted fake-time integration test was specified, not confirmed)",NONE at HEAD,console.error naming the pending-parse count,"rejects all pending, terminates, nulls the instance so the next call re-creates it",Missing Test
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-frontend-build-flags,data,frontend/src/components/map/backendWeatherServiceClient.js:66-180 — REACT_APP_USE_BACKEND_WIND / _WEATHER / _MARINE_SYSTEM / _ICON_MARINE / _COPERNICUS; spotRatingsCdn.js:38 REACT_APP_RATINGS_CDN,"Build-time — none is set in netlify.toml, so all six take their code defaults and are frozen into the artifact. The sibling window.__USE_BACKEND_*__ / localStorage overrides are per-browser only.",webpack DefinePlugin at build time,which upstream the map reads wind/marine/ICON/Copernicus/ratings from,NONE,NONE,NONE,NONE — no measurement of the values baked into either the prod or the dev artifact,none published,rebuild + redeploy (prod rebuild is owner-gated by WS-CAN-0039),Missing Observability
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-backend-env-flags,data,"358 distinct os.environ names across backend/; ~201 match forecast/rating/ingest prefixes incl. SURF_HEIGHT_H110, SURF_REFRACTION_KR, SURF_TIDE_DEPTH, SURF_PARTITIONS, RATING_TIDE, RATING_LOCAL_SIZE, RATING_OBS_GATE, BUOY_CALIBRATION_MODEL, WORLDWIDE_REGIONS_PER_CYCLE, MARINE_PHYSICS_VALIDITY, DISABLE_FORECAST_SCHEDULER, L2_WRITER","Flag-gated — declared in forecast-ingest.yml, precompute.yml, the _RATING_FLAGS registry, and the Render dashboard, which is not in git. The live service was measured at 27 env vars.",process environment at import/call time,every forecast height and quality value served,NONE,WS-CAN-0040,"backend/tests/test_flag_lane_parity.py (git-visible lanes only, states 'Render's environment is not in git and CANNOT be checked here'); backend/tests/test_env_parity_instrument.py",RATING_TIDE lane drift caught and closed 2026-08-10 on the live service,/api/health.runtime reports python + deps_digest only; no flag self-report,Render dashboard edit (triggers a restart),Missing Evidence
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-health-endpoint,infrastructure,"backend/routes/health.py:70-283 — health_data['checks'] appended only in the database block (:243) and the scheduler block (:262,:270); weather_readiness assembled at :83-100 and never graded; returns a plain dict","Active-reachable — public, unauthenticated, polled by keep-warm.yml every 5 min and by both E2E deploy waits",GET /api/health,"keep-warm.yml, e2e-tests.yml, uptime_probe.py, any Render health gate",WS-OBJ-505,NONE,NONE for the status-derivation logic,"p50 1.0 s, p99 30.4 s, n=113, 2026-08-12 (recorded in uptime_probe.py's header)","it IS the observability surface — version SHA, runtime fingerprint, memory peak, request_telemetry, weather_readiness",n/a,Missing Objective
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-health-simple,infrastructure,backend/routes/health.py — @router.get('/health/simple') returns a literal {'status':'ok'} with no probe of anything,Active-reachable; docstring says 'for load balancers and uptime monitors',GET /api/health/simple,any LB or monitor pointed at it,WS-OBJ-506,NONE,NONE,NONE,none — it is a constant,n/a,Missing Objective
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-startup-lifespan,state-lifecycle,"backend/server.py:419-470 lifespan — quarantine, restore_from_supabase, prefetch_supabase_products, run_background_cache_population each wrapped in `except Exception: logger.error`; the last two inside asyncio.create_task AFTER yield; server.py:19 comment states this is deliberate to avoid blocking port binding",Active-reachable on every backend deploy and every cold start,uvicorn server:app,the entire weather product store the box serves from,NONE,NONE,NONE,NONE — no failure injection has been run against startup,logger.error lines only; weather_readiness.restore_errors is reported on /api/health but not graded into `status`,"none — the instance serves with whatever it restored, including nothing",Missing Objective
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-uptime-probe,infrastructure,"backend/scripts/uptime_probe.py — grade_health():89-146 REDs on non-200, on status != healthy, and on product_count <= 0; three-state OK/RED/REFUSED; --ping-url dead-man's switch","Legacy-but-reachable / Flag-gated — built, committed at f8825291, mutation-verified, and scheduled NOWHERE. It is deliberately not a GitHub workflow.",manual `python scripts/uptime_probe.py`,an external heartbeat service that does not yet exist,WS-OBJ-505,WS-CAN-0025,backend/tests/test_uptime_probe.py (13 tests; the 503-reachability fix is mutation-pinned),"live production run 2026-08-12: healthy, build 3bc776d9, 706 ms, 22114 products, calibration age 0.5 h; example.com -> RED; unreachable -> REFUSED",it IS the instrument,n/a,Missing Owner
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-keepwarm,infrastructure,".github/workflows/keep-warm.yml — cron */5, 3 curl retries, grades `%{http_code}` = 200 only, non-fatal on failure",Active-reachable but best-effort — its own header records GitHub cron delivery measured at 4.9-5.4% of nominal,GitHub scheduler,the Render box's idle timer,WS-OBJ-505,WS-CAN-0025,NONE,keep-warm delivery 4.9-5.4% of nominal (recorded in uptime_probe.py header),the run log prints `ping N -> HTTP code`,"n/a — it is a warmer, not a monitor, and grades only the status code",Complete
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-forecast-ingest,data,".github/workflows/forecast-ingest.yml — cron '15 */4 * * *', writes L2 with L2_WRITER=1; declares the science flags inline for the lane-parity guard","Active-reachable, best-effort delivery; the DESIGNATED writer for top-level L2 keys",GitHub scheduler / dispatch,manifest.json + every product file the serve box restores at boot,WS-OBJ-601,WS-CAN-0058,backend/tests/test_flag_lane_parity.py (flag columns only),data-health-monitor.yml every 30 min detects a stall within a cycle,data-health-monitor + /api/health/data,next cycle; L2 objects are immutable per valid_time,Complete
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-precompute,data,".github/workflows/precompute.yml — cron '45 3-23/4 * * *', timeout 110 min, concurrency group precompute with cancel-in-progress:false; writes spot_ratings/latest.json via checkpoint merge-uploads",Active-reachable; pinned to python 3.12 to match the measured production interpreter,GitHub scheduler / dispatch,"the map glyph layer, both via the endpoint and via the browser CDN lane",WS-OBJ-001,NONE,"backend/tests/test_flag_lane_parity.py; artifact-interpreter-parity.yml (byte-identical output under 3.11 vs 3.12, sha256 2fd2d006f740…, with a mutation control on each side)",run 29297471819 cancelled at 75m15s -> cap raised to 110 with per-model checkpointing,run log + the blob's own frame timestamps,next cycle overwrites; NO prior version is retained,Missing Recovery
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-l2-writer-gate,data,"backend/services/weather_pipeline/store.py:41-63 — L2_WRITER=1 designated-writer gate, kill via L2_WRITER_GATE=0; scope stated as 'top-level keys only'",Active-reachable — added after the 2026-07-11 live incident where a local dev backend reverted the runner's manifest registrations,_l2_pipeline_writes_allowed(),manifest.json + product-file uploads,WS-OBJ-401,NONE,not located in this pass,"the 2026-07-11 incident it was built for (fresh ICON marine 12Z entries lost, 47 dangling entries resurrected)",_l2_write_skips counter,n/a,Complete
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-l2-mutable-blobs,data,"store.py:21-35 manifest_cache_control — 'spot_ratings/…' and 'calibration/…' are 'MUTATING state blobs re-uploaded in place' and are explicitly OUTSIDE the L2_WRITER gate; spot_ratings.py:33 SPOT_RATINGS_L2_KEY; buoy_calibration.py:25 + its :517 comment 'a SINGLE KEY, overwritten on every CI run, so exactly one snapshot exists'; report_calibration.py:27",Active-reachable — written by the precompute cron AND by any serve box,spot ratings precompute / buoy calibration CI run,"map glyphs, the ratings CDN lane, the calibration census",NONE,NONE,NONE for retention/restore,NONE — no restore of a prior blob has ever been performed,the blob carries its own frame timestamps but no writer SHA,"NONE — no run-keyed twin exists. Positive control: 'manifests/…' DOES carry run-keyed immutable copies, declared in the same function.",Missing Recovery
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-ratings-cdn-lane,data,frontend/src/components/map/spotRatingsCdn.js — anon-key read of spot_ratings/latest.json off the Supabase CDN under a scoped RLS policy; selectPrecomputedFrame is a 1:1 JS port of the backend ladder; CB_BUCKET_MS 5 min; kill via window.__RAW_DISABLE_RATINGS_CDN__ or REACT_APP_RATINGS_CDN=0,"Active-reachable on the dev artifact; absent from the frozen prod artifact (added 2026-07-14, prod built 2026-05-20)",scopedRatingsUrl() fetch,"the spot-rating glyph layer, bypassing both Netlify and Render",WS-OBJ-001,NONE,not located in this pass,"live-verified 2026-07-14: anon 200 on this key, 400 on manifest.json and siblings",none server-side — this lane never touches the serve box,returns null on any failure and the caller falls back to the endpoint,Complete
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-netlify-weather-proxy-fn,infrastructure,"frontend/netlify/functions/weather-proxy.js + weather-proxy-helpers.js — openMeteoCircuitUntil / copernicusCircuitUntil breakers, 30 min cache, RESPONSE_SIZE_LIMIT, chunkedGetFallback",Active-reachable via the netlify.toml /api/weather-proxy rule (which survives only because netlify.toml redirects are processed before _redirects),POST /api/weather-proxy,Open-Meteo wind/marine/pressure grid POSTs routed through Netlify's IP to dodge per-client 429,NONE,NONE,not located in this pass,NONE at HEAD,function logs only,circuit breakers + chunked GET fallback,Missing Objective
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-rv-edge-proxy,infrastructure,frontend/netlify/edge-functions/rvproxy.js — durable edge cache for RainViewer tiles; 60 s cache on the catalog; errors passed through but NEVER cached,Active-reachable; scoped to RainViewer hosts only (no open proxy),/rv/*,the radar observed + advection frames,NONE,NONE,NONE,NONE at HEAD,edge logs,a fresh frame self-heals on the next catalog refresh because errors are not cached,Complete
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-canary-evaluator,infrastructure,backend p2.py:556-561 — target-before-exclude precedence inversion,"Dead — zero callers. There is no rollout mechanism of any kind; Render and the Netlify prod alias are both all-or-nothing, one revision, 100% of traffic.",none,none,WS-OBJ-402,WS-CAN-0044,NONE,NONE,none,n/a,Complete
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-rollback,infrastructure,ABSENT. `ls docs/runbooks | grep -iE 'deploy|incident|rollback|release|ops|oncall|runbook'` returns only two non-procedure files; control `ls docs/runbooks | grep -c HANDOFF` -> 149 of 172 documents,Dead — the surface does not exist for either provider or for the data plane,n/a,n/a,NONE,NONE,NONE,NONE — no rollback has ever been performed or rehearsed,no named known-good SHA exists for the backend,n/a — this IS the recovery surface,Missing Objective
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-vercel-residue,infrastructure,"frontend/vercel.json — {""git"":{""deploymentEnabled"":false}}; its $comment records the owner statement that Vercel was never set up on purpose",Legacy-but-reachable — the GitHub App is still installed; the config silences the builds rather than removing the integration,Vercel GitHub App on push,"GitHub deployment events (which e2e-tests.yml once gated on, matching 0 of 6,482)",WS-OBJ-007,WS-CAN-0041,NONE,0eac7f32 resolved the noise; the app was not uninstalled,GitHub deployments tab,n/a,Missing Owner
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-node-runtime,infrastructure,"netlify.toml NODE_VERSION = ""18.20.2"" + NODE_OPTIONS = ""--openssl-legacy-provider""; ci.yml matrix node-version [18.x]; e2e-tests.yml setup-node node-version: 20","Active-reachable — Node 18 reached EOL 2025-03-27, so the deployed frontend build runs on an unsupported runtime, and the E2E lane runs on a different major than the build",Netlify build image / GH runner,every frontend artifact,NONE,NONE,NONE,recorded as CONFIRMED in audit 11.0 F-F2 ('the deployed build runs a runtime that has been unsupported for ~16 months'),build log only,n/a,Missing Task
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,SUR-UX-wxcontrols-desktop,user-facing,"frontend/src/components/map/MapWeatherControls.js:660-784 (desktop panel: 3 model chips, 12 layer chips, Surf-Rating pill, ft/m pill, legend block, renderTimeline)",Active-reachable,frontend/src/components/MapPage.js:539 <MapWeatherControls isDesktop={true}/> mounted unconditionally; CSS `hidden md:block`,every desktop map user,WS-OBJ-204 (legend truth only),"WS-CAN-0015 (partial), WS-CAN-0016 (scrubber label)","NONE — `grep -rn ""<MapWeatherControls"" --include=*.test.js` returns 0; the four test files that mention it do so in comments (legendTicks.test.js:11, ratingRampAnchors.test.js:12, tests/windLegendFromRamp.test.js:4) or read it as a string (radarLegendUnits.proof.test.js)",NONE — no LV-/RV- row and no recording in audit/weather-simulation-12.1/evidence covers this component,emits nothing; consumes the `rawsurf:raster-loading` CustomEvent,none — no error state exists in the component,Missing Test
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,SUR-UX-wxcontrols-collapsed-chip,user-facing,"frontend/src/components/map/MapWeatherControls.js:668-680 — `<div onClick={() => setIsCollapsed(false)} aria-label=""Expand weather controls"">`",Active-reachable,set by the collapse <button> at :687 AND automatically by `isImmersiveMode` at :107-109,every desktop map user who collapses the panel or enters immersive mode,NONE,NONE,NONE,NONE,none,none — pointer click is the only way back,Missing Objective
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,SUR-UX-wxcontrols-mobile-float,user-facing,"frontend/src/components/map/MapWeatherControls.js:787-840 — collapsed mobile float (legend + timeline), two identical wave-SVG toggle buttons at :794 and :805","Active-reachable — returns null when `activeLayer` is falsy, and `useWeatherState.js:44` defaults activeLayers to []",frontend/src/components/MapPage.js:559 <MapWeatherControls isDesktop={false}/>; CSS `md:hidden`,every mobile map user with a layer active,NONE,NONE,NONE,NONE,none,n/a,Missing Objective
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,SUR-UX-wxcontrols-mobile-sheet,user-facing,frontend/src/components/map/MapWeatherControls.js:843-948 — scrim div-onClick at :845 + bottom sheet at :846; no role=dialog / aria-modal / Escape / focus trap,Active-reachable,MapRightControls.js:102-110 `Layers` button -> MapPage `showWeatherControls` -> `isMobileExpanded`,every mobile map user (the only way to reach the model selector and layer chips on a phone),NONE,NONE,NONE,NONE,none,close button at :853 and scrim tap; no keyboard dismissal,Missing Objective
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,SUR-UX-legend-temperature-pair,rendering,"frontend/src/components/map/MapWeatherControls.js:247-256 config.temperature / config.water_temp (hand-authored gradientCSS + evenStops in degF) vs frontend/node_modules/@openmeteo/weather-map-layer/dist/index.js `temperature:{unit:""°C"",breakpoints:[-80..50]}` and colorScales.js aliasSurfaceTemperature","Active-reachable, Single-layer-only (Air Temp / Water Temp)","MapWeatherControls.js:757-779 (desktop), :818-834 (mobile float), :926-942 (mobile sheet)",any user with the Air Temp or Water Temp layer active,"WS-OBJ-204 — but its Closure Criteria is the closed enumeration ""All seven readout-truth items shipped"" and neither temperature legend is one of the seven",NONE,layerColorScaleCoverage.test.js and colorScales.aliasSurfaceTemperature.test.js assert a scale EXISTS for the key; neither asserts the legend matches it,measured this audit: dE76 up to 181.7 between the legend colour at a tick and the raster colour at that tick's temperature (see evidence file §2.1),none,none,Missing Task
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,SUR-UX-legend-surf-rating-key,rendering,"frontend/src/components/map/MapWeatherControls.js:266-276 surfLegend — 7 hard bands from RATING_COLOR + evenTicks(['Poor','Fair','Good','Epic'])","Flag-gated (surfMode) + Single-layer-only (SURF_TOGGLE_LAYERS = waves, swell_1, swell_2, wind_waves)","MapWeatherControls.js:764 (desktop), :821 (mobile float), :929 (mobile sheet)",users with Surf Rating ON and a marine height layer active,WS-OBJ-204 (outcome only; not one of its seven items),NONE,"ratingRampAnchors.test.js covers the SHADER ramp anchors, not the legend's word positions","computed this audit: 'Poor'@0%->band0 very_poor, 'Fair'@33.3%->band2 poor_fair, 'Good'@66.7%->band4 fair_good, 'Epic'@100%->band6 epic",none,none,Missing Task
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,SUR-UX-rating-glyph-colour,rendering,frontend/src/components/map/MapMarkerLayers.js:157-290 (glyph core/halo painted with rating.color) + surfRating.js:354-357 RATING_COLOR,Active-reachable when surfMode is on — deliberately ungated by layer (MapWeatherControls.js:705-707),MapWebGL.js:220 tracks rating mode; MapMarkerLayers renders the glyphs,every map user with Surf Rating ON,NONE for colour-vision; WS-OBJ-204 does not cover it,NONE,MapMarkerLayers.a11y.test.js covers the aria-label text equivalent (screen readers) — nothing covers colour-vision separability,measured this audit: Vienot-1999 deuteranope simulation collapses very_poor vs fair to dE76 11.7 (>73.7 in normal vision); good vs epic is 15.2 in NORMAL vision,none,hover/focus card carries the level name; no touch or scan-level equivalent,Missing Objective
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,SUR-UX-infobox,user-facing,frontend/src/components/map/MapForecastOverlay.js (800 LOC) + forecastCardCompiler.js compileForecastCards / STATUS_RENDERS,Active-reachable but conditional — MapPage.js:585 requires activeLayers.length>0 AND MapForecastOverlay.js:648-650 returns null unless a lat/lng is selected/long-pressed/snapped,MapPage.js:585 <MapForecastOverlay/>,"users who have selected a spot, long-pressed, or have snapped coordinates","WS-OBJ-204, WS-OBJ-202","WS-CAN-0015, WS-CAN-0034, WS-CAN-0062","tests/forecast-card-compiler.test.js, __tests__/forecastCard.{parity,heightUnits,provisional}.test.js, staleHour.proof.test.js, nearshoreDecay.proof.test.js","LV-06 (confidence vs geometry_readiness, n=24) cites the backend field this surface renders","recordTruthStage('infoboxDisplay', {...run_time, valid_time...}) at :578-590 — posted, never rendered","amber 'Load missing data' retry at :735-750, scoped to estimate_pending_sources and Copernicus >+27h only",Complete
